"","x"
"429","OA"
"430","DIREC"
"431","IL"
"432","FRIENDSWOOD"
"433","BILOXI"
"434","UT"
"435","LEXINGTON"
"436","TYLER"
"437","PHOENIX"
"438","MELBOURNE"
"439","TOPEKA"
"440","DIRE"
"441","PLAZA"
"442","DOTHAN"
"443","LEWISVILLE"
"444","MCALLEN"
"445","SPRICO"
"446","CORDOVA"
"447","SHREVEPORT"
"448","TALLAHASSEE"
"449","V"
"450","NE"
"451","FRANKLIN"
"452","INGRAM"
"453","LOUIS"
"454","MEMPHIS"
"455","O"
"456","YUMA"
"457","CHANDLER"
"458","AMARILLO"
"459","HULEN"
"460","K"
"461","STAT"
"462","AUBURN"
"463","BEAC"
"464","SQ"
"465","ALEXANDRIA"
"466","ON"
"467","CHESAPEAKE"
"468","ORLANDO"
"469","COLLEGE"
"470","COL"
"471","HENDERSON"
"472","BARTON"
"473","METARIE"
"474","KENWOOD"
"475","ARROWHEAD"
"476","KANSAS"
"477","VST"
"478","ENID"
"479","XXXXXXXXXX"
"480","BEE"
"481","HGT"
"482","PENN"
"483","MACON"
"484","LAREDO"
"485","STJOHNS"
"486","CITYOK"
"487","BEAUMONT"
"488","WEST"
"489","DA"
"490","E"
"491","MESA"
"492","WESLEY"
"493","PADRE"
"494","WIREGRASS"
"495","FASHION"
"496","OVERLAND"
"497","POST"
"498","DAYTONA"
"499","ALPHARETTA"
"500","DES"
"501","GILBERT"
"502","FT"
"503","GREAT"
"504","BEL"
"505","AKRON"
"506","7POS"
"507","JENSEN"
"508","CLEARWATER"
"509","TW"
"510","GARLAND"
"511","XXXXXXXXXXXXXXXXXXXXXXX"
"512","6POS"
"513","NORTHEAST"
"514","POINT"
"515","SALE"
"516","OMAHA"
"517","AIR"
"518","HUMBLE"
"519","IA"
"520","SQUAR"
"521","8POS"
"522","MESQUITE"
"523","1POS"
"524","CRESTVIE"
"525","PL"
"526","VIRGINIABEAC"
"527","LONGVIEW"
"528","9POS"
"529","SUNLAND"
"530","CAVE"
"531","CRD"
"532","5POS"
"533","CHAPE"
"534","DENTON"
"535","WITHDRAWAL"
"536","0POS"
"537","LAKELINE"
"538","ALTAMONTE"
"539","NEWNAN"
"540","3POS"
"541","CRK"
"542","TOLEDO"
"543","PARKWAY"
"544","WELLINGTON"
"545","EASTCHASE"
"546","PAYMENT"
"547","VIL"
"548","MCCAIN"
"549","MIDLANDMIDLAND"
"550","2POS"
"551","PEARLAND"
"552","BUFORD"
"553","4POS"
"554","GRETNA"
"555","EAST"
"556","CTY"
"557","PARKS"
"558","BOISE"
"559","SPRINGFIELD"
"560","BAYBROOK"
"561","CARY"
"562","MCARTHUR"
"563","LAFAYETTE"
"564","PR"
"565","CHARLES"
"566","BOARDMAN"
"567","MCC"
"568","SANFORD"
"569","BEACHWOO"
"570","DAPHNE"
"571","PEMBROKE"
"572","ALBANY"
"573","SOUTHAVEN"
"574","STAP"
"575","BROOMFIELD"
"576","SOUTH"
"577","NORTHPARK"
"578","AT"
"579","Withdrawal"
"580","DOMAIN"
"581","RIDGELAND"
"582","ROGERS"
"583","CANTON"
"584","GREENVILLE"
"585","RALEIGH"
"586","KNOXVILLE"
"587","WILMINGTON"
"588","ASHEVILLE"
"589","MONROE"
"590","UPTOWN"
"591","DOUGLASVILLE"
"592","CHEYENNE"
"593","MAUMEE"
"594","PORT"
"595","WY"
"596","SCOTTSDALE"
"597","TXDEBIT"
"598","CONVERTED"
"599","SUGARLAND"
"600","OXFORD"
"601","MEMORIAL"
"602","IRVING"
"603","WOOD"
"604","PAT"
"605","INTERNTL"
"606","ALB"
"607","COLUMBIANA"
"608","INDN"
"609","HATTIESBURG"
"610","TXXXXXXX"
"611","FAYETTEVILLE"
"612","SHOPS"
"613","II"
"614","LAKESIDE"
"615","HENRY"
"616","Bill"
"617","VINCEN"
"618","WILLOW"
"619","EDGEWATER"
"620","LITHONIA"
"621","ANTODEBIT"
"622","WEB"
"623","OLMST"
"624","WINRO"
"625","TEXARKANA"
"626","BOWLING"
"627","ATLANTICST"
"628","SP"
"629","MENTOR"
"630","QUAIL"
"631","SLIDELL"
"632","COLLIERVILLE"
"633","VICTORIA"
"634","GOVERNRS"
"635","BROWNSVILLE"
"636","SQR"
"637","CHATTANOOGA"
"638","VERO"
"639","PALMDALE"
"640","GECRB"
"641","VILLAGE"
"642","XXXXXXXX"
"643","RIVER"
"644","STONEBRIAR"
"645","SANTAN"
"646","SMITH"
"647","SUMMIT"
"648","CHESTERFIELD"
"649","XXXXXXXXXXX"
"650","PETERSBUR"
"651","PRESCOTT"
"652","SUGAR"
"653","FE"
"654","HARLINGEN"
"655","FLAGSTAFF"
"656","CLAIR"
"657","AURORA"
"658","MT"
"659","ZONA"
"660","FAYETTE"
"661","STACOLLEGE"
"662","RENO"
"663","FIREWHEEL"
"664","PUEBLO"
"665","COTTONWOOD"
"666","PIER"
"667","PERIMETER"
"668","NORTHOLMSTEA"
"669","SOUTHPAR"
"670","STRONGSVILL"
"671","ABILENEABILENE"
"672","MYRTLE"
"673","SHORT"
"674","SARASOTA"
"675","OVIEDO"
"676","DEERBROOK"
"677","MURFREESBORO"
"678","STRONGSVILLE"
"679","VIRGINIA"
"680","PINEVILLE"
"681","SPRN"
"682","MATTHEW"
"683","GREE"
"684","ATM"
"685","NAPLES"
"686","TOW"
"687","RIDGMAR"
"688","GOODLETTSVIL"
"689","DEL"
"690","CROS"
"691","MEADO"
"692","TOWN"
"693","Dillard"
"694","BILL"
"695","AVENUES"
"696","HOT"
"697","WOODLAND"
"698","FARMINGTON"
"699","LYNNHAVEN"
"700","FLUS"
"701","PXXXXXX"
"702","WOODL"
"703","GREENSBORO"
"704","TRICOUN"
"705","WICHITAWICHITA"
"706","HAMMOND"
"707","OGDEN"
"708","SOUTHERN"
"709","BEN"
"710","BEACVA"
"711","VIS"
"712","CITRUS"
"713","PARADISE"
"714","XXXXX2601"
"715","LAUDERDAL"
"716","To"
"717","PAY"
"718","MARKET"
"719","WILLOWBROO"
"720","GAINESVILLE"
"721","Q"
"722","PUMP"
"723","WOODDEBIT"
"724","SHOPPES"
"725","NASHVILLDEBIT"
"726","OCALA"
"727","GALLERIA"
"728","HOUMA"
"729","CHRISTTX"
"730","GREENBRIER"
"731","ATLANT"
"732","STA"
"733","CLEMSON"
"734","Online"
"735","Transaction"
"736","GREEN"
"737","PRIEN"
"738","ANDERSON"
"739","INDEPENDEN"
"740","SPANISH"
"741","JEFFERSON"
"742","MONTGOMEDEBIT"
"743","XXXXXXXXXXXX"
"744","HI"
"745","OAKS"
"746","PINE"
"747","COOLSPRING"
"748","MURRAY"
"749","PA"
"750","ACADIANA"
"751","PETERS"
"752","LAKELAND"
"753","NORTHPOINT"
"754","INDEPENDENCE"
"755","OAKWOOD"
"756","MEADOW"
"757","FRONTIER"
"758","FIRSTCOLON"
"759","U"
"760","WOLFCHASE"
"761","STATIO"
"762","WOODLANDSTX"
"763","ESTHER"
"764","EASTGATE"
"765","STONY"
"766","ASHLEY"
"767","PARKDALE"
"768","PALMS"
"769","MERRITTISLAN"
"770","BELDEN"
"771","LAXXXXXX"
"772","PLANTATION"
"773","ADEBIT"
"774","BLUFF"
"775","MISSOULA"
"776","ESTERO"
"777","FALLENTI"
"778","GREENHILLS"
"779","VIEW"
"780","SPRINGFIEL"
"781","STONEBRIA"
"782","PUR"
"783","TELSINGLE"
"784","MERIDIAN"
"785","LINE"
"786","VOLUSIA"
"787","VALLE"
"788","WST"
"789","SOUTHLAND"
"790","SANDY"
"791","MUSKOGEE"
"792","TURTL"
"793","NILES"
"794","MADISON"
"795","PINNACLE"
"796","JONESBORO"
"797","STOCKTON"
"798","AUTHORIZED"
"799","COUNTRYSID"
"800","FROM"
"801","HARLINGEDEBIT"
"802","HILLCOUNTR"
"803","LINCOLN"
"804","PLA"
"805","CREE"
"806","LAND"
"807","METAIRIE"
"808","14ATM"
"809","MCALISTER"
"810","PADUCAH"
"811","SPRINGS"
"812","DEB"
"813","POIN"
"814","TYRONE"
"815","SEMINOLE"
"816","TXUS"
"817","SUPERSTITN"
"818","SALINA"
"819","REGENCY"
"820","TR"
"821","EASTERN"
"822","WEBRECUR"
"823","CR"
"824","WORTDEBIT"
"825","BOYNTON"
"826","BLS"
"827","RICHLAND"
"828","SUNRISE"
"829","JACKSONVDEBIT"
"830","AIKEN"
"831","FIRST"
"832","PROVO"
"833","WINSTON"
"834","MOINES"
"835","FAYETTEVIL"
"836","WINTER"
"837","VI"
"838","ANTELOPE"
"839","FALLS"
"840","PYMNT"
"841","MERRITT"
"842","FOREST"
"843","SPARTANBURG"
"844","FALLSTX"
"845","BROWNSVIDEBIT"
"846","RID"
"847","RIVE"
"848","SHAWNEE"
"849","TRIANGLE"
"850","HEIGIL"
"851","HAMILTON"
"852","CARRIAGECR"
"853","COUN"
"854","PEMBROKPEMBROKE"
"855","STONECREST"
"856","MYERS"
"857","RIVERGATE"
"858","PARKKS"
"859","BROWNSVILL"
"860","EASTDALE"
"861","PARDEBIT"
"862","JACKSON"
"863","BB"
"864","PXXXXXXXXXXXXXXXXX"
"865","JUBILEE"
"866","SYNCB"
"867","BRAZOS"
"868","SOUTHGATE"
"869","OCOEE"
"870","NORTHSHORE"
"871","BARTLESVILLE"
"872","FEED"
"873","VICKSBURG"
"874","DAVENPORT"
"875","HIGH"
"876","NORTHLAKE"
"877","US"
"878","MEAD"
"879","LADEBIT"
"880","SHERMAN"
"881","Z"
"882","WILLOWBRO"
"883","ARTHUR"
"884","STONE"
"885",""
"886","LEWISVILDEBIT"
"887","CAVEDEBIT"
"888","SIX"
"889","BURLINGTON"
"890","EVANSVILLE"
"891","SUMMITSIER"
"892","xxxxxxxxxxxXXXXX"
"893","COASTAL"
"894","AZXXXXXX"
"895","MUSIC"
"896","FOUR"
"897","RITCHIE"
"898","GASTONIA"
"899","CORALVILLE"
"900","FRIENDSWODEBIT"
"901","UNIVERSITY"
"902","AND"
"903","VAUS"
"904","FIESTA"
"905","CAROLINA"
"906","VILLA"
"907","LITTLETODEBIT"
"908","90DEBIT"
"909","ANGSAN"
"910","CENTRO"
"911","HENDERSHENDERSON"
"912","IDAHO"
"913","NEWGATE"
"914","BILLINGS"
"915","FAIRVIEWDEBIT"
"916","GR"
"917","ARLINGTODEBIT"
"918","HILKY"
"919","KENNER"
"920","CHEVRON"
"921","COURT"
"922","CTR"
"923","EUCLID"
"924","Sale"
"925","ALDEBIT"
"926","NORT"
"927","HICKORY"
"928","GARDENFL"
"929","Electronic"
"930","METRO"
"931","STATITX"
"932","GRAND"
"933","Trace"
"934","LOC"
"935","CENTRAL"
"936","Date"
"937","Point"
"938","FLORENCE"
"939","PT"
"940","LAK"
"941","CASA"
"942","BONITA"
"943","FASHIONLAS"
"944","MEALAS"
"945","SDEBIT"
"946","CI"
"947","EASTWOOD"
"948","ELECTRONIC"
"949","HOUSE"
"950","13ATM"
"951","JOSEPH"
"952","CREDIT"
"953","TURTLECREE"
"954","HAVASU"
"955","COLONIAL"
"956","HUNTSVILDEBIT"
"957","GRANDE"
"958","PDALLAS"
"959","GEORGE"
"960","FLAGS"
"961","DBT"
"962","SPRING"
"963","SEASO"
"964","CENT"
"965","MERCHANT"
"966","VISA"
"967","JORDAN"
"968","MOLINE"
"969","ARROWH"
"970","COUNCIL"
"971","TREASUR"
"972","BROWARD"
"973","CS"
"974","SUMMERLIN"
"975","INC"
"976","FLXXXXXX"
"977","WESTGATE"
"978","MARION"
"979","CDEBIT"
"980","CHAPELFL"
"981","CHARLESSC"
"982","COCONUT"
"983","MAUMELLEDEBIT"
"984","GAUS"
"985","RIDG"
"986","WALES"
"987","PIGGLY"
"988","WIGGLY"
"989","WORDEBIT"
"990","MID"
"991","FASHIO"
"992","GRE"
"993","JEFFERSO"
"994","WithdrawalDILLARDS"
"995","ARTDEBIT"
"996","GREENWOO"
"997","WEBERSTOWN"
"998","SOUTHWEST"
"999","FLATIRON"
"1000","MESQUITEDEBIT"
"1001","EDISON"
"1002","J"
"1003","PEACHT"
"1004","With"
"1005","PENSACOLDEBIT"
"1006","Pin"
"1007","GOODLETTSVILLTN"
"1008","Dec"
"1009","NORTHEAHURST"
"1010","VALLEY"
"1011","GALLERIFT"
"1012","GATEWAY"
"1013","HANES"
"1014","xxxxxxxxxxXXXXX"
"1015","JACDEBIT"
"1016","TREE"
"1017","Credit"
"1018","NORTHE"
"1019","BLUF"
"1020","BROWARDPLANTATION"
"1021","SOUTHPARK"
"1022","ALBUQUERDEBIT"
"1023","STONEBRFRISCO"
"1024","PN"
"1025","CHESTERFIE"
"1026","WITHDRWL"
"1027","HERITAGE"
"1028","BARTLESVIL"
"1029","BROOMFIELDEBIT"
"1030","Of"
"1031","CIELO"
"1032","GREENWOOD"
"1033","HALL"
"1034","WEBERSTSTOCKTON"
"1035","AVENU"
"1036","BILTMORE"
"1037","CAFE"
"1038","HIDEBIT"
"1039","STATI"
"1040","WOODLA"
"1041","BROADWAY"
"1042","DATE"
"1043","PETERSBURFL"
"1044","PLAC"
"1045","BEACHFL"
"1046","Non"
"1047","KILLEE"
"1048","BEA"
"1049","TYPE"
"1050","Y"
"1051","PNCPA3545"
"1052","CLECLEMSON"
"1053","WESTRIDGE"
"1054","GLENDALEAZ"
"1055","ARTHU"
"1056","AN"
"1057","TREASURE"
"1058","EASTLAND"
"1059","LONGMONT"
"1060","SIKES"
"1061","ROUG"
"1062","PROMENADE"
"1063","dillards"
"1064","GULFVIEW"
"1065","PM"
"1066","SHOP"
"1067","PARADI"
"1068","RED"
"1069","SCOTTSDADEBIT"
"1070","STORE"
"1071","WELLINGT"
"1072","ALUS"
"1073","NBR"
"1074","MCARTH"
"1075","OLMSTEDOH"
"1076","CORAL"
"1077","STONEB"
"1078","GOLDEN"
"1079","HASTY"
"1080","MART"
"1081","STJOHN"
"1082","GLENDALEDEBIT"
"1083","LEWISVILEWISVILLE"
"1084","CE"
"1085","PARARLINGTON"
"1086","WOODLANWOODLANDS"
"1087","AZUS"
"1088","CAN"
"1089","WINROCK"
"1090","DDA"
"1091","TETO"
"1092","FAIRVIEFAIRVIEW"
"1093","ARLINGTONTX"
"1094","ISLAND"
"1095","ATLANTIC"
"1096","SPRFL"
"1097","WESTOAK"
"1098","WESTOAKS"
"1099","XXXXX9049"
"1100","ISLANFL"
"1101","Less"
"1102","More"
"1103","PINEFL"
"1104","LUBBOCKLUBBOCK"
"1105","OKXXXXXX"
"1106","STJO"
"1107","ALAMANCE"
"1108","CORDOV"
"1109","WATERLOO"
"1110","MAUMELLE"
"1111","CUPBOARD"
"1112","CHESTERF"
"1113","MACA"
"1114","PAS"
"1115","ML"
"1116","MESILLA"
"1117","CLIFFS"
"1118","EAGLE"
"1119","IMPERIAL"
"1120","LAUS"
"1121","SSAN"
"1122","BAYBRO"
"1123","CANTSAN"
"1124","CHESTERFIEL"
"1125","LAKESI"
"1126","WF"
"1127","COXXXXXX"
"1128","MEMORI"
"1129","FIRSTC"
"1130","HE"
"1131","ESPLANDE"
"1132","HOLLOW"
"1133","SUNSET"
"1134","FIREWHEGARLAND"
"1135","WARD"
"1136","RIVERS"
"1137","GARDEN"
"1138","STJOHNSJACKSONVILLE"
"1139","RD"
"1140","CLAYTON"
"1141","SCUS"
"1142","SPRI"
"1143","FREDS"
"1144","CRUCDEBIT"
"1145","TO"
"1146","AUGUST"
"1147","PERIME"
"1148","SOUT"
"1149","CNTY"
"1150","INTERNAT"
"1151","Purchasedebit"
"1152","TERMINAL"
"1153","Jan"
"1154","MOINIA"
"1155","QUINTARD"
"1156","Nov"
"1157","CITADE"
"1158","FAIRVIEWTX"
"1159","INDIAN"
"1160","NORTHP"
"1161","MEMORIAHOUSTON"
"1162","WILLOWBHOUSTON"
"1163","EASTRIDGE"
"1164","FIRSTCOSUGARLAND"
"1165","FLORIDA"
"1166","MESQUITMESQUITE"
"1167","GARDE"
"1168","TX12"
"1169","BLUFFS"
"1170","LYNN"
"1171","PEAC"
"1172","ROS"
"1173","COLUMB"
"1174","SUNLAN"
"1175","AVENUE"
"1176","LEWISV"
"1177","CHANDL"
"1178","SO"
"1179","TIME"
"1180","CODEBIT"
"1181","COUNTRYS"
"1182","GREENKY"
"1183","PKWY"
"1184","MELBOURN"
"1185","OAHOUSTON"
"1186","SXXXXXXXXXXXXXXX"
"1187","GOVERN"
"1188","XXXXXXXXXXXXXXXXXX"
"1189","NORTHPAR"
"1190","HILLCO"
"1191","RIDGMARFORT"
"1192","CORD"
"1193","DB"
"1194","MACARTHU"
"1195","SUPERS"
"1196","FAIRVI"
"1197","FLORENCEDEBIT"
"1198","WORTHTX"
"1199","BANK"
"1200","GEMB"
"1201","TNUS"
"1202","WEBERSTOW"
"1203","Authorized"
"1204","BEAUMO"
"1205","LAFAYETTELA"
"1206","BE"
"1207","BRANDONBRANDON"
"1208","COTTONWOO"
"1209","HENDER"
"1210","RI"
"1211","COLLIN"
"1212","LUBBOC"
"1213","PDEBIT"
"1214","STOCKTONDEBIT"
"1215","FEE"
"1216","GREENB"
"1217","SUGARLANDTX"
"1218","HAVAS"
"1219","CENTER"
"1220","Feb"
"1221","ASHEBORO"
"1222","LYNNHA"
"1223","FALLENTMBR"
"1224","Pmt"
"1225","dillard"
"1226","LYNNHAVE"
"1227","FC"
"1228","LOGAN"
"1229","STONEBRI"
"1230","BRAN"
"1231","INTE"
"1232","MIDLAN"
"1233","TRI"
"1234","Web"
"1235","BRANDO"
"1236","WO"
"1237","LAKELI"
"1238","PATRICK"
"1239","PO"
"1240","ROLLIN"
"1241","ST1049"
"1242","SUPERSTIT"
"1243","PI"
"1244","RECURRINGxxxxxxxxxxxXXXXX"
"1245","EASTCH"
"1246","MESQUI"
"1247","Mar"
"1248","WILTON"
"1249","GREENSPOI"
"1250","OAKWOO"
"1251","ME"
"1252","BBQ"
"1253","DEERBR"
"1254","STON"
"1255","BROWNS"
"1256","FIREWH"
"1257","SAVANN"
"1258","PAYMENTECHECK"
"1259","STR"
"1260","AVENUESJACKSONVILLE"
"1261","BAYBROOFRIENDSWOOD"
"1262","MANHAT"
"1263","DC"
"1264","PERIMETE"
"1265","SOONER"
"1266","BOYNTO"
"1267","STPETERSBUR"
"1268","ACADIA"
"1269","RIDGMA"
"1270","PEARLA"
"1271","CHANDLERAZ"
"1272","FORUM"
"1273","COTTON"
"1274","FTLAUDERDAL"
"1275","NCUS"
"1276","PEARLANDTX"
"1277","ANTELOPPALMDALE"
"1278","ESTDEBIT"
"1279","ALTERAT"
"1280","COUS"
"1281","AVEN"
"1282","STRESO"
"1283","CheckCard"
"1284","CheckPAYMT"
"1285","DIR"
"1286","GREENSPOIN"
"1287","Checking"
"1288","XXXXXX7406"
"1289","TXUS0015"
"1290","WESTFIEL"
"1291","MEDIA"
"1292","MIKE"
"1293","PE"
"1294","SEED"
"1295","SIERR"
"1296","TERM"
"1297","CHECKPAYM"
"1298","CITA"
"1299","CITGO"
"1300","INTERN"
"1301","USA"
"1302","GECRBDILLARDS"
"1303","TX11"
"1304","CEN"
"1305","PURCH"
"1306","GULF"
"1307","INTERNTINTERNATIONA"
"1308","KSUS"
"1309","MAT"
"1310","UTXXXXXX"
"1311","FOOD"
"1312","WIREGR"
"1313","WOODLAN"
"1314","BAN"
"1315","LAUDERDALFL"
"1316","NASHVILL"
"1317","SALEMNC"
"1318","COASTLAN"
"1319","PXXXXXXX"
"1320","AI"
"1321","WIREGRA"
"1322","MAIN"
"1323","WIREGRAWESLEY"
"1324","MESQUITETX"
"1325","MCALIS"
"1326","PATR"
"1327","STONEC"
"1328","TEL"
"1329","COUNTY"
"1330","WEATHERFORDEBIT"
"1331","BRAVO"
"1332","CHAP"
"1333","CABANA"
"1334","CITMO"
"1335","GAINESVIDEBIT"
"1336","CHARLOTTFL"
"1337","NEW"
"1338","OIL"
"1339","AUGU"
"1340","EAS"
"1341","REEVES"
"1342","GOVE"
"1343","PAYPAL"
"1344","UNIVERSI"
"1345","WEATHERFORD"
"1346","CONESTOGA"
"1347","L340"
"1348","STXXXXS"
"1349","VDEBIT"
"1350","YOUNGSTOWN"
"1351","CAVETX"
"1352","CHRIST"
"1353","eff"
"1354","INTERNT"
"1355","PADR"
"1356","DEERBROHUMBLE"
"1357","JACKSONVILL"
"1358","WD"
"1359","ORAN"
"1360","XXXXXXXVILLE"
"1361","auth"
"1362","Code"
"1363","EDGEWA"
"1364","FLDEBIT"
"1365","MSUS"
"1366","prchs"
"1367","PU"
"1368","RICHEY"
"1369","SEMINO"
"1370","HWY"
"1371","SQUA"
"1372","WITHDRAW"
"1373","AVE"
"1374","NORTHEAS"
"1375","PRICHMOND"
"1376","REGENC"
"1377","SUWANEE"
"1378","TX09"
"1379","CKFXXXXX4431POS"
"1380","COLU"
"1381","OR"
"1382","WithdrawalDILLARD"
"1383","MCALLE"
"1384","TX10"
"1385","ABILEN"
"1386","BOYNTONBOYNTON"
"1387","Entry"
"1388","HILLCOUBEE"
"1389","INTERNET"
"1390","WEBERS"
