row_id|at_merchantid|at_transactioncity|at_transactionstateprovince|at_transactionpostalcode1|at_transactionpostalcode2|at_transactioncountrycode|card_acpt_merchant_name|at_transactiondescription|at_transactiondescription2|at_mcccode
376|4445011888420  0000|EAST LANSING|MI|48823.0||US|MEIJER #253|1219MEIJER #253 EAST LANSING MI          0XXXXXXXXXXXXXXXX|MEIJER #253|5411.0
440|4445011576595  0000|WASHINGTON|DC|20202.0||US|US DEPT OF EDU - DMCS2|1226US DEPT OF EDU - DMCS 800-872-5327 DC0XXXXXXXXXXXXXXXX|US DEPT OF EDU - DMCS2|9399.0
458|0000000006639140000|CEDAR GROVE|NJ|||US|NICHOLAS MARKET #346|1212NICHOLAS MARKET #346 CEDAR GROVE NJ  0XXXXXXXXXXXXXXXX           Purchase $62.97 Cash Back $50.00|NICHOLAS MARKET #346|5411.0
492||HURST|TX|||US|TOYS R US #7809|1223TOYS R US #7809 HURST TX             0XXXXXXXXXXXXXXXX|TOYS R US #7809|5945.0
640||SHOW LOW|AZ|||US|BOOT BARN #63 4481 S W|1218BOOT BARN #63 4481 S W SHOW LOW AZ   0XXXXXXXXXXXXXXXX|BOOT BARN #63 4481 S W|5661.0
651|6781930009878750000|800-653-8000|NY|10019.0||US|TM *WWE LIVE HOLIDAY T|1203TM *NBA RISING STARS 800-653-8000 NY 0XXXXXXXXXXXXXXXX|TM *TICKETMASTER TKTS|7922.0
652|6781930009878750000|800-653-8000|NY|10019.0||US|TM *ZZ TOP|1213TM *TICKETMASTER INTE 800-653-8000 NY0XXXXXXXXXXXXXXXX|TM *TICKETMASTER TKTS|7922.0
680|0000000009904710000|SACRAMENTO|CA|||US|COSTCO WHSE #0471|2733221214COSTCO WHSE #0471 SACRAMENTO CA      0XXXXXXXXXXXXXXXX|COSTCO WHSE #0471|5300.0
733|5428141104008320000|COLUMBUS|OH|||US|CHECKSMART OH00/2496 M|1264811231CHECKSMART OH00/2496 M COLUMBUS OH   0XXXXXXXXXXXXXXXX|CHECKSMART OH00/2496 MO|7399.0
739|0146680001166820000|800-288-2020|TX|75202.0||US|ATT*BILL PAYMENT|1205ATT*BILL PAYMENT 800-288-2020 TX     0XXXXXXXXXXXXXXXX|ATT*BILL PAYMENT|4814.0
741|0146680001166820000|800-288-2020|TX|75202.0||US|ATT*BILL PAYMENT|1206ATT*BILL PAYMENT 800-288-2020 TX     0XXXXXXXXXXXXXXXX|ATT*BILL PAYMENT|4814.0
745|0146680001166820000|800-288-2020|TX|75202.0||US|ATT*BILL PAYMENT|1212ATT*BILL PAYMENT 800-288-2020 TX     0XXXXXXXXXXXXXXXX|ATT*BILL PAYMENT|4814.0
754|0146680001166820000|800-288-2020|TX|75202.0||US|ATT*BILL PAYMENT|1212ATT*BILL PAYMENT 800-288-2020 TX     0XXXXXXXXXXXXXXXX|ATT*BILL PAYMENT|4814.0
761|0146680001166820000|800-288-2020|TX|75202.0||US|ATT*BILL PAYMENT|1211ATT*BILL PAYMENT 800-288-2020 TX     0XXXXXXXXXXXXXXXX|ATT*BILL PAYMENT|4814.0
762|0146680001166820000|800-288-2020|TX|75202.0||US|ATT*BILL PAYMENT|1215ATT*BILL PAYMENT 800-288-2020 TX     0XXXXXXXXXXXXXXXX|ATT*BILL PAYMENT|4814.0
763|0146680001166820000|800-288-2020|TX|75202.0||US|ATT*BILL PAYMENT|1202ATT*BILL PAYMENT 800-288-2020 TX     0XXXXXXXXXXXXXXXX|ATT*BILL PAYMENT|4814.0
765||HUNTINGTON|NY|||US|KMART 9381|1231KMART 9381 HUNTINGTON NY             0XXXXXXXXXXXXXXXX|KMART 9381|5310.0
778|2457290003955660000|800-345-5655|OR|97501.0||US|HAD*HARRY & DAVID|1215HAD*HARRY & DAVID 800-345-5655 OR    0XXXXXXXXXXXXXXXX|HAD*HARRY & DAVID|5964.0
780|2457290003955660000|800-345-5655|OR|97501.0||US|HAD*HARRY & DAVID|1218HAD*HARRY & DAVID 800-345-5655 OR    0XXXXXXXXXXXXXXXX|HAD*HARRY & DAVID|5964.0
827|2316610004160400000|317-972-9700|FL|33716.0||US|BRIGHT HOUSE NETWORKS|1207BRIGHT HOUSE NETWORKS 317-972-9700 FL0XXXXXXXXXXXXXXXX|BRIGHT HOUSE NETWORKS|4899.0
830|2316610004160400000|317-972-9700|FL|33716.0||US|BRIGHT HOUSE NETWORKS|1216BRIGHT HOUSE NETWORKS 317-972-9700 FL0XXXXXXXXXXXXXXXX|BRIGHT HOUSE NETWORKS|4899.0
833|2316610004160400000|317-972-9700|FL|33716.0||US|BRIGHT HOUSE NETWORKS|1206BRIGHT HOUSE NETWORKS 317-972-9700 FL0XXXXXXXXXXXXXXXX|BRIGHT HOUSE NETWORKS|4899.0
834|2316610004160400000|317-972-9700|FL|33716.0||US|BRIGHT HOUSE NETWORKS|1208BRIGHT HOUSE NETWORKS 317-972-9700 FL0XXXXXXXXXXXXXXXX|BRIGHT HOUSE NETWORKS|4899.0
845|04920051       0000|METAIRIE|LA|||US|BEDBATH&BEYOND# BEDBAT|1301151229BEDBATH&BEYOND# BEDBAT METAIRIE LA   0XXXXXXXXXXXXXXXX|BEDBATH&BEYOND# BEDBATH|5719.0
858|8788430147349  0000|Kingwood|TX|77339.0||US|KINGWOOD CAR CARE|1201KINGWOOD CAR CARE KINGWOOD TX        0XXXXXXXXXXXXXXXX|Kingwood Car Care|7538.0
862|4445077005322  0000|BATON ROUGE|LA|70809.0||US|CVS/PHARMACY #05322|1216CVS/PHARMACY #05322 BATON ROUGE LA   0XXXXXXXXXXXXXXXX|CVS/PHARMACY #05322|5912.0
865||SAN FRANCISCO|CA|||US|TIFFANY & CO #002|1212TIFFANY & CO #002 SAN FRANCISCO CA   0XXXXXXXXXXXXXXXX|TIFFANY & CO #002|5944.0
897|0004251669209900000|DAYTONA BEACH|FL|32117.0||US|COSTA DEL MAR|1207COSTA DEL MAR 386-274-4000 FL        0XXXXXXXXXXXXXXXX|COSTA DEL MAR|5699.0
898|4445100043638  0000|BROOKLYN|NY|11211.0||US|WALGREENS #4363|1231WALGREENS #4363 BROOKLYN NY          0XXXXXXXXXXXXXXXX|WALGREENS|5912.0
909||HOUSTON|TX|||US|BEST BUY #215|1228BEST BUY #215 HOUSTON TX             0XXXXXXXXXXXXXXXX|BEST BUY #215|5732.0
923|5429298003695140000|DALLAS|TX|75207.0||US|SIGELS BEVERAGES #|1818811224SIGELS BEVERAGES # DALLAS TX         0XXXXXXXXXXXXXXXX|SIGELS BEVERAGES #|5921.0
982|0008400214982310000|8886773030|TX|75201.0||US|TELETON USA LUE|1205TELETON USA LUE 888-6773030 TX       0XXXXXXXXXXXXXXXX|TELETON USA LUE|8398.0
1000|5348120720009710000|BRONX|NY|10458.0||US|BEST FURNITURE HOUSE CO|1205BEST FURNITURE HOUSE CO BRONX NY     0XXXXXXXXXXXXXXXX|BEST FURNITURE HOUSE C|5712.0
1034|0000000008540190000|JAMAICA|NY|||US|NSA SUPERMARKET|1398781214NSA SUPERMARKET JAMAICA NY           0XXXXXXXXXXXXXXXX|NSA SUPERMARKET|5411.0
1072|5429298059731530000|ASHEVILLE|NC|28801.0||US|BRUSIN' ALES ECOMM|1225BRUSIN' ALES ECOMM 828-252-8999 NC   0XXXXXXXXXXXXXXXX|BRUSIN' ALES ECOMM|5441.0
1090|8788430086329  0000|Brooklyn|NY|11211.0||US|AMAZING SAVINGS - 12|1215AMAZING SAVINGS - 12 BROOKLYN NY     0XXXXXXXXXXXXXXXX|Amazing Savings - 12|5399.0
1095||PHOENIX|AZ|||US|BURLNGTON STORES181|1205BURLNGTON STORES181 PHOENIX AZ       0XXXXXXXXXXXXXXXX|BURLNGTON STORES181|5651.0
1106||COLUMBUS|GA|||US|DICK'S CLOTHING&SPORTI|1220DICK'S CLOTHING&SPORTI COLUMBUS GA   0XXXXXXXXXXXXXXXX|DICK'S CLOTHING&SPORTI|5655.0
1214||REDLANDS|CA|||US|WAL-MART  Wal-Mart Sto|1227WAL-MART  Wal-Mart Sto REDLANDS CA   0XXXXXXXXXXXXXXXX|WAL-MART  Wal-Mart Sto|5310.0
1293|4445090733519  0000|MCALLEN|TX|78504.0||US|OFFICE DEPOT #519|1219OFFICE DEPOT #519 MCALLEN TX         0XXXXXXXXXXXXXXXX|OFFICE DEPOT #519|5943.0
1308|7200001520360010000|NEW ORLEANS|LA|70130.0||US|FRIEND|1228FRIEND NEW ORLEANS LA                0XXXXXXXXXXXXXXXX|FRIEND|5611.0
1315|5429298006819180000|REDLANDS|CA|92374.0||US|STATER BROS MARKET|1217STATER BROS MARKET REDLANDS CA       0XXXXXXXXXXXXXXXX           Purchase $51.01 Cash Back $50.00|STATER BROS MARKET|5411.0
1340|0298850001166820000|800-288-2020|TX|75202.0||US|ATT*BILL PAYMENT|1231ATT*BILL PAYMENT 800-288-2020 TX     0XXXXXXXXXXXXXXXX|ATT*BILL PAYMENT|4899.0
1341|0298850001166820000|800-288-2020|TX|75202.0||US|ATT*BILL PAYMENT|1216ATT*BILL PAYMENT 800-288-2020 TX     0XXXXXXXXXXXXXXXX|ATT*BILL PAYMENT|4899.0
1344|0298850001166820000|800-288-2020|TX|75202.0||US|ATT*BILL PAYMENT|1208ATT*BILL PAYMENT 800-288-2020 TX     0XXXXXXXXXXXXXXXX|ATT*BILL PAYMENT|4899.0
1346|0298850001166820000|800-288-2020|TX|75202.0||US|US TREASURY TAX PA|1212ATT*BILL PAYMENT 800-288-2020 TX     0XXXXXXXXXXXXXXXX|ATT*BILL PAYMENT|4899.0
1347|0298850001166820000|800-288-2020|TX|75202.0||US|ATT*BILL PAYMENT|1209ATT*BILL PAYMENT 800-288-2020 TX     0XXXXXXXXXXXXXXXX|ATT*BILL PAYMENT|4899.0
1350|0298850001166820000|800-288-2020|TX|75202.0||US|ATT*BILL PAYMENT|1229ATT*BILL PAYMENT 800-288-2020 TX     0XXXXXXXXXXXXXXXX|ATT*BILL PAYMENT|4899.0
1351|0298850001166820000|800-288-2020|TX|75202.0||US|ATT*BILL PAYMENT|1231ATT*BILL PAYMENT 800-288-2020 TX     0XXXXXXXXXXXXXXXX|ATT*BILL PAYMENT|4899.0
1353|0298850001166820000|800-288-2020|TX|75202.0||US|ATT*BILL PAYMENT|1218ATT*BILL PAYMENT 800-288-2020 TX     0XXXXXXXXXXXXXXXX|ATT*BILL PAYMENT|4899.0
1366|0298850001166820000|800-288-2020|TX|75202.0||US|ATT*BILL PAYMENT|1205ATT*BILL PAYMENT 800-288-2020 TX     0XXXXXXXXXXXXXXXX|ATT*BILL PAYMENT|4899.0
1373|0298850001166820000|800-288-2020|TX|75202.0||US|ATT*BILL PAYMENT|1218ATT*BILL PAYMENT 800-288-2020 TX     0XXXXXXXXXXXXXXXX|ATT*BILL PAYMENT|4899.0
1374|0298850001166820000|800-288-2020|TX|75202.0||US|ATT*BILL PAYMENT|1221ATT*BILL PAYMENT 800-288-2020 TX     0XXXXXXXXXXXXXXXX|ATT*BILL PAYMENT|4899.0
1382|0298850001166820000|800-288-2020|TX|75202.0||US|ATT*BILL PAYMENT|1220ATT*BILL PAYMENT 800-288-2020 TX     0XXXXXXXXXXXXXXXX|ATT*BILL PAYMENT|4899.0
1384|0298850001166820000|800-288-2020|TX|75202.0||US|ATT*BILL PAYMENT|1206ATT*BILL PAYMENT 800-288-2020 TX     0XXXXXXXXXXXXXXXX|ATT*BILL PAYMENT|4899.0
1385|0298850001166820000|800-288-2020|TX|75202.0||US|ATT*BILL PAYMENT|1207ATT*BILL PAYMENT 800-288-2020 TX     0XXXXXXXXXXXXXXXX|ATT*BILL PAYMENT|4899.0
1393|0298850001166820000|800-288-2020|TX|75202.0||US|ATT*BILL PAYMENT|0101ATT*BILL PAYMENT 800-288-2020 TX     0XXXXXXXXXXXXXXXX|ATT*BILL PAYMENT|4899.0
1394|0298850001166820000|800-288-2020|TX|75202.0||US|ATT*BILL PAYMENT|1218ATT*BILL PAYMENT 800-288-2020 TX     0XXXXXXXXXXXXXXXX|ATT*BILL PAYMENT|4899.0
1395|0298850001166820000|800-288-2020|TX|75202.0||US|ATT*BILL PAYMENT|1230ATT*BILL PAYMENT 800-288-2020 TX     0XXXXXXXXXXXXXXXX|ATT*BILL PAYMENT|4899.0
1401|0298850001166820000|800-288-2020|TX|75202.0||US|ATT*BILL PAYMENT|1220ATT*BILL PAYMENT 800-288-2020 TX     0XXXXXXXXXXXXXXXX|ATT*BILL PAYMENT|4899.0
1432|0000000008802560000|ROUND ROCK|TX|||US|HEB #373|9236501209HEB #373 ROUND ROCK TX               0XXXXXXXXXXXXXXXX|HEB #373|5411.0
1498|067107004152   0000|SCHAUMBURG|IL|||US|THE HOME DEPOT 1904|5406111221THE HOME DEPOT 1904 SCHAUMBURG IL    0XXXXXXXXXXXXXXXX|THE HOME DEPOT 1904|5200.0
1515|W0434931       0000|CHICAGO|IL|||US|WALGREENS 201 W MADISO|6247401226WALGREENS 201 W MADISO CHICAGO IL    0XXXXXXXXXXXXXXXX|WALGREENS 201 W MADISON|5912.0
1519||VALLEY STREAM|NY|||US|WM SUPERC Wal-Mart Sup|1229WM SUPERC Wal-Mart S VALLEY STREAM NY0XXXXXXXXXXXXXXXX|WM SUPERC Wal-Mart Sup|5411.0
1568|0003450315078810000|LEXEXA|KS|89506.0||US|JCPENNEY.COM|1202JCPENNEY.COM JCPENNEY.COM KS         0XXXXXXXXXXXXXXXX|JCPENNEY.COM|5311.0
1659|1121370001087780000|866-712-7753|CA|95014.0||US|SOLE SNATCHER|1230APL* ITUNES.COM/BILL 866-712-7753 CA 0XXXXXXXXXXXXXXXX|APL* ITUNES.COM/BILL|5735.0
1721|1121370001087780000|866-712-7753|CA|95014.0||US|RACETRAC 99   00000992|1210APL* ITUNES.COM/BILL 866-712-7753 CA 0XXXXXXXXXXXXXXXX|APL* ITUNES.COM/BILL|5735.0
1990||HARTLAND|MI|||US|WAL-MART #4584|1206WAL-MART #4584 HARTLAND MI           0XXXXXXXXXXXXXXXX|WAL-MART #4584|5411.0
2006|5058180640162350000|Houston|TX|77063.0||US|NUCERITY INTERNATIONAL|1205NUCERITY INTERNATIONAL 713-9619090 TX0XXXXXXXXXXXXXXXX|Nucerity International|5499.0
2014|01660004       0000|ROSEVILLE|MI|||US|BEDBATH&BEYOND# BEDBAT|8254741223BEDBATH&BEYOND# BEDBAT ROSEVILLE MI  0XXXXXXXXXXXXXXXX|BEDBATH&BEYOND# BEDBATH|5719.0
2021|175000001084   0000|CAROL STREAM|IL|||US|LOWE'S #1821|0814421222LOWE'S #1821 CAROL STREAM IL         0XXXXXXXXXXXXXXXX|LOWE'S #1821|5200.0
2026|3998007094920000000|8668935023|DC|20033.0||US|DC TICKET PAYMENT  WEB|1207DC TICKET PAYMENT  WEB 866-8935023 DC0XXXXXXXXXXXXXXXX|DC TICKET PAYMENT - WEB|9222.0
2030|8000000495040010000|SEATTLE|WA|98109.0||US|TOMMY BAHAMA ECOMM|1222TOMMY BAHAMA ECOMM 866-986-8282 WA   0XXXXXXXXXXXXXXXX|TOMMY BAHAMA ECOMM|5999.0
2036|5600000252340010000|LITTLETON|CO|80120.0||US|8108 EXTRA SPACE STORA|12018108 EXTRA SPACE STOR 303-798-5559 CO0XXXXXXXXXXXXXXXX|8108 EXTRA SPACE STORA|4225.0
2051|451960011992   0000|WEB|CA|85034.0||US|USAIRWAYS   03723850208|1226USAIRWAYS   037238493 800-428-4322 AZ0XXXXXXXXXXXXXXXX|US|3063.0
2078||LA PALMA|CA|||US|WAL-MART #3099|1213WAL-MART #3099 LA PALMA CA           0XXXXXXXXXXXXXXXX           Purchase $21.11 Cash Back $100.00|WAL-MART #3099|5411.0
2083|8028815358     0000|MERIDIAN|ID|83646.0||US|TOY TOWN MERIDIAN|1224TOY TOWN MERIDIAN MERIDIAN ID        0XXXXXXXXXXXXXXXX|TOY TOWN MERIDIAN|5945.0
2123|4445013507525  0000|SANTA CLARITA|CA|91387.0||US|KOHL'S #752|1206KOHL'S #752 SANTA CLARITA CA         0XXXXXXXXXXXXXXXX|KOHL'S #752|5311.0
2156|4700001029     0000|ENCINITAS|CA|92024.0||US|TARGET        00010298|1208TARGET        00010298 ENCINITAS CA  0XXXXXXXXXXXXXXXX|TARGET|5411.0
2194|2190400002070480000|Tujunga|CA|91042.0||US|IN *TRUE TRACK LLC|1202IN *TRUE TRACK LLC 818-2792189 CA    0XXXXXXXXXXXXXXXX|IN *True Track LLC|7299.0
2347|7200001494000010000|BURBANK|CA|91505.0||US|GOTPRINT.COM|1209GOTPRINT.COM 818-252-3000 CA         0XXXXXXXXXXXXXXXX|GOTPRINT.COM|2741.0
2387||PALM DESERT|CA|||US|COSTCO WHSE #04|1222COSTCO WHSE #04 PALM DESERT CA       0XXXXXXXXXXXXXXXX|COSTCO WHSE #04|5411.0
2388||PALM DESERT|CA|||US|COSTCO WHSE #04|1228COSTCO WHSE #04 PALM DESERT CA       0XXXXXXXXXXXXXXXX           Purchase $195.49 Cash Back $60.00|COSTCO WHSE #04|5411.0
2404|10816006310    0000|SAN JOSE|CA|95119.0||US|KAISER 063|1219KAISER 063 SAN JOSE CA               0XXXXXXXXXXXXXXXX|KAISER 063|5912.0
2419|6745730104200990000|DALLAS|TX|75225.0||US|STEVE MADDEN #104|1220STEVE MADDEN #104 DALLAS TX          0XXXXXXXXXXXXXXXX|STEVE MADDEN #104|5661.0
2447|7200001473140050000|SACRAMENTO|CA|95815.0||US|SEPHORA 50|1220SEPHORA 50 SACRAMENTO CA             0XXXXXXXXXXXXXXXX|SEPHORA 50|5977.0
2535|5429298059852490000|LEHI|UT|84043.0||US|CARSON MEATS|1216CARSON MEATS LEHI UT                 0XXXXXXXXXXXXXXXX|CARSON MEATS|5411.0
2540|0004242274088890000|FT WORTH|TX|76102.0||US|TARRANT COUNTY COLLEGE|1226TARRANT COUNTY COLLEG 817-515-8223 TX0XXXXXXXXXXXXXXXX|TCC REGISTRATION|8220.0
2605|0654520001198350000|909-394-3600|CA|91773.0||US|GOLDEN STATE WATER|1223GOLDEN STATE WATER 909-394-3600 CA   0XXXXXXXXXXXXXXXX|GOLDEN STATE WATER|4900.0
2625|372183800880   0000|6239154444|IL|85301.0||US|ACCESS - GLENDALE|1209ACCESS - GLENDALE 623-915-4444 IL    0XXXXXXXXXXXXXXXX|ACCESS - GLENDALE|6300.0
2679|6815850009878750000|213-480-3232|CA|90010.0||US|TM *X-|1218TM *FLEETWOOD MAC 213-480-3232 CA    0XXXXXXXXXXXXXXXX|TM *TICKETMASTER TKTS|7922.0
2719|3000089279361010000|GLENDALE|CA|91210.0||US|ORIGINAL PENGUIN #693|1211ORIGINAL PENGUIN #693 GLENDALE CA    0XXXXXXXXXXXXXXXX|ORIGINAL PENGUIN #693|5999.0
2762|1712944502     0000|Seattle|WA|||US|METROPOLITAN MA 100 Me|8554741203METROPOLITAN MA 100 Me Seattle WA    0XXXXXXXXXXXXXXXX|METROPOLITAN MA 100 Mer|5411.0
2769|00850002       0000|AUBURN|WA|||US|BEDBATH&BEYOND# BEDBAT|7260481220BEDBATH&BEYOND# BEDBAT AUBURN WA     0XXXXXXXXXXXXXXXX|BEDBATH&BEYOND# BEDBATH|5719.0
2804|4561290004503040000|800-937-8997|WA|98006.0||US|T-MOBILE RECURRING PMT|1213T-MOBILE RECURRING PM 800-937-8997 WA0XXXXXXXXXXXXXXXX|T-MOBILE RECURRING PMT|4814.0
2805|4561290004503040000|800-937-8997|WA|98006.0||US|T-MOBILE RECURRING PMT|1217T-MOBILE RECURRING PM 800-937-8997 WA0XXXXXXXXXXXXXXXX|T-MOBILE RECURRING PMT|4814.0
2807|4561290004503040000|800-937-8997|WA|98006.0||US|T-MOBILE RECURRING PMT|1201T-MOBILE RECURRING PM 800-937-8997 WA0XXXXXXXXXXXXXXXX|T-MOBILE RECURRING PMT|4814.0
2809|4561290004503040000|800-937-8997|WA|98006.0||US|T-MOBILE RECURRING PMT|1213T-MOBILE RECURRING PM 800-937-8997 WA0XXXXXXXXXXXXXXXX|T-MOBILE RECURRING PMT|4814.0
2810|5428141800409240000|BRONX|NY|10474.0||US|RONCO OIL INC|1231RONCO OIL INC 718-861-1110 NY        0XXXXXXXXXXXXXXXX|RONCO OIL INC|5983.0
2818|28110081       0000|BRONX|NY|||US|TARGET T2811 TARGET T2|1228TARGET T2811 TARGET T2 BRONX NY      0XXXXXXXXXXXXXXXX           Purchase $194.16 Cash Back $40.00|TARGET T2811 TARGET T28|5411.0
2845|067107003279   0000|VALLEY STREAM|NY|||US|THE HOME DEPOT 1216|6382511221THE HOME DEPOT 1216 VALLEY STREAM NY 0XXXXXXXXXXXXXXXX|THE HOME DEPOT 1216|5200.0
2860|7200003183480010000|FREMONT|CA|94538.0||US|STRIZZI'S FREMONT|1202STRIZZI'S FREMONT FREMONT CA         0XXXXXXXXXXXXXXXX|STRIZZI'S FREMONT|5814.0
2883|5429298390002130000|MIAMI|FL|33177.0||US|SEDANO'S #21|1218SEDANO'S #21 MIAMI FL                0XXXXXXXXXXXXXXXX|SEDANO'S #21|5411.0
2891|00000071627    0000|DEKALB|IL|||US|KOHLS 0716 2070 SYCAMO|9383401206KOHLS 0716 2070 SYCAMO DEKALB IL     0XXXXXXXXXXXXXXXX|KOHLS 0716 2070 SYCAMOR|5311.0
2892|5600000133230040000|BATON ROUGE|LA|70809.0||US|KEANS THE CLEANER INT|1203KEANS THE CLEANER INT 888-955-5480 LA0XXXXXXXXXXXXXXXX|KEANS THE CLEANER-INT|4225.0
2916|006020197999   0000|AUBURN HILLS|MI|||US|TOMMY HILFIGER RETAIL|6763471214TOMMY HILFIGER RETAIL AUBURN HILLS MI0XXXXXXXXXXXXXXXX|TOMMY HILFIGER RETAIL|5611.0
2942|KFM11104       0000|FEDERAL WAY|WA|||US|FRED MEYER FRED MEYER|3557461206FRED MEYER FRED MEYER FEDERAL WAY WA 0XXXXXXXXXXXXXXXX|FRED MEYER FRED MEYER 1|5411.0
2953|0027000035450010000|MILTON|WA|||US|SAFEWAY  STORE  3545|4019211204SAFEWAY  STORE  3545 MILTON WA       0XXXXXXXXXXXXXXXX|SAFEWAY  STORE  3545|5411.0
3044|2162640000533600000|Burbank|CA|91504.0||US|STARBUCKS #10802 BURBAN|1219STARBUCKS #10802 BURBAN Burbank CA   0XXXXXXXXXXXXXXXX|STARBUCKS #10802 BURBA|5814.0
3062|80050077712    0000|SHELBYVILLE|KY|||US|KROGER 311 BOONE STATI|8329991213KROGER 311 BOONE STATI SHELBYVILLE KY0XXXXXXXXXXXXXXXX|KROGER 311 BOONE STATIO|5411.0
3072|0000000009900920000|MIAMI|FL|||US|COSTCO WHSE #0092|0972491230COSTCO WHSE #0092 MIAMI FL           0XXXXXXXXXXXXXXXX|COSTCO WHSE #0092|5300.0
3090|0003456668318870000|PASADENA|CA|91101.0||US|FEDEXOFFICE   00037010|1205FEDEXOFFICE   00037010 PASADENA CA   0XXXXXXXXXXXXXXXX|FEDEXOFFICE #0003701|7338.0
3105|0000000081222960000|CAMPBELL|CA|95008.0||US|R V CLOUD COMPANY|1223R V CLOUD COMPANY CAMPBELL CA        0XXXXXXXXXXXXXXXX|R V CLOUD COMPANY|5085.0
3107|0003455355868860000|GLENDALE|CA|91206.0||US|GLENDALE - GWP ONLINE|1218GLENDALE - GWP ONLINE 818-548-3300 CA0XXXXXXXXXXXXXXXX|CITY OF GLENDALE|4900.0
3136|0001740300729980000|4029357733|CA|95131.0||US|PAYPAL *LIGHTINTHEB|1204PAYPAL *LIGHTINTHEB 402-935-7733 CA  0XXXXXXXXXXXXXXXX|PAYPAL *LIGHTINTHEB|5331.0
3145|178044154999   0000|ORANGE|CT|||US|JETRO HOLDINGS LLC|6973091223JETRO HOLDINGS LLC ORANGE CT         0XXXXXXXXXXXXXXXX|JETRO HOLDINGS LLC|5411.0
3163|0000671070138230000|CHICAGO|IL|60647.0||US|THE HOME DEPOT 1961|1226THE HOME DEPOT 1961 CHICAGO IL       0XXXXXXXXXXXXXXXX|THE HOME DEPOT 1961|5200.0
3249|7200001092680100000|FRISCO|TX|75034.0||US|VERA BRADLEY #0042|1201VERA BRADLEY #0042 FRISCO TX         0XXXXXXXXXXXXXXXX|VERA BRADLEY #0042|5631.0
3286|0008492626048870000|HOUSTON|TX|77024.0||US|Goode Company Seafood #|1205Goode Company Seafood # Houston TX   0XXXXXXXXXXXXXXXX|GOODE COMPANY SEAFOOD #|5812.0
3308|0125000009360010000|WALNUT CREEK|CA|||US|SAFEWAY  STORE  0936|3539491229SAFEWAY  STORE  0936 WALNUT CREEK CA 0XXXXXXXXXXXXXXXX|SAFEWAY  STORE  0936|5411.0
3338|328020020991   0000|COLLEGE STATI|TX|||US|ACADEMY SPORTS #20|3370151223ACADEMY SPORTS #20 COLLEGE STATI TX  0XXXXXXXXXXXXXXXX|ACADEMY SPORTS #20|5941.0
3434|0003722564358870000|ESCONDIDO|CA|92025.0||US|METRO PCS|1227METRO PCS ESCONDIDO CA               0XXXXXXXXXXXXXXXX|METRO PCS|4812.0
3446|4445090930073  0000|SAN FRANCISCO|CA|94103.0||US|NORDSTROM #0427|1221NORDSTROM #0427 SAN FRANCISCO CA     0XXXXXXXXXXXXXXXX|NORDSTROM #0427|5311.0
3453|324011417999   0000|GREENFIELD|WI|||US|AT&T MOBILITY II LLC|0541121206AT&T MOBILITY II LLC GREENFIELD WI   0XXXXXXXXXXXXXXXX|AT&T MOBILITY II LLC|4814.0
3459|0022353961200010000|INGLEWOOD|CA|||US|AutoZone 5396 10110 S|7076311215AutoZone 5396 10110 S INGLEWOOD CA   0XXXXXXXXXXXXXXXX|AutoZone 5396 10110 S H|5533.0
