store_number,store_name,address,city,state,zip_code,phone_number,manager,tool_rental,wifi,store_hours,latitude,longitude
122,Savannah,11180 Abercorn St,Savannah,GA,31419,(912) 921-0158,Robert W. Pounder,yes,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 8:00-20:00,31.98311,-81.144404
123,Jonesboro,3885 Jonesboro Rd SE,Atlanta,GA,30354,(404) 361-5634,Terrance Rhymes,yes,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 8:00-20:00,33.648481,-84.3656
126,Lawrenceville,875 Lawrncvile Suwane Rd,Lawrenceville,GA,30043,(770) 338-9830,Aaron K. Seay,,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 8:00-19:00,33.970662,-84.018405
127,"Fayetteville, GA",103 Pavillion Parkway,Fayetteville,GA,30214,(770) 461-9819,Holly D. Tate,,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 8:00-19:00,33.479542,-84.44318
128,Conyers,1330 Dogwood Dr,Conyers,GA,30013,(770) 918-9670,Brenda J. Boykin,yes,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 8:00-19:00,33.653392,-84.002065
129,Athens,1740 Epps Bridge Rd,Athens,GA,30606,(706) 353-6079,Norman B. Norwood,,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 8:00-19:00,33.914683,-83.447117
130,Cascade,1032 Research Center,Atlanta,GA,30331,(404) 691-2077,Joel O. Cogdell,yes,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 8:00-20:00,33.727329,-84.505804
131,N Fulton,5950 State Bridge Rd,Duluth,GA,30097,(770) 476-4460,James M. Kelly,yes,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 8:00-19:00,34.01538,-84.18658
132,"Carrollton, GA",1332 South Park St,Carrollton,GA,30117,(770) 832-1796,Julie N. Hatcher,yes,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 8:00-19:00,33.55284,-85.07329
133,Cartersville,100 Gentilly Blvd,Cartersville,GA,30120,(770) 606-0298,William M. Sellers,,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 8:00-19:00,34.18702,-84.78853
134,Cumming,1000 Market Pl Blvd,Cumming,GA,30041,(770) 888-8135,Russell Cross,yes,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 8:00-19:00,34.181269,-84.13206
136,Columbus,2891 Sowega Dr,Columbus,GA,31909,(706) 322-9240,Karen T. Tyler,yes,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 8:00-19:00,32.523618,-84.949857
137,Dalton,875 Shugart Rd,Dalton,GA,30720,(706) 278-8881,Anne M. Langham,,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 8:00-19:00,34.79111,-84.99651
138,Griffin,1435 Highway 16 W,Griffin,GA,30223,(770) 233-9411,Joanne B. Davis,,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 8:00-19:00,33.247475,-84.288747
139,Rome,103 Hicks Drive,Rome,GA,30161,(706) 236-9030,Richard K. Cornett,yes,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 8:00-19:00,34.252311,-85.163257
140,Valdosta,1825 Norman Dr,Valdosta,GA,31601,(229) 293-9008,Erin H. McQueen,,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 8:00-20:00,30.844526,-83.315196
141,Brunswick,200 Altama Connector,Brunswick,GA,31520,(912) 264-2025,Scott E. Bradley,,yes,Monday 6:00-21:00; Tuesday 6:00-21:00; Wednesday 6:00-21:00; Thursday 6:00-21:00; Friday 6:00-21:00; Saturday 6:00-21:00; Sunday 8:00-20:00,31.212755,-81.490742
143,Douglasville,7399 Douglas Blvd,Douglasville,GA,30135,(770) 577-8311,Jermaine M. Luke,yes,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 8:00-19:00,33.72483,-84.76584
144,Snellville,1670 Scenic Hwy N,Snellville,GA,30078,(770) 982-6166,Frank J. Klemenc,yes,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 8:00-19:00,33.882824,-84.01094
145,"Canton, GA",2200 Riverstone Blvd,Canton,GA,30114,(770) 720-8910,Steven E. Renegar,yes,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 8:00-19:00,34.25341,-84.47456
146,NW Roswell/Westwind,870 Woodstock Rd,Roswell,GA,30075,(678) 461-0155,Kenneth R. McDaniel,,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 8:00-19:00,34.06073,-84.38723
147,Buford,4120 Highway 20,Buford,GA,30518,(770) 831-5005,Stephanie Morejon,yes,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 8:00-19:00,34.091796,-84.00089
148,Newnan,1100 Bullsboro Dr,Newnan,GA,30265,(770) 252-1585,Brian T. Hofmann,,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 8:00-19:00,33.396991,-84.742508
149,Alpharetta,5300 Windward Pkwy,Alpharetta,GA,30004,(678) 339-0157,Ronnie L. Martin,yes,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 8:00-19:00,34.08901,-84.27341
151,Paulding County,145 Depot Drive,Hiram,GA,30141,(770) 439-0707,Joseph M. Struck,yes,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 8:00-19:00,33.88784,-84.75254
152,"Gainesville, GA",924 Dawsonville Hwy,Gainesville,GA,30501,(770) 532-7395,Anthony R. Gilmer,yes,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 8:00-19:00,34.29881,-83.85687
153,West Cobb,2350 Dallas Hwy,Marietta,GA,30064,(770) 792-6858,John W. Lippelt,yes,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 8:00-19:00,33.946141,-84.620808
155,"Albany, GA",1219 Westover Blvd,Albany,GA,31707,(229) 446-2010,James R. King,,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 8:00-20:00,31.616718,-84.206511
156,Acworth,3355 Cobb Pkwy,Acworth,GA,30101,(770) 917-8425,Richard A. Gross,yes,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 8:00-19:00,34.036265,-84.685617
157,McDonough,1750 Jonesboro Rd,McDonough,GA,30253,(678) 432-5827,Rafael A. DE Jesus,yes,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 8:00-19:00,33.46356,-84.21373
159,Midtown,650 Ponce DE Leon,Atlanta,GA,30308,(404) 892-8042,Annmarie K. Lieberman,yes,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 8:00-20:00,33.773346,-84.365392
160,Lagrange,1500 Layfayette Pkwy,Lagrange,GA,30240,(706) 882-9869,William R. Salemi,,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 8:00-19:00,33.04224,-84.981359
161,Hamilton Mill,2120 Hamilton Creek Pkwy,Dacula,GA,30019,(770) 945-7176,Dennis W. Youngblood,yes,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 8:00-19:00,34.071045,-83.912799
163,Warner Robins,2620 Watson Blvd,Warner Robins,GA,31093,(478) 923-4594,Lisa K. Curry,,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 8:00-20:00,32.619692,-83.666665
164,Peachtree City,2715 Hwy 54 W,Peachtree City,GA,30269,(678) 364-0163,Kevin G. Hawkins,yes,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 8:00-19:00,33.396924,-84.59894
165,"Covington,GA",13171 Hwy 142 NW,Covington,GA,30014,(770) 784-0197,Rachel S. Meyer,yes,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 8:00-19:00,33.614597,-83.82389
170,East Savannah,1901 E Victory Dr,Savannah,GA,31404,(912) 352-3562,Doug M. Coleman,yes,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 8:00-20:00,32.041889,-81.068286
172,Loganville,4141 Atlanta Highway,Loganville,GA,30052,(770) 554-0472,Daniel W. Perry,,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 8:00-19:00,33.844335,-83.909358
174,Dawsonville,801 Hwy 400 South,Dawsonville,GA,30534,(706) 531-0046,Steven E. Mitchell,yes,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 8:00-19:00,34.356649,-84.045348
175,Tucker,4136 Jimmy Carter Blvd,Norcross,GA,30093,(770) 938-7819,Timothy A. Taylor,yes,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 8:00-19:00,33.870721,-84.18814
178,"Riverdale, GA",680 Lamar Hutcheson Pkwy,Riverdale,GA,30274,(770) 907-6027,Tanya M. Williams,yes,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 8:00-19:00,33.561087,-84.412978
179,Pooler,190 Pooler Pkwy,Pooler,GA,31322,(912) 748-1642,Tammy A. Coleman,,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 8:00-20:00,32.143482,-81.245859
201,Port Charlotte,19690 Cochran Blvd,Port Charlotte,FL,33948,(941) 625-0783,Charlotta C. Mitchell,yes,yes,Monday 6:00-21:00; Tuesday 6:00-21:00; Wednesday 6:00-21:00; Thursday 6:00-21:00; Friday 6:00-21:00; Saturday 6:00-21:00; Sunday 8:00-20:00,27.014785,-82.136121
202,Hialeah,1590 West 49th Street,Hialeah,FL,33012,(305) 827-6693,Angel Blanco,,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 7:00-20:00,25.864734,-80.313896
203,Lake Wales,24201 North US Hwy 27,Lake Wales,FL,33853,(863) 679-8075,Dennis S. Harwell,yes,yes,Monday 6:00-21:00; Tuesday 6:00-21:00; Wednesday 6:00-21:00; Thursday 6:00-21:00; Friday 6:00-21:00; Saturday 6:00-21:00; Sunday 8:00-20:00,27.960194,-81.62359
204,Boca Raton,9820 Glades Road,Boca Raton,FL,33434,(561) 451-0240,Edward Mary,,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 7:00-20:00,26.366255,-80.199823
205,Lake Worth,4241 Lake Worth Rd,Lake Worth,FL,33461,(561) 642-2626,Edward J. Siatkowski,,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 7:00-20:00,26.619421,-80.109324
206,West Dade,11305 SW 40th Street,Miami,FL,33165,(305) 552-9005,Carell Rodriguez,yes,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 7:00-20:00,25.732219,-80.377788
207,Cutler Ridge,19400 SW 106th Ave,Miami,FL,33157,(305) 234-2700,William J. Flint,yes,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 7:00-20:00,25.585437,-80.366292
208,Pompano Beach,1151 NW Copans Rd,Pompano Beach,FL,33064,(954) 978-6100,Carnel N. White,yes,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 7:00-20:00,26.261549,-80.138406
209,NW Dade,5500 NW 167th Street,Hialeah,FL,33014,(305) 624-1900,Colville S. Morton,,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 7:00-20:00,25.923687,-80.290657
210,Kendall,12700 SW 88th St,Miami,FL,33186,(305) 386-1900,Heranfel E. Ayala,,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 7:00-20:00,25.684233,-80.401672
213,Vero Beach,1885 58th Ave,Vero Beach,FL,32966,(772) 794-0566,James Simmons,,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 8:00-20:00,27.636612,-80.448009
218,Deerfield Beach,60 SW 12th Ave,Deerfield Beach,FL,33442,(954) 427-0028,Joseph S. Greeley,,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 7:00-20:00,26.316483,-80.118116
220,Lake Park,3860 Northlake Blvd,Lake Park,FL,33403,(561) 627-9555,Ronald Malits,,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 8:00-20:00,26.804793,-80.095378
221,Jensen Beach,3451 NW Federal Hwy,Jensen Beach,FL,34957,(772) 692-9000,Deanna N. Henry,,yes,Monday 6:00-21:00; Tuesday 6:00-21:00; Wednesday 6:00-21:00; Thursday 6:00-21:00; Friday 6:00-21:00; Saturday 6:00-21:00; Sunday 8:00-19:00,27.248261,-80.270273
222,Davie,2300 S University D,Davie,FL,33324,(954) 476-9600,Jose Gutierrez,,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 7:00-20:00,26.091553,-80.247917
224,Boynton Beach,1500 SW 8th St,Boynton Beach,FL,33426,(561) 364-9600,Geoffrey E. Montgomery,yes,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 7:00-20:00,26.515671,-80.075121
226,Southside,9021 Southside Blvd,Jacksonville,FL,32256,(904) 464-0046,Rian A. Morris,yes,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 8:00-20:00,30.19594,-81.549302
232,Southland,7423 Southland Blvd,Orlando,FL,32809,(407) 859-3500,Raymond J. Merced,yes,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 8:00-20:00,28.454759,-81.401909
233,Daytona Beach,2455 Int'L Speedwy Blvd,Daytona Beach,FL,32114,(386) 257-5114,Gary Lintner,,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 0:00-0:00,29.181281,-81.079429
234,Merritt Island,200 N Courtenay Pkwy,Merritt Island,FL,32953,(321) 453-5855,Paul Grubbs,yes,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 8:00-20:00,28.35915,-80.699051
238,Port Richey,10017 US Hwy 19,Port Richey,FL,34668,(727) 869-2711,Robert L. Doseck,,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 8:00-20:00,28.30309,-82.706454
243,Brandon,9941 E Adamo Dr,Tampa,FL,33619,(813) 664-0042,Jeffrey Rosenberg,,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 8:00-20:00,27.944073,-82.340052
244,Bradenton,2350 Cortez Road West,Bradenton,FL,34207,(941) 753-7777,B. S. Lindergren,,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 8:00-20:00,27.463248,-82.584765
245,N Dale Mabry,16121 N Dale Mabry Hwy,Tampa,FL,33618,(813) 960-0051,Jessica L. Kelley,yes,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 8:00-20:00,28.097925,-82.500702
247,Palm Harbor,30144 US Hwy 19 N,Clearwater,FL,33761,(727) 784-3800,Daleth M. King,yes,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 8:00-20:00,28.045922,-82.739948
248,Lakeland,2805 US Highway 98 N,Lakeland,FL,33805,(863) 688-6800,Jonathon H. Wagner,yes,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 8:00-20:00,28.07975,-81.96221
249,Oakland Park,1701 W Oakland Pk Blvd,Oakland Park,FL,33311,(954) 733-3030,Nadene D. Rose,yes,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 7:00-20:00,26.167794,-80.165873
251,N Miami Beach,1245 NE 163rd Street,North Miami Beach,FL,33162,(305) 940-6503,Lorenzo V Perez,yes,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 7:00-20:00,25.925501,-80.175186
253,Ocala,3300 SW 35th Terrace,Ocala,FL,34474,(352) 873-1144,Luke A. Eury,,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 8:00-20:00,29.155009,-82.183464
254,Tallahassee,3200 Capital Cir NE,Tallahassee,FL,32308,(850) 422-2777,Norman W. Thomas,yes,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 8:00-20:00,30.494782,-84.247185
255,Sarasota,4111 Cattleman Rd,Sarasota,FL,34233,(941) 377-1900,Thomas P. Kanatzar,yes,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 8:00-20:00,27.293863,-82.450184
256,S Tampa,1712 N Dale Mabry Hwy,Tampa,FL,33607,(813) 879-1000,Rebecca W. Muldoon,yes,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 8:00-20:00,27.958305,-82.508167
257,St Pete,2300 22nd Ave North,Saint Petersburg,FL,33713,(727) 898-1100,Joseph A. Lombardi,yes,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 8:00-20:00,27.790029,-82.663982
258,Sunrise,2901 N University Dr,Sunrise,FL,33322,(954) 747-8226,Heriberto L. Correa,yes,yes,Monday 6:00-22:00; Tuesday 6:00-22:00; Wednesday 6:00-22:00; Thursday 6:00-22:00; Friday 6:00-22:00; Saturday 6:00-22:00; Sunday 7:00-20:00,26.160433,-80.258892
