keywords,store_number,store_name,address,city,state,zip_code,phone_number,fax_number,store_hours,pharmacy_number,pharmacy_hours,latitude,longitude
Publix,22,Publix at Northridge,5100 Clark Rd,Sarasota,FL,34233-3226,(941) 926-8297,,"Sun 7:00 AM - 10:00 PM, Mon 7:00 AM - 10:00 PM, Tues 7:00 AM - 10:00 PM, Wed 7:00 AM - 10:00 PM, Thurs 7:00 AM - 10:00 PM, Fri 7:00 AM - 10:00 PM, Sat 7:00 AM - 10:00 PM,",(941) 926-8532,"Mon thru Fri 9:00 AM - 9:00 PM, Sat 9:00 AM - 7:00 PM, Sun 11:00 AM - 6:00 PM",27.266081,-82.467878
Publix,23,Riverbridge Center,6790 Forest Hill Blvd,Greenacres,FL,33413-3351,(561) 641-4500,(561) 641-5910,"Sun 7:00 AM - 10:00 PM, Mon 7:00 AM - 11:00 PM, Tues 7:00 AM - 11:00 PM, Wed 7:00 AM - 11:00 PM, Thurs 7:00 AM - 11:00 PM, Fri 7:00 AM - 11:00 PM, Sat 7:00 AM - 11:00 PM,",(561) 304-4983,"Mon thru Fri 9:00 AM - 9:00 PM, Sat 9:00 AM - 7:00 PM, Sun 10:00 AM - 5:00 PM",26.649438,-80.147908
Publix,24,Hammocks Town Center,10201 Hammocks Blvd Ste 111,Miami,FL,33196-3780,(305) 382-3002,(305) 386-2654,"Sun 7:00 AM - 10:00 PM, Mon 7:00 AM - 11:00 PM, Tues 7:00 AM - 11:00 PM, Wed 7:00 AM - 11:00 PM, Thurs 7:00 AM - 11:00 PM, Fri 7:00 AM - 11:00 PM, Sat 7:00 AM - 11:00 PM,",(305) 382-7421,"Mon thru Fri 9:00 AM - 9:00 PM, Sat 9:00 AM - 7:00 PM, Sun 10:00 AM - 5:00 PM",25.672906,-80.441377
Publix,26,Cruse Marketplace,1735 Buford Hwy,Cumming,GA,30041-1266,(770) 781-5601,(770) 781-9257,"Sun 7:00 AM - 10:00 PM, Mon 7:00 AM - 10:00 PM, Tues 7:00 AM - 10:00 PM, Wed 7:00 AM - 10:00 PM, Thurs 7:00 AM - 10:00 PM, Fri 7:00 AM - 10:00 PM, Sat 7:00 AM - 10:00 PM,",(770) 781-8152,"Mon thru Fri 9:00 AM - 8:00 PM, Sat 9:00 AM - 6:00 PM, Sun 11:00 AM - 5:00 PM",34.1626189,-84.1157748
Publix,27,East Towne Center,13900 County Road 455,Clermont,FL,34711-9052,(407) 877-1545,,"Sun 7:00 AM - 10:00 PM, Mon 7:00 AM - 10:00 PM, Tues 7:00 AM - 10:00 PM, Wed 7:00 AM - 10:00 PM, Thurs 7:00 AM - 10:00 PM, Fri 7:00 AM - 10:00 PM, Sat 7:00 AM - 10:00 PM,",(407) 877-1565,"Mon thru Fri 9:00 AM - 9:00 PM, Sat 9:00 AM - 7:00 PM, Sun 11:00 AM - 6:00 PM",28.548543,-81.679502
Publix,28,University Village,250 3rd St S,Saint Petersburg,FL,33701-4235,(727) 822-1125,,"Sun 7:00 AM - 10:00 PM, Mon 7:00 AM - 10:00 PM, Tues 7:00 AM - 10:00 PM, Wed 7:00 AM - 10:00 PM, Thurs 7:00 AM - 10:00 PM, Fri 7:00 AM - 10:00 PM, Sat 7:00 AM - 10:00 PM,",,,27.7687929,-82.6370521
Publix,30,Aventura Shopping Center,2952 Aventura Blvd,Aventura,FL,33180-3103,(305) 931-4810,(305) 931-6390,"Sun 7:00 AM - 10:00 PM, Mon 7:00 AM - 11:00 PM, Tues 7:00 AM - 11:00 PM, Wed 7:00 AM - 11:00 PM, Thurs 7:00 AM - 11:00 PM, Fri 7:00 AM - 11:00 PM, Sat 7:00 AM - 11:00 PM,",,,25.9604346,-80.1416244
Publix,31,Doral Park Shopping Center,9755 NW 41st St,Doral,FL,33178-2381,(305) 591-2145,,"Sun 7:00 AM - 10:00 PM, Mon 7:00 AM - 11:00 PM, Tues 7:00 AM - 11:00 PM, Wed 7:00 AM - 11:00 PM, Thurs 7:00 AM - 11:00 PM, Fri 7:00 AM - 11:00 PM, Sat 7:00 AM - 11:00 PM,",(305) 597-8291,"Mon thru Fri 9:00 AM - 8:00 PM, Sat 9:00 AM - 6:00 PM, Sun 11:00 AM - 5:00 PM",25.8118814,-80.3542806
Publix,32,Shoppes at Hammock Cove,4370 Thomasson Dr,Naples,FL,34112-6725,(239) 774-1072,,"Sun 7:00 AM - 10:00 PM, Mon 7:00 AM - 10:00 PM, Tues 7:00 AM - 10:00 PM, Wed 7:00 AM - 10:00 PM, Thurs 7:00 AM - 10:00 PM, Fri 7:00 AM - 10:00 PM, Sat 7:00 AM - 10:00 PM,",(239) 774-1476,"Mon thru Fri 9:00 AM - 8:00 PM, Sat 9:00 AM - 6:00 PM, Sun 11:00 AM - 5:00 PM",26.1092441,-81.750662
Publix,33,Highland Plaza,3605 Sandy Plains Rd Ste 200,Marietta,GA,30066-3066,(770) 578-6000,(770) 509-2785,"Sun 7:00 AM - 11:00 PM, Mon 7:00 AM - 11:00 PM, Tues 7:00 AM - 11:00 PM, Wed 7:00 AM - 11:00 PM, Thurs 7:00 AM - 11:00 PM, Fri 7:00 AM - 11:00 PM, Sat 7:00 AM - 11:00 PM,",(770) 578-6800,"Mon thru Fri 9:00 AM - 9:00 PM, Sat 9:00 AM - 7:00 PM, Sun 12:00 PM - 7:00 PM",34.0385197,-84.4653213
Publix,35,Five Forks Place,2700 Woodruff Rd,Simpsonville,SC,29681-4804,(864) 234-3860,(864) 234-3874,"Sun 7:00 AM - 10:00 PM, Mon 7:00 AM - 10:00 PM, Tues 7:00 AM - 10:00 PM, Wed 7:00 AM - 10:00 PM, Thurs 7:00 AM - 10:00 PM, Fri 7:00 AM - 10:00 PM, Sat 7:00 AM - 10:00 PM,",(864) 234-3866,"Mon thru Fri 9:00 AM - 9:00 PM, Sat 9:00 AM - 7:00 PM, Sun 12:00 PM - 7:00 PM",34.8054128,-82.227665
Publix,37,Madeira Shopping Center,662 150th Ave,Madeira Beach,FL,33708-2812,(727) 393-5471,,"Sun 7:30 AM - 9:00 PM, Mon 7:30 AM - 10:00 PM, Tues 7:30 AM - 10:00 PM, Wed 7:30 AM - 10:00 PM, Thurs 7:30 AM - 10:00 PM, Fri 7:30 AM - 10:00 PM, Sat 7:30 AM - 10:00 PM,",,,27.8098664,-82.7921939
Publix,42,Freehome Village,12424 Cumming Hwy,Canton,GA,30115-7778,(678) 455-0112,(678) 455-0467,"Sun 7:00 AM - 10:00 PM, Mon 7:00 AM - 10:00 PM, Tues 7:00 AM - 10:00 PM, Wed 7:00 AM - 10:00 PM, Thurs 7:00 AM - 10:00 PM, Fri 7:00 AM - 10:00 PM, Sat 7:00 AM - 10:00 PM,",(678) 455-0211,"Mon thru Fri 9:00 AM - 9:00 PM, Sat 9:00 AM - 7:00 PM, Sun 12:00 PM - 7:00 PM",34.236996,-84.290893
Publix,44,Tropicaire Shopping Center,7805 SW 40th St,Miami,FL,33155-3547,(305) 266-1950,(305) 266-5032,"Sun 7:00 AM - 10:00 PM, Mon 7:00 AM - 11:00 PM, Tues 7:00 AM - 11:00 PM, Wed 7:00 AM - 11:00 PM, Thurs 7:00 AM - 11:00 PM, Fri 7:00 AM - 11:00 PM, Sat 7:00 AM - 11:00 PM,",(305) 266-9161,"Mon thru Fri 9:00 AM - 9:00 PM, Sat 9:00 AM - 7:00 PM, Sun 10:00 AM - 5:00 PM",25.7330259,-80.3192084
Publix,45,Decatur Commons,1605 Beltline Rd SW,Decatur,AL,35601-5591,(256) 301-0023,(256) 301-9041,"Sun 7:00 AM - 10:00 PM, Mon 7:00 AM - 10:00 PM, Tues 7:00 AM - 10:00 PM, Wed 7:00 AM - 10:00 PM, Thurs 7:00 AM - 10:00 PM, Fri 7:00 AM - 10:00 PM, Sat 7:00 AM - 10:00 PM,",(256) 301-6411,"Mon thru Fri 9:00 AM - 9:00 PM, Sat 9:00 AM - 7:00 PM, Sun 12:00 PM - 7:00 PM",34.5633346,-87.0075337
Publix,46,127th Shopping Center,12850 Biscayne Blvd,North Miami,FL,33181-2007,(305) 891-0540,,"Sun 7:00 AM - 11:00 PM, Mon 7:00 AM - 11:00 PM, Tues 7:00 AM - 11:00 PM, Wed 7:00 AM - 11:00 PM, Thurs 7:00 AM - 11:00 PM, Fri 7:00 AM - 11:00 PM, Sat 7:00 AM - 11:00 PM,",(305) 892-7094,"Mon thru Fri 9:00 AM - 9:00 PM, Sat 9:00 AM - 7:00 PM, Sun 10:00 AM - 5:00 PM",25.8943509,-80.1623385
Publix,49,Lanier Place,3480 Keith Bridge Rd,Cumming,GA,30041-5568,(678) 455-0610,(678) 455-0874,"Sun 7:00 AM - 10:00 PM, Mon 7:00 AM - 10:00 PM, Tues 7:00 AM - 10:00 PM, Wed 7:00 AM - 10:00 PM, Thurs 7:00 AM - 10:00 PM, Fri 7:00 AM - 10:00 PM, Sat 7:00 AM - 10:00 PM,",(678) 455-0630,"Mon thru Fri 9:00 AM - 9:00 PM, Sat 9:00 AM - 7:00 PM, Sun 12:00 PM - 7:00 PM",34.257905,-84.071477
Publix,50,Southdale Shopping Center,828 Southern Blvd,West Palm Beach,FL,33405-2530,(561) 832-1661,(561) 832-1782,"Sun 6:30 AM - 10:00 PM, Mon 6:30 AM - 11:00 PM, Tues 6:30 AM - 11:00 PM, Wed 6:30 AM - 11:00 PM, Thurs 6:30 AM - 11:00 PM, Fri 6:30 AM - 11:00 PM, Sat 6:30 AM - 11:00 PM,",(561) 838-1857,"Mon thru Fri 9:00 AM - 9:00 PM, Sat 9:00 AM - 7:00 PM, Sun 10:00 AM - 5:00 PM",26.6758406,-80.0614702
Publix,51,Douglas Grand,1500 S Douglas Rd,Coral Gables,FL,33134-4108,(305) 445-3221,(305) 441-6417,"Sun 7:00 AM - 10:00 PM, Mon 7:00 AM - 11:00 PM, Tues 7:00 AM - 11:00 PM, Wed 7:00 AM - 11:00 PM, Thurs 7:00 AM - 11:00 PM, Fri 7:00 AM - 11:00 PM, Sat 7:00 AM - 11:00 PM,",(305) 445-3252,"Mon thru Fri 9:00 AM - 9:00 PM, Sat 9:00 AM - 7:00 PM, Sun 10:00 AM - 5:00 PM",25.7576639,-80.255439
Publix,53,Sheridan Plaza,5211 Sheridan St,Hollywood,FL,33021-3344,(954) 987-6331,(954) 987-0770,"Sun 7:00 AM - 11:00 PM, Mon 7:00 AM - 11:00 PM, Tues 7:00 AM - 11:00 PM, Wed 7:00 AM - 11:00 PM, Thurs 7:00 AM - 11:00 PM, Fri 7:00 AM - 11:00 PM, Sat 7:00 AM - 11:00 PM,",(954) 987-6802,"Mon thru Fri 9:00 AM - 9:00 PM, Sat 9:00 AM - 7:00 PM, Sun 10:00 AM - 5:00 PM",26.0328647,-80.1961119
Publix,54,Publix at Miami River,311 SW 7th St,Miami,FL,33130-2917,(305) 860-9477,(305) 250-7344,"Sun 7:00 AM - 11:00 PM, Mon 7:00 AM - 11:00 PM, Tues 7:00 AM - 11:00 PM, Wed 7:00 AM - 11:00 PM, Thurs 7:00 AM - 11:00 PM, Fri 7:00 AM - 11:00 PM, Sat 7:00 AM - 11:00 PM,",,,25.7674338,-80.1994799
Publix,55,Greenwood Shopping Center,1700 S Congress Ave,Palm Springs,FL,33461-2140,(561) 965-8700,,"Sun 7:00 AM - 10:00 PM, Mon 7:00 AM - 11:00 PM, Tues 7:00 AM - 11:00 PM, Wed 7:00 AM - 11:00 PM, Thurs 7:00 AM - 11:00 PM, Fri 7:00 AM - 11:00 PM, Sat 7:00 AM - 11:00 PM,",(561) 966-5114,"Mon thru Fri 9:00 AM - 9:00 PM, Sat 9:00 AM - 7:00 PM, Sun 10:00 AM - 5:00 PM",26.6385363,-80.0869487
Publix,56,Venetian Isle Shopping Center,3700 N Federal Hwy,Lighthouse Point,FL,33064-6610,(954) 786-3056,(954) 784-3706,"Sun 7:00 AM - 11:00 PM, Mon 7:00 AM - 11:00 PM, Tues 7:00 AM - 11:00 PM, Wed 7:00 AM - 11:00 PM, Thurs 7:00 AM - 11:00 PM, Fri 7:00 AM - 11:00 PM, Sat 7:00 AM - 11:00 PM,",(954) 788-3094,"Mon thru Fri 9:00 AM - 9:00 PM, Sat 9:00 AM - 7:00 PM, Sun 10:00 AM - 5:00 PM",26.27678,-80.0960039
Publix,59,Daniels Crossing,6900 Daniels Pkwy Ste 19,Fort Myers,FL,33912-1586,(239) 768-2101,,"Sun 7:00 AM - 10:00 PM, Mon 7:00 AM - 10:00 PM, Tues 7:00 AM - 10:00 PM, Wed 7:00 AM - 10:00 PM, Thurs 7:00 AM - 10:00 PM, Fri 7:00 AM - 10:00 PM, Sat 7:00 AM - 10:00 PM,",(239) 768-2210,"Mon thru Fri 9:00 AM - 9:00 PM, Sat 9:00 AM - 7:00 PM, Sun 11:00 AM - 6:00 PM",26.544663,-81.8418389
Publix,61,Forty East Shopping Center,3450 E Silver Springs Blvd,Ocala,FL,34470-6406,(352) 671-3443,,"Sun 7:00 AM - 9:00 PM, Mon 7:00 AM - 10:00 PM, Tues 7:00 AM - 10:00 PM, Wed 7:00 AM - 10:00 PM, Thurs 7:00 AM - 10:00 PM, Fri 7:00 AM - 10:00 PM, Sat 7:00 AM - 10:00 PM,",(352) 671-3770,"Mon thru Fri 9:00 AM - 9:00 PM, Sat 9:00 AM - 7:00 PM, Sun 11:00 AM - 6:00 PM",29.1960673,-82.0885388
Publix,62,Winter Springs Town Center,1160 E State Road 434,Winter Springs,FL,32708-2715,(407) 327-9725,,"Sun 7:00 AM - 10:00 PM, Mon 7:00 AM - 10:00 PM, Tues 7:00 AM - 10:00 PM, Wed 7:00 AM - 10:00 PM, Thurs 7:00 AM - 10:00 PM, Fri 7:00 AM - 10:00 PM, Sat 7:00 AM - 10:00 PM,",(407) 327-9731,"Mon thru Fri 9:00 AM - 9:00 PM, Sat 9:00 AM - 7:00 PM, Sun 11:00 AM - 6:00 PM",28.697702,-81.263177
Publix,63,Sarasota Commons,935 N Beneva Rd Ste 101,Sarasota,FL,34232-1399,(941) 365-7250,,"Sun 7:00 AM - 9:00 PM, Mon 7:00 AM - 9:00 PM, Tues 7:00 AM - 9:00 PM, Wed 7:00 AM - 9:00 PM, Thurs 7:00 AM - 9:30 PM, Fri 7:00 AM - 9:30 PM, Sat 7:00 AM - 9:30 PM,",,,27.3426328,-82.4978654
Publix,66,Publix Super Market,18330 Collins Ave,Sunny Isles Beach,FL,33160-2429,(305) 931-9615,(305) 692-3785,"Sun 7:00 AM - 11:00 PM, Mon 7:00 AM - 11:00 PM, Tues 7:00 AM - 11:00 PM, Wed 7:00 AM - 11:00 PM, Thurs 7:00 AM - 11:00 PM, Fri 7:00 AM - 11:00 PM, Sat 7:00 AM - 11:00 PM,",,,25.946381,-80.1222637
Publix,67,Rosewood Shopping Center,2800 Rosewood Dr,Columbia,SC,29205-3412,(803) 806-8839,(803) 343-2556,"Sun 7:00 AM - 10:00 PM, Mon 7:00 AM - 10:00 PM, Tues 7:00 AM - 10:00 PM, Wed 7:00 AM - 10:00 PM, Thurs 7:00 AM - 10:00 PM, Fri 7:00 AM - 10:00 PM, Sat 7:00 AM - 10:00 PM,",(803) 799-0801,"Mon thru Fri 9:00 AM - 8:00 PM, Sat 9:00 AM - 6:00 PM, Sun 11:00 AM - 5:00 PM",33.9871373,-81.0038397
Publix,69,Higate Square,13820 SW 88th St,Miami,FL,33186-1304,(305) 385-0200,(305) 385-0325,"Sun 7:00 AM - 10:00 PM, Mon 7:00 AM - 11:00 PM, Tues 7:00 AM - 11:00 PM, Wed 7:00 AM - 11:00 PM, Thurs 7:00 AM - 11:00 PM, Fri 7:00 AM - 11:00 PM, Sat 7:00 AM - 11:00 PM,",,,25.68516,-80.4189424
Publix,70,Coral Ridge Shopping Center,3400 N Federal Hwy,Fort Lauderdale,FL,33306-1036,(954) 564-9612,(954) 561-7760,"Sun 7:00 AM - 10:00 PM, Mon 7:00 AM - 11:00 PM, Tues 7:00 AM - 11:00 PM, Wed 7:00 AM - 11:00 PM, Thurs 7:00 AM - 11:00 PM, Fri 7:00 AM - 11:00 PM, Sat 7:00 AM - 11:00 PM,",(954) 561-8771,"Mon thru Fri 9:00 AM - 9:00 PM, Sat 9:00 AM - 7:00 PM, Sun 10:00 AM - 5:00 PM",26.169334,-80.117583
Publix,71,Disston Plaza,3501 49th St N,Saint Petersburg,FL,33710-2149,(727) 528-2323,,"Sun 7:30 AM - 9:00 PM, Mon 7:30 AM - 9:00 PM, Tues 7:30 AM - 9:00 PM, Wed 7:30 AM - 9:00 PM, Thurs 7:30 AM - 9:00 PM, Fri 7:30 AM - 9:00 PM, Sat 7:30 AM - 9:00 PM,",(727) 520-0238,"Mon thru Fri 9:00 AM - 9:00 PM, Sat 9:00 AM - 7:00 PM, Sun 11:00 AM - 6:00 PM",27.8045769,-82.6999534
Publix,72,Fifth Ave. Shopping Center,1968 NE 5th Ave,Boca Raton,FL,33431-7702,(561) 395-5515,(561) 447-1176,"Sun 7:00 AM - 10:00 PM, Mon 7:00 AM - 11:00 PM, Tues 7:00 AM - 11:00 PM, Wed 7:00 AM - 11:00 PM, Thurs 7:00 AM - 11:00 PM, Fri 7:00 AM - 11:00 PM, Sat 7:00 AM - 11:00 PM,",,,26.3674382,-80.0778005
Publix,73,Publix at Surfside,9400 Harding Ave,Surfside,FL,33154-2804,(305) 865-1263,,"Sun 7:00 AM - 10:00 PM, Mon 7:00 AM - 11:00 PM, Tues 7:00 AM - 11:00 PM, Wed 7:00 AM - 11:00 PM, Thurs 7:00 AM - 11:00 PM, Fri 7:00 AM - 11:00 PM, Sat 7:00 AM - 11:00 PM,",(305) 865-4378,"Mon thru Fri 9:00 AM - 9:00 PM, Sat 9:00 AM - 7:00 PM, Sun 10:00 AM - 5:00 PM",25.8836065,-80.1234076
Publix,74,Lilburn Corners Shopping Center,375 Rockbridge Rd NW,Lilburn,GA,30047-8225,(770) 806-4040,(770) 806-4054,"Sun 7:00 AM - 10:00 PM, Mon 7:00 AM - 10:00 PM, Tues 7:00 AM - 10:00 PM, Wed 7:00 AM - 10:00 PM, Thurs 7:00 AM - 10:00 PM, Fri 7:00 AM - 10:00 PM, Sat 7:00 AM - 10:00 PM,",(770) 806-4045,"Mon thru Fri 9:00 AM - 8:00 PM, Sat 9:00 AM - 6:00 PM, Sun 11:00 AM - 5:00 PM",33.883218,-84.163858
Publix,75,The Shops of Lake Tuscaloosa,4851 Rice Mine Rd NE Ste 200,Tuscaloosa,AL,35406-3571,(205) 247-7666,(205) 247-4873,"Sun 7:00 AM - 10:00 PM, Mon 7:00 AM - 10:00 PM, Tues 7:00 AM - 10:00 PM, Wed 7:00 AM - 10:00 PM, Thurs 7:00 AM - 10:00 PM, Fri 7:00 AM - 10:00 PM, Sat 7:00 AM - 10:00 PM,",(205) 247-4721,"Mon thru Fri 9:00 AM - 9:00 PM, Sat 9:00 AM - 7:00 PM, Sun 12:00 PM - 7:00 PM",33.2632509,-87.5136969
Publix,77,Palm Harbor Shopping Center,298 Palm Coast Pkwy NE,Palm Coast,FL,32137-8217,(386) 445-1430,(386) 446-6531,"Sun 7:00 AM - 9:00 PM, Mon 7:00 AM - 10:00 PM, Tues 7:00 AM - 10:00 PM, Wed 7:00 AM - 10:00 PM, Thurs 7:00 AM - 10:00 PM, Fri 7:00 AM - 10:00 PM, Sat 7:00 AM - 10:00 PM,",,,29.556677,-81.2076892
Publix,78,Southgate Shopping Center,2824 US Highway 27 S,Sebring,FL,33870-5050,(863) 385-0196,(863) 385-8437,"Sun 8:00 AM - 8:00 PM, Mon 8:00 AM - 9:00 PM, Tues 8:00 AM - 9:00 PM, Wed 8:00 AM - 9:00 PM, Thurs 8:00 AM - 9:00 PM, Fri 8:00 AM - 9:00 PM, Sat 8:00 AM - 9:00 PM,",(863) 386-0202,"Mon thru Fri 9:00 AM - 9:00 PM, Sat 9:00 AM - 7:00 PM, Sun 11:00 AM - 6:00 PM",27.4725282,-81.4458357
Publix,80,Jefferson Super Center,850 N Miami Beach Blvd,North Miami Beach,FL,33162-3701,(305) 945-7426,(305) 354-4621,"Sun 7:00 AM - 10:00 PM, Mon 7:00 AM - 11:00 PM, Tues 7:00 AM - 11:00 PM, Wed 7:00 AM - 11:00 PM, Thurs 7:00 AM - 11:00 PM, Fri 7:00 AM - 11:00 PM, Sat 7:00 AM - 11:00 PM,",,,25.927196,-80.18246
Publix,84,Publix Super Market,2551 S Le Jeune Rd,Coral Gables,FL,33134-5805,(305) 445-2641,(305) 445-4408,"Sun 7:00 AM - 10:00 PM, Mon 7:00 AM - 10:00 PM, Tues 7:00 AM - 10:00 PM, Wed 7:00 AM - 10:00 PM, Thurs 7:00 AM - 10:00 PM, Fri 7:00 AM - 10:00 PM, Sat 7:00 AM - 10:00 PM,",,,25.748105,-80.261645
Publix,86,Publix at Shallowford,4401 Shallowford Rd,Roswell,GA,30075-3193,(770) 640-6200,(770) 649-9432,"Sun 7:00 AM - 11:00 PM, Mon 7:00 AM - 11:00 PM, Tues 7:00 AM - 11:00 PM, Wed 7:00 AM - 11:00 PM, Thurs 7:00 AM - 11:00 PM, Fri 7:00 AM - 11:00 PM, Sat 7:00 AM - 11:00 PM,",(770) 640-7742,"Mon thru Fri 9:00 AM - 9:00 PM, Sat 9:00 AM - 7:00 PM, Sun 12:00 PM - 7:00 PM",34.0277161,-84.4203334
Publix,88,Hollywood Circle,1735 E Young Cir,Hollywood,FL,33020-6824,(954) 922-1531,(954) 923-3856,"Sun 7:00 AM - 10:00 PM, Mon 7:00 AM - 11:00 PM, Tues 7:00 AM - 11:00 PM, Wed 7:00 AM - 11:00 PM, Thurs 7:00 AM - 11:00 PM, Fri 7:00 AM - 11:00 PM, Sat 7:00 AM - 11:00 PM,",,,26.0120326,-80.1408422
Publix,91,Publix Super Market,1045 Dade Blvd,Miami Beach,FL,33139-1509,(305) 534-4621,(305) 535-4266,"Sun 7:00 AM - 11:00 PM, Mon 7:00 AM - 11:00 PM, Tues 7:00 AM - 11:00 PM, Wed 7:00 AM - 11:00 PM, Thurs 7:00 AM - 11:00 PM, Fri 7:00 AM - 11:00 PM, Sat 7:00 AM - 11:00 PM,",,,25.794492,-80.139972
