dba,store_number,address,address_line_2,city,state,zip_code,phone_number,store_hours,pharmacy_phone_number,24_hour,24_hour_pharmacy,clinic,compounding,drivethru,hospital,convenience,health_service,latitude,longitude,store_number,address,city,state,zip_code,phone_number,latitude,longitude
Walgreens,162,1554 E 55TH ST,55th & Lake Park,CHICAGO,IL,60615, (773) 667-1177,Mon: 12:00AM-12:00AM Tue: 12:00AM-12:00AM Wed: 12:00AM-12:00AM Thu: 12:00AM-12:00AM Fri: 12:00AM-12:00AM Sat: 12:00AM-12:00AM Sun: 12:00AM-12:00AM, (773) 667-1177,Yes,Yes,No,No,No,Yes,TRUE,TRUE,41.795547,-87.588034,162,1554 E 55TH ST,CHICAGO,IL,60615, (773) 667-1177,41.795547,-87.588034
Walgreens,163,4000 W 59TH ST,59th & Pulaski,CHICAGO,IL,60629, (773) 581-2345,Mon: 8:00AM-10:00PM Tue: 8:00AM-10:00PM Wed: 8:00AM-10:00PM Thu: 8:00AM-10:00PM Fri: 8:00AM-10:00PM Sat: 9:00AM-5:00PM Sun: 9:00AM-5:00PM, (773) 581-2345,No,No,No,No,No,Yes,TRUE,FALSE,41.786099,-87.723199,163,4000 W 59TH ST,CHICAGO,IL,60629, (773) 581-2345,41.786099,-87.723199
Walgreens,178,740 W DIVERSEY PKWY,Diversey & Halsted,CHICAGO,IL,60614, (773) 929-1097,Mon: 9:00AM-9:00PM Tue: 9:00AM-9:00PM Wed: 9:00AM-9:00PM Thu: 9:00AM-9:00PM Fri: 9:00AM-9:00PM Sat: 9:00AM-5:00PM Sun: 9:00AM-5:00PM, (773) 929-1097,No,No,No,No,No,Yes,TRUE,FALSE,41.932899,-87.648099,178,740 W DIVERSEY PKWY,CHICAGO,IL,60614, (773) 929-1097,41.932899,-87.648099
Walgreens,194,4801 N LINCOLN AVE,Lincoln & Western or Lawrence & Western,CHICAGO,IL,60625, (773) 561-2526,Mon: 8:00AM-10:00PM Tue: 8:00AM-10:00PM Wed: 8:00AM-10:00PM Thu: 8:00AM-10:00PM Fri: 8:00AM-10:00PM Sat: 8:00AM-10:00PM Sun: 9:00AM-5:00PM, (773) 561-2526,No,No,No,Yes,No,Yes,TRUE,TRUE,41.968812,-87.68843895,194,4801 N LINCOLN AVE,CHICAGO,IL,60625, (773) 561-2526,41.968812,-87.68843895
Walgreens,209,1028 S ELMHURST RD,Golf & Elmhurst,MT PROSPECT,IL,60056, (847) 437-1858,Mon: 12:00AM-12:00AM Tue: 12:00AM-12:00AM Wed: 12:00AM-12:00AM Thu: 12:00AM-12:00AM Fri: 12:00AM-12:00AM Sat: 12:00AM-12:00AM Sun: 12:00AM-12:00AM, (847) 437-1858,Yes,Yes,No,Yes,No,Yes,TRUE,TRUE,42.046208,-87.94231653,209,1028 S ELMHURST RD,MT PROSPECT,IL,60056, (847) 437-1858,42.046208,-87.94231653
Walgreens,211,757 N MICHIGAN AVE,Chicago & Michigan,CHICAGO,IL,60611, (312) 664-8686,Mon: 12:00AM-12:00AM Tue: 12:00AM-12:00AM Wed: 12:00AM-12:00AM Thu: 12:00AM-12:00AM Fri: 12:00AM-12:00AM Sat: 12:00AM-12:00AM Sun: 12:00AM-12:00AM, (312) 664-8686,Yes,Yes,No,Yes,No,Yes,TRUE,TRUE,41.896657,-87.624069,211,757 N MICHIGAN AVE,CHICAGO,IL,60611, (312) 664-8686,41.896657,-87.624069
Walgreens,215,3045 W 26TH ST,26th & Albany,CHICAGO,IL,60623, (773) 254-3316,Mon: 8:00AM-10:00PM Tue: 8:00AM-10:00PM Wed: 8:00AM-10:00PM Thu: 8:00AM-10:00PM Fri: 8:00AM-10:00PM Sat: 9:00AM-6:00PM Sun: 10:00AM-6:00PM, (773) 254-3316,No,No,No,No,No,Yes,TRUE,FALSE,41.844157,-87.70191,215,3045 W 26TH ST,CHICAGO,IL,60623, (773) 254-3316,41.844157,-87.70191
Walgreens,226,4005 W 26TH ST,26th & Pulaski,CHICAGO,IL,60623, (773) 521-9504,Mon: 8:00AM-10:00PM Tue: 8:00AM-10:00PM Wed: 8:00AM-10:00PM Thu: 8:00AM-10:00PM Fri: 8:00AM-10:00PM Sat: 9:00AM-6:00PM Sun: 9:00AM-5:00PM, (773) 521-9504,No,No,No,No,No,Yes,TRUE,FALSE,41.844099,-87.724799,226,4005 W 26TH ST,CHICAGO,IL,60623, (773) 521-9504,41.844099,-87.724799
Walgreens,230,5518 W CHICAGO AVE,Chicago & Central,CHICAGO,IL,60651, (773) 261-6664,Mon: 9:00AM-9:00PM Tue: 9:00AM-9:00PM Wed: 9:00AM-9:00PM Thu: 9:00AM-9:00PM Fri: 9:00AM-9:00PM Sat: 9:00AM-5:00PM Sun: 10:00AM-6:00PM, (773) 261-6664,No,No,No,No,No,Yes,TRUE,FALSE,41.895119,-87.764584,230,5518 W CHICAGO AVE,CHICAGO,IL,60651, (773) 261-6664,41.895119,-87.764584
Walgreens,232,3405 S KING DR,35th Street & King Drive,CHICAGO,IL,60616, (312) 326-4058,Mon: 12:00AM-12:00AM Tue: 12:00AM-12:00AM Wed: 12:00AM-12:00AM Thu: 12:00AM-12:00AM Fri: 12:00AM-12:00AM Sat: 12:00AM-12:00AM Sun: 12:00AM-12:00AM, (312) 326-4058,Yes,Yes,No,Yes,No,Yes,TRUE,TRUE,41.831964,-87.6164123,232,3405 S KING DR,CHICAGO,IL,60616, (312) 326-4058,41.831964,-87.6164123
Walgreens,249,1601 N WELLS ST,Wells & North Avenue,CHICAGO,IL,60614, (312) 642-4008,Mon: 8:00AM-10:00PM Tue: 8:00AM-10:00PM Wed: 8:00AM-10:00PM Thu: 8:00AM-10:00PM Fri: 8:00AM-10:00PM Sat: 8:00AM-10:00PM Sun: 8:00AM-10:00PM, (312) 642-4008,Yes,No,Yes,No,No,Yes,TRUE,TRUE,41.911404,-87.634472,249,1601 N WELLS ST,CHICAGO,IL,60614, (312) 642-4008,41.911404,-87.634472
Walgreens,252,7510 N WESTERN AVE,Howard & Western,CHICAGO,IL,60645, (773) 764-1765,Mon: 12:00AM-12:00AM Tue: 12:00AM-12:00AM Wed: 12:00AM-12:00AM Thu: 12:00AM-12:00AM Fri: 12:00AM-12:00AM Sat: 12:00AM-12:00AM Sun: 12:00AM-12:00AM, (773) 764-1765,Yes,Yes,Yes,No,No,Yes,TRUE,TRUE,42.017999,-87.690699,252,7510 N WESTERN AVE,CHICAGO,IL,60645, (773) 764-1765,42.017999,-87.690699
Walgreens,258,1650 W CHICAGO AVE,Chicago & Ashland,CHICAGO,IL,60622, (312) 829-6186,Mon: 9:00AM-9:00PM Tue: 9:00AM-9:00PM Wed: 9:00AM-9:00PM Thu: 9:00AM-9:00PM Fri: 9:00AM-9:00PM Sat: 9:00AM-5:00PM Sun: 9:00AM-5:00PM, (312) 829-6186,No,No,No,No,No,Yes,TRUE,FALSE,41.89627,-87.66921829,258,1650 W CHICAGO AVE,CHICAGO,IL,60622, (312) 829-6186,41.89627,-87.66921829
Walgreens,259,3358 N WESTERN AVE,Western & Roscoe,CHICAGO,IL,60618, (773) 327-2111,Mon: 9:00AM-9:00PM Tue: 9:00AM-9:00PM Wed: 9:00AM-9:00PM Thu: 9:00AM-9:00PM Fri: 9:00AM-9:00PM Sat: 9:00AM-5:00PM Sun: 9:00AM-5:00PM, (773) 327-2111,No,No,No,No,Yes,Yes,TRUE,TRUE,41.94284,-87.689689,259,3358 N WESTERN AVE,CHICAGO,IL,60618, (773) 327-2111,41.94284,-87.689689
Walgreens,263,534 S HUNT CLUB BLVD,Hunt Club Boulevard & State Road 436,APOPKA,FL,32703, (407) 869-5220,Mon: 9:00AM-9:00PM Tue: 9:00AM-9:00PM Wed: 9:00AM-9:00PM Thu: 9:00AM-9:00PM Fri: 9:00AM-9:00PM Sat: 9:00AM-5:00PM Sun: 9:00AM-5:00PM, (407) 869-5220,No,No,No,No,No,No,TRUE,FALSE,28.671264,-81.45107764,263,534 S HUNT CLUB BLVD,APOPKA,FL,32703, (407) 869-5220,28.671264,-81.45107764
Walgreens,272,1 W CORRY ST,CORRY & SHORT VINE,CINCINNATI,OH,45219, (513) 751-3444,Mon: 12:00AM-12:00AM Tue: 12:00AM-12:00AM Wed: 12:00AM-12:00AM Thu: 12:00AM-12:00AM Fri: 12:00AM-12:00AM Sat: 12:00AM-12:00AM Sun: 12:00AM-12:00AM, (513) 751-3444,Yes,Yes,No,No,No,Yes,TRUE,FALSE,39.128699,-84.509699,272,1 W CORRY ST,CINCINNATI,OH,45219, (513) 751-3444,39.128699,-84.509699
Walgreens,274,3822 PAXTON AVE,Wasson & Paxton,CINCINNATI,OH,45209, (513) 871-4615,Mon: 8:00AM-10:00PM Tue: 8:00AM-10:00PM Wed: 8:00AM-10:00PM Thu: 8:00AM-10:00PM Fri: 8:00AM-10:00PM Sat: 9:00AM-6:00PM Sun: 10:00AM-6:00PM, (513) 871-4615,Yes,No,No,No,No,Yes,TRUE,TRUE,39.146203,-84.42769153,274,3822 PAXTON AVE,CINCINNATI,OH,45209, (513) 871-4615,39.146203,-84.42769153
Walgreens,295,4808 N HOPKINS ST,Hopkins & Hampton,MILWAUKEE,WI,53209, (414) 462-4310,Mon: 8:00AM-9:00PM Tue: 8:00AM-9:00PM Wed: 8:00AM-9:00PM Thu: 8:00AM-9:00PM Fri: 8:00AM-9:00PM Sat: 9:00AM-6:00PM Sun: 10:00AM-6:00PM, (414) 462-4310,No,No,No,No,Yes,Yes,TRUE,TRUE,43.104899,-87.959799,295,4808 N HOPKINS ST,MILWAUKEE,WI,53209, (414) 462-4310,43.104899,-87.959799
Walgreens,318,7221 LEMONT RD,75th & Lemont Road,DOWNERS GROVE,IL,60516, (630) 960-4560,Mon: 9:00AM-9:00PM Tue: 9:00AM-9:00PM Wed: 9:00AM-9:00PM Thu: 9:00AM-9:00PM Fri: 9:00AM-9:00PM Sat: 9:00AM-5:00PM Sun: 9:00AM-5:00PM, (630) 960-4560,No,No,No,No,No,Yes,TRUE,FALSE,41.75558,-88.00985622,318,7221 LEMONT RD,DOWNERS GROVE,IL,60516, (630) 960-4560,41.75558,-88.00985622
Walgreens,324,216 WESTLAKE CTR,Mayfair & John Daly Boulevard,DALY CITY,CA,94015, (650) 756-4535,Mon: 12:00AM-12:00AM Tue: 12:00AM-12:00AM Wed: 12:00AM-12:00AM Thu: 12:00AM-12:00AM Fri: 12:00AM-12:00AM Sat: 12:00AM-12:00AM Sun: 12:00AM-12:00AM, (650) 756-4535,Yes,Yes,No,Yes,No,Yes,TRUE,TRUE,37.700772,-122.4840225,324,216 WESTLAKE CTR,DALY CITY,CA,94015, (650) 756-4535,37.700772,-122.4840225
Walgreens,356,801 16TH ST,16th & Stout,DENVER,CO,80202, (303) 571-5314,Mon: 7:00AM-8:00PM Tue: 7:00AM-8:00PM Wed: 7:00AM-8:00PM Thu: 7:00AM-8:00PM Fri: 7:00AM-8:00PM Sat: 9:00AM-6:00PM Sun: 10:00AM-6:00PM, (303) 571-5314,No,No,No,No,No,No,TRUE,FALSE,39.746105,-104.9930589,356,801 16TH ST,DENVER,CO,80202, (303) 571-5314,39.746105,-104.9930589
Walgreens,359,2545 E EUCLID AVE,Euclid & 26th,DES MOINES,IA,50317, (515) 266-3174,Mon: 12:00AM-12:00AM Tue: 12:00AM-12:00AM Wed: 12:00AM-12:00AM Thu: 12:00AM-12:00AM Fri: 12:00AM-12:00AM Sat: 12:00AM-12:00AM Sun: 12:00AM-12:00AM, (515) 266-3174,Yes,Yes,No,No,Yes,No,TRUE,TRUE,41.626999,-93.568999,359,2545 E EUCLID AVE,DES MOINES,IA,50317, (515) 266-3174,41.626999,-93.568999
Walgreens,400,1600 N HARLEM AVE,Harlem & North Avenue,ELMWOOD PARK,IL,60707, (708) 456-8810,Mon: 8:00AM-10:00PM Tue: 8:00AM-10:00PM Wed: 8:00AM-10:00PM Thu: 8:00AM-10:00PM Fri: 8:00AM-10:00PM Sat: 8:00AM-10:00PM Sun: 8:00AM-10:00PM, (708) 456-8810,Yes,No,No,No,No,Yes,TRUE,FALSE,41.909181,-87.806196,400,1600 N HARLEM AVE,ELMWOOD PARK,IL,60707, (708) 456-8810,41.909181,-87.806196
Walgreens,430,5695 DULUTH ST,HIGHWAY 100 & DULUTH STREET,GOLDEN VALLEY,MN,55422, (763) 546-5336,Mon: 8:00AM-10:00PM Tue: 8:00AM-10:00PM Wed: 8:00AM-10:00PM Thu: 8:00AM-10:00PM Fri: 8:00AM-10:00PM Sat: 9:00AM-6:00PM Sun: 10:00AM-6:00PM, (763) 546-5336,No,No,No,No,No,Yes,TRUE,FALSE,44.99795,-93.352054,430,5695 DULUTH ST,GOLDEN VALLEY,MN,55422, (763) 546-5336,44.99795,-93.352054
Walgreens,456,1723 E YOUNG CIR,Young Circle & Hollywood Boulevard,HOLLYWOOD,FL,33020, (954) 922-1553,Mon: 9:00AM-9:00PM Tue: 9:00AM-9:00PM Wed: 9:00AM-9:00PM Thu: 9:00AM-9:00PM Fri: 9:00AM-9:00PM Sat: 9:00AM-6:00PM Sun: 9:00AM-5:00PM, (954) 922-1553,Yes,No,No,No,No,Yes,TRUE,FALSE,26.011563,-80.14136,456,1723 E YOUNG CIR,HOLLYWOOD,FL,33020, (954) 922-1553,26.011563,-80.14136
Walgreens,489,5560 WESLAYAN ST,Bissonnet & Weslayan Street,HOUSTON,TX,77005, (713) 667-9349,Mon: 9:00AM-9:00PM Tue: 9:00AM-9:00PM Wed: 9:00AM-9:00PM Thu: 9:00AM-9:00PM Fri: 9:00AM-9:00PM Sat: 10:00AM-6:00PM Sun: 10:00AM-6:00PM, (713) 667-9349,No,No,No,No,No,Yes,TRUE,FALSE,29.722216,-95.4427203,489,5560 WESLAYAN ST,HOUSTON,TX,77005, (713) 667-9349,29.722216,-95.4427203
Walgreens,496,19639 HIGHWAY 59 N,FM 1960 & Eastex Freeway,HUMBLE,TX,77338, (281) 446-1006,Mon: 9:00AM-9:00PM Tue: 9:00AM-9:00PM Wed: 9:00AM-9:00PM Thu: 9:00AM-9:00PM Fri: 9:00AM-9:00PM Sat: 10:00AM-6:00PM Sun: 10:00AM-6:00PM, (281) 446-1006,No,No,No,No,No,No,TRUE,FALSE,30.00341,-95.272353,496,19639 HIGHWAY 59 N,HUMBLE,TX,77338, (281) 446-1006,30.00341,-95.272353
Walgreens,515,2600 S 48TH ST,48th & Van Dorn,LINCOLN,NE,68506, (402) 483-2834,Mon: 8:00AM-10:00PM Tue: 8:00AM-10:00PM Wed: 8:00AM-10:00PM Thu: 8:00AM-10:00PM Fri: 8:00AM-10:00PM Sat: 9:00AM-6:00PM Sun: 10:00AM-6:00PM, (402) 483-2834,No,No,No,No,No,No,TRUE,FALSE,40.78554,-96.652608,515,2600 S 48TH ST,LINCOLN,NE,68506, (402) 483-2834,40.78554,-96.652608
Walgreens,528,296 E DEERPATH,Deerpath & Western,LAKE FOREST,IL,60045, (847) 234-2413,Mon: 8:00AM-10:00PM Tue: 8:00AM-10:00PM Wed: 8:00AM-10:00PM Thu: 8:00AM-10:00PM Fri: 8:00AM-10:00PM Sat: 9:00AM-6:00PM Sun: 9:00AM-5:00PM, (847) 234-2413,No,No,No,No,No,Yes,TRUE,FALSE,42.251799,-87.840399,528,296 E DEERPATH,LAKE FOREST,IL,60045, (847) 234-2413,42.251799,-87.840399
Walgreens,541,1301 O ST,13th & O Street,LINCOLN,NE,68508, (402) 476-6898,Mon: 9:00AM-5:30PM Tue: 9:00AM-5:30PM Wed: 9:00AM-5:30PM Thu: 9:00AM-5:30PM Fri: 9:00AM-5:30PM Sat: 9:00AM-2:00PM Sun: CLOSED-CLOSED, (402) 476-6898,No,No,No,No,No,No,TRUE,FALSE,40.813499,-96.701899,541,1301 O ST,LINCOLN,NE,68508, (402) 476-6898,40.813499,-96.701899
Walgreens,553,5300 N BRAESWOOD BLVD,Braeswood & Chimney Rock,HOUSTON,TX,77096, (713) 721-1516,Mon: 12:00AM-12:00AM Tue: 12:00AM-12:00AM Wed: 12:00AM-12:00AM Thu: 12:00AM-12:00AM Fri: 12:00AM-12:00AM Sat: 12:00AM-12:00AM Sun: 12:00AM-12:00AM, (713) 721-1516,Yes,Yes,No,No,Yes,Yes,TRUE,TRUE,29.679296,-95.477828,553,5300 N BRAESWOOD BLVD,HOUSTON,TX,77096, (713) 721-1516,29.679296,-95.477828
Walgreens,586,2 N MAIN ST,Main & Madison,MEMPHIS,TN,38103, (901) 525-0036,Mon: 8:00AM-6:00PM Tue: 8:00AM-6:00PM Wed: 8:00AM-6:00PM Thu: 8:00AM-6:00PM Fri: 8:00AM-6:00PM Sat: 9:00AM-5:00PM Sun: CLOSED-CLOSED, (901) 525-0036,No,No,No,No,No,Yes,TRUE,FALSE,35.145099,-90.052199,586,2 N MAIN ST,MEMPHIS,TN,38103, (901) 525-0036,35.145099,-90.052199
Walgreens,621,5731 BIRD RD,Red & Bird Road,MIAMI,FL,33155, (305) 666-0757,Mon: 12:00AM-12:00AM Tue: 12:00AM-12:00AM Wed: 12:00AM-12:00AM Thu: 12:00AM-12:00AM Fri: 12:00AM-12:00AM Sat: 12:00AM-12:00AM Sun: 12:00AM-12:00AM, (305) 666-0757,Yes,Yes,No,No,No,Yes,TRUE,FALSE,25.734725,-80.28703487,621,5731 BIRD RD,MIAMI,FL,33155, (305) 666-0757,25.734725,-80.28703487
Walgreens,622,3715 NW 7TH ST,DOUGLAS ROAD & 7TH STREET,MIAMI,FL,33126, (305) 649-6301,Mon: 8:00AM-10:00PM Tue: 8:00AM-10:00PM Wed: 8:00AM-10:00PM Thu: 8:00AM-10:00PM Fri: 8:00AM-10:00PM Sat: 8:00AM-6:00PM Sun: 10:00AM-6:00PM, (305) 649-6301,No,No,No,No,No,Yes,TRUE,FALSE,25.781229,-80.2578816,622,3715 NW 7TH ST,MIAMI,FL,33126, (305) 649-6301,25.781229,-80.2578816
Walgreens,623,9380 SW 56TH ST,Miller & 93rd Avenue,MIAMI,FL,33165, (305) 274-3040,Mon: 8:00AM-10:00PM Tue: 8:00AM-10:00PM Wed: 8:00AM-10:00PM Thu: 8:00AM-10:00PM Fri: 8:00AM-10:00PM Sat: 8:00AM-10:00PM Sun: 9:00AM-6:00PM, (305) 274-3040,No,No,No,No,No,Yes,TRUE,FALSE,25.715572,-80.34676,623,9380 SW 56TH ST,MIAMI,FL,33165, (305) 274-3040,25.715572,-80.34676
Walgreens,625,615 BROADWAY,Broadway & Taylor,MILLBRAE,CA,94030, (650) 697-0166,Mon: 8:00AM-9:00PM Tue: 8:00AM-9:00PM Wed: 8:00AM-9:00PM Thu: 8:00AM-9:00PM Fri: 8:00AM-9:00PM Sat: 9:00AM-6:00PM Sun: 10:00AM-6:00PM, (650) 697-0166,Yes,No,No,No,No,No,TRUE,FALSE,37.603299,-122.393799,625,615 BROADWAY,MILLBRAE,CA,94030, (650) 697-0166,37.603299,-122.393799
Walgreens,649,3701 S HOWELL AVE,Howell & Wilbur (Chase),MILWAUKEE,WI,53207, (414) 482-1470,Mon: 12:00AM-12:00AM Tue: 12:00AM-12:00AM Wed: 12:00AM-12:00AM Thu: 12:00AM-12:00AM Fri: 12:00AM-12:00AM Sat: 12:00AM-12:00AM Sun: 12:00AM-12:00AM, (414) 482-1470,Yes,Yes,No,No,No,Yes,TRUE,FALSE,42.977699,-87.909999,649,3701 S HOWELL AVE,MILWAUKEE,WI,53207, (414) 482-1470,42.977699,-87.909999
Walgreens,662,13430 SAN PEDRO AVE,San Pedro & Bitters,SAN ANTONIO,TX,78216, (210) 496-1313,Mon: 9:00AM-9:00PM Tue: 9:00AM-9:00PM Wed: 9:00AM-9:00PM Thu: 9:00AM-9:00PM Fri: 9:00AM-9:00PM Sat: 9:00AM-5:00PM Sun: 10:00AM-5:00PM, (210) 496-1313,No,No,No,No,No,Yes,TRUE,FALSE,29.564299,-98.482199,662,13430 SAN PEDRO AVE,SAN ANTONIO,TX,78216, (210) 496-1313,29.564299,-98.482199
Walgreens,665,1600 W WISCONSIN AVE,16th & Wisconsin Avenue,MILWAUKEE,WI,53233, (414) 344-1833,Mon: 9:00AM-6:00PM Tue: 9:00AM-6:00PM Wed: 9:00AM-6:00PM Thu: 9:00AM-6:00PM Fri: 9:00AM-6:00PM Sat: 10:00AM-2:00PM Sun: CLOSED-CLOSED, (414) 344-1833,No,No,No,No,No,Yes,TRUE,FALSE,43.038699,-87.933199,665,1600 W WISCONSIN AVE,MILWAUKEE,WI,53233, (414) 344-1833,43.038699,-87.933199
Walgreens,689,121 E EL CAMINO REAL,El Camino & Grant,MOUNTAIN VIEW,CA,94040, (650) 961-7555,Mon: 12:00AM-12:00AM Tue: 12:00AM-12:00AM Wed: 12:00AM-12:00AM Thu: 12:00AM-12:00AM Fri: 12:00AM-12:00AM Sat: 12:00AM-12:00AM Sun: 12:00AM-12:00AM, (650) 961-7555,Yes,Yes,No,No,No,No,TRUE,TRUE,37.379161,-122.072901,689,121 E EL CAMINO REAL,MOUNTAIN VIEW,CA,94040, (650) 961-7555,37.379161,-122.072901
Walgreens,696,226 5TH AVE N,5TH AVENUE & CHURCH STREET,NASHVILLE,TN,37219, (615) 256-4600,Mon: 7:30AM-5:30PM Tue: 7:30AM-5:30PM Wed: 7:30AM-5:30PM Thu: 7:30AM-5:30PM Fri: 7:30AM-5:30PM Sat: CLOSED-CLOSED Sun: CLOSED-CLOSED, (615) 256-4600,No,No,No,No,No,Yes,TRUE,FALSE,36.164081,-86.780749,696,226 5TH AVE N,NASHVILLE,TN,37219, (615) 256-4600,36.164081,-86.780749
Walgreens,748,12295 BISCAYNE BLVD,Biscayne & 125th Street,NORTH MIAMI,FL,33181, (305) 893-6860,Mon: 12:00AM-12:00AM Tue: 12:00AM-12:00AM Wed: 12:00AM-12:00AM Thu: 12:00AM-12:00AM Fri: 12:00AM-12:00AM Sat: 12:00AM-12:00AM Sun: 12:00AM-12:00AM, (305) 893-6860,Yes,Yes,Yes,No,No,Yes,TRUE,TRUE,25.889084,-80.162863,748,12295 BISCAYNE BLVD,NORTH MIAMI,FL,33181, (305) 893-6860,25.889084,-80.162863
