store_number,store_type,address,city,state,zip_code,phone_number,playplace,drive_thru,arch_card,free_wifi,latitude,longitude
235,FREESTANDING,925 SAN PEDRO DR NE,ALBUQUERQUE,NM,87108-1849,(505)265-4275,N,Y,Y,Y,35.086944,-106.577731
236,FREESTANDING,7916 MONTGOMERY ROAD,CINCINNATI,OH,45236-4304,(513)791-5553,N,Y,Y,Y,39.19985,-84.376142
240,FREESTANDING,2425 E 79TH ST,CHICAGO,IL,60649,(773)768-0153,N,Y,Y,Y,41.751366,-87.565351
241,FREESTANDING,1390 ROCKVILLE PIKE,ROCKVILLE,MD,20852,(301)881-6811,N,Y,Y,Y,39.068187,-77.128655
242,FREESTANDING,1999 JERICHO TRNPIKE,EAST NORTHPORT,NY,11731,(631)499-9762,Y,Y,Y,Y,40.838955,-73.327835
248,FREESTANDING,"3814 PLAINFIELD ROAD, N.E.",GRAND RAPIDS,MI,49525,(616)361-7133,Y,Y,Y,Y,43.031887,-85.625568
249,FREESTANDING,510 N ORCHARD,BOISE,ID,83704,(208)336-0711,N,Y,Y,Y,43.609385,-116.242896
250,FREESTANDING,5170 PARK BLVD,PINELLAS PARK,FL,33781-3414,(727)544-7333,Y,Y,Y,Y,27.838784,-82.703379
252,FREESTANDING,1107 N NAVY BLVD,WEST PENSACOLA,FL,32507-1250,(850)456-3365,Y,Y,Y,Y,30.405824,-87.275594
253,FREESTANDING,3510 DUKE ST,ALEXANDRIA,VA,22304,(703)370-5365,N,Y,Y,Y,38.808568,-77.09081
255,FREESTANDING,746 SAN SOUCI HWY,WILKES BARRE,PA,18702,(570)829-9846,N,Y,Y,Y,41.231926,-75.921241
256,FREESTANDING,1711 SOUTH SAGINAW RD.,MIDLAND,MI,48640-2631,(989)832-5932,Y,Y,Y,Y,43.615011,-84.213873
258,FREESTANDING,5600 PRESTON HWY,LOUISVILLE,KY,40219-1304,(502)969-9272,N,Y,Y,Y,38.168409,-85.706865
260,FREESTANDING,3024N MAIN STREET,ANDERSON,SC,29625,(864)226-9874,N,Y,Y,Y,34.537058,-82.666678
261,FREESTANDING,4501 LINDEN AVE,DAYTON,OH,45432-3025,(937)256-7901,N,Y,Y,Y,39.743502,-84.114295
262,FREESTANDING,5114 NORTHFIELD RD,MAPLE HEIGHTS,OH,44137-2107,(216)581-0289,N,Y,Y,Y,41.421318,-81.527678
264,FREESTANDING,2818 MAGNOLIA AVE,KNOXVILLE,TN,37918,(865)637-0267,N,Y,Y,Y,35.991068,-83.889623
268,FREESTANDING,300 OHIO RIVER BLVD,BADEN,PA,15005,(724)869-2927,N,Y,Y,Y,40.633333,-80.229814
270,FREESTANDING,130 N MAIN ST,ELKHART,IN,46516-3037,(574)293-6380,N,Y,Y,Y,41.688119,-85.973391
273,FREESTANDING,1813 MERRICK RD,MERRICK,NY,11566,(516)868-4446,N,Y,Y,Y,40.653885,-73.555611
274,FREESTANDING,14810 BALTIMORE AVE,LAUREL,MD,20707-4856,(301)953-3368,N,Y,Y,Y,39.094155,-76.855027
276,FREESTANDING,1787 STATE RD,CUYAHOGA FALLS,OH,44223-1305,(330)923-3348,Y,Y,Y,Y,41.131108,-81.507729
277,FREESTANDING,6225 MAYFIELD RD,MAYFIELD HEIGHTS,OH,44124,(440)461-6055,N,Y,Y,Y,41.520552,-81.455373
278,FREESTANDING,226 SIBLEY BLVD,DOLTON,IL,60419,(708)849-2134,N,Y,Y,Y,41.623019,-87.628481
280,FREESTANDING,720 CLEVELAND ST,RAPID CITY,SD,57701,(605)343-6984,N,Y,Y,Y,44.061666,-103.231191
284,FREESTANDING,8040 NICOLLET AVE,BLOOMINGTON,MN,55420-1230,(952)888-6844,Y,Y,Y,Y,44.857845,-93.278999
287,FREESTANDING,2351 N VERITY PKY,MIDDLETOWN,OH,45042-2464,(513)423-1582,N,Y,Y,Y,39.526871,-84.385344
288,FREESTANDING,3120 N BROADWAY,KNOXVILLE,TN,37912,(865)687-1647,N,Y,Y,Y,36.000893,-83.925265
289,FREESTANDING,2300 N WALNUT ST,BLOOMINGTON,IN,47404,(812)332-9618,N,Y,Y,Y,39.187175,-86.533684
290,FREESTANDING,3507 S FRANKLIN,MICHIGAN CITY,IN,46361,(219)872-0411,Y,Y,Y,Y,41.690455,-86.894232
291,FREESTANDING,1273 S ROBERT ST,WEST ST. PAUL,MN,55118,(651)457-6683,Y,Y,Y,Y,44.907799,-93.081352
292,FREESTANDING,3144 NW CACHE RD,LAWTON,OK,73505,(580)351-9820,Y,Y,Y,Y,34.623079,-98.434648
293,FREESTANDING,6421 PEARL RD,PARMA HEIGHTS,OH,44130,(440)888-0313,Y,Y,Y,Y,41.385994,-81.768163
294,FREESTANDING,2741 LEECHBURG RD,LOWER BURRELL,PA,15068,(724)335-2113,N,Y,Y,Y,40.590869,-79.73601
301,FREESTANDING,646 FARMINGTON AVE,BRISTOL,CT,06010-3911,(860)589-7313,N,Y,Y,Y,41.690398,-72.922442
302,FREESTANDING,1912 E HIGGINS,ELK GROVE VILLAGE,IL,60007-2503,(847)437-7949,Y,Y,Y,Y,42.02176,-87.957224
306,FREESTANDING,14845 EUREKA ROAD,SOUTHGATE,MI,48195-2001,(734)282-2712,N,Y,Y,Y,42.198738,-83.204666
308,FREESTANDING,1111 WASHINGTON BLVD,OGDEN,UT,84404-4950,(801)621-1905,Y,Y,Y,Y,41.245583,-111.970455
309,FREESTANDING,1491 APPLE AVENUE,MUSKEGON,MI,49442-3748,(231)773-2131,N,Y,Y,Y,43.233888,-86.20696
312,FREESTANDING,7734 WISE AVE,BALTIMORE,MD,21222,(410)284-1560,N,Y,Y,Y,39.269102,-76.50039
313,FREESTANDING,3200 S MINNESOTA AVE,SIOUX FALLS,SD,57105-5651,(605)338-2222,N,Y,Y,Y,43.515547,-96.73074
315,FREESTANDING,7969 N MILWAUKEE AVE,NILES,IL,60648,(847)965-2373,N,Y,Y,Y,42.025813,-87.813292
316,FREESTANDING,1901 N MAIN ST,HIGH POINT,NC,27262,(336)882-9824,N,Y,Y,Y,35.979622,-80.021757
317,FREESTANDING,3117 S TOPEKA AVE,TOPEKA,KS,66611-2124,(785)266-4770,Y,Y,Y,Y,39.0113,-95.688306
318,FREESTANDING,483 N MAIN ST,MARION,OH,43302-2330,(740)382-6611,Y,Y,Y,Y,40.596491,-83.129911
319,FREESTANDING,1201 24TH ST,PORT HURON,MI,48060-4849,(810)985-5030,N,Y,Y,Y,42.970978,-82.453209
320,FREESTANDING,3050 DIXIE HIGHWAY,ERLANGER,KY,41018-1826,(859)341-8873,N,Y,Y,Y,39.021708,-84.588579
324,FREESTANDING,957 FAIRMONT AVE,JAMESTOWN,NY,14701,(716)484-8157,N,Y,Y,Y,42.097119,-79.291649
326,FREESTANDING,1660 KENNEDY DR,CARPENTERSVILLE,IL,60110,(847)428-9137,Y,Y,Y,Y,42.113227,-88.25833
328,FREESTANDING,3918 FREE PIKE,DAYTON,OH,45416-1212,(937)278-1707,N,Y,Y,Y,39.797639,-84.253246
329,FREESTANDING,188 EAST DUNDEE ROAD,WHEELING,IL,60090-3033,(847)541-8487,N,Y,Y,Y,42.140083,-87.9112
330,FREESTANDING,9475 BEAVERTON HILLSDALE,BEAVERTON,OR,97005,(503)646-1816,N,Y,Y,Y,45.486866,-122.774213
335,FREESTANDING,5733 S KEDZIE AVE,CHICAGO,IL,60639,(773)471-1858,Y,Y,Y,Y,41.788561,-87.703214
337,FREESTANDING,8320 NIAGARA FALLS BLVD,NIAGARA FALLS,NY,14304,(716)298-3592,N,Y,Y,Y,43.090173,-78.96937
338,FREESTANDING,5220 BUFORD HWY,DORAVILLE,GA,30340,(770)457-3210,Y,Y,Y,Y,33.895668,-84.283562
339,FREESTANDING,31115 VINE ST,WILLOWICK,OH,44094,(440)944-6019,N,Y,Y,Y,41.642861,-81.470061
342,FREESTANDING,1203 ARTESIA BLVD.,MANHATTAN BEACH,CA,90266-6904,(310)379-7755,N,Y,Y,Y,33.873142,-118.393692
343,FREESTANDING,2418 S SENECA AVE,WICHITA,KS,67216,(316)262-4331,N,Y,Y,Y,37.651214,-97.352176
346,FREESTANDING,27480 VAN DYKE ROAD,WARREN,MI,48093-2804,(586)755-0290,Y,Y,Y,Y,42.496181,-83.027161
348,FREESTANDING,3815 UNION RD,CHEEKTOWAGA,NY,14225,(716)683-3376,Y,Y,Y,Y,42.91829,-78.753654
351,FREESTANDING,1114 WEST KEARNEY,SPRINGFIELD,MO,65803-1238,(417)865-3166,Y,Y,Y,Y,37.240559,-93.304031
353,FREESTANDING,2457 LINCOLN BLVD,VENICE,CA,90291-5040,(310)822-5133,N,Y,Y,Y,33.992996,-118.451073
357,FREESTANDING,"3719 DAVISON ROAD, EAST",FLINT,MI,48506-4205,(810)742-5101,Y,Y,Y,Y,43.033645,-83.639679
359,FREESTANDING,1450 ROCKY CREEK RD,MACON,GA,31206,(478)788-4233,Y,Y,Y,Y,32.790703,-83.670381
362,FREESTANDING,3138 SECOR RD,TOLEDO,OH,43606-1513,(419)535-7661,N,Y,Y,Y,41.678694,-83.622177
364,FREESTANDING,5324 4TH ST NW,ALBUQUERQUE,NM,87107-5206,(505)344-6314,Y,Y,Y,Y,35.136962,-106.641039
366,FREESTANDING,5616 MEMPHIS AVE,CLEVELAND,OH,44144-2240,(216)661-6171,N,Y,Y,Y,41.440218,-81.724975
368,FREESTANDING,2010 N. ROXBORO ROAD,DURHAM,NC,27704-4339,(919)220-4074,N,Y,Y,Y,36.016672,-78.889662
371,FREESTANDING,1388 MARYLAND AVENUE,ST. PAUL,MN,55106,(651)774-4147,N,Y,Y,Y,44.977264,-93.042625
373,FREESTANDING,995 MAIN STREET,WORCESTER,MA,01603-2418,(508)757-5357,N,Y,Y,Y,42.247734,-71.826126
375,FREESTANDING,909 PENINSULA DR,ERIE,PA,16505,(814)833-4841,N,Y,Y,Y,42.102353,-80.146746
380,FREESTANDING,522 EL CAMINO REAL,BELMONT,CA,94002-2121,(650)592-6833,Y,Y,Y,Y,37.524906,-122.281845
381,FREESTANDING,1720 W EXCHANGE ST,AKRON,OH,44313-7662,(330)836-2951,N,Y,Y,Y,41.108227,-81.568793
383,FREESTANDING,1420 EASTERN BLVD,CLARKSVILLE,IN,47129-1706,(812)282-7481,N,Y,Y,Y,38.309233,-85.769586
384,FREESTANDING,2875 SE POWELL BLVD,PORTLAND,OR,97202-2051,(503)233-4029,N,Y,Y,Y,45.497723,-122.635882
385,FREESTANDING,3037 N DOUGLAS AVE,RACINE,WI,53402-4177,(262)639-6178,N,Y,Y,Y,42.756584,-87.799467
391,FREESTANDING,2106 DIX HWY,LINCOLN PARK,MI,48146-2219,(313)383-4800,N,Y,Y,Y,42.253712,-83.194778
392,FREESTANDING,2505 CHAPMAN HWY,KNOXVILLE,TN,37912,(865)577-0097,N,Y,Y,Y,35.950546,-83.914622
396,FREESTANDING,4422 W MAIN ST,BELLEVILLE,IL,62223-5505,(618)233-5786,Y,Y,Y,Y,38.540225,-90.023392
398,FREESTANDING,6125 GRAND AVE,DES MOINES,IA,50312-1418,(515)255-2543,N,Y,Y,Y,41.583082,-93.700864
400,FREESTANDING,1619 E JOPPA RD,TOWSON,MD,21286,(410)821-7593,N,Y,Y,Y,39.396579,-76.565222
401,FREESTANDING,7135 W ROOSEVELT RD,BERWYN,IL,60402,(708)749-1555,N,Y,Y,Y,41.864685,-87.803293
405,FREESTANDING,800 W 6TH ST,PUEBLO,CO,81002,(719)545-2388,N,Y,Y,Y,38.272161,-104.618195
407,FREESTANDING,2330 FORT HENRY DR,KINGSPORT,TN,37664,(423)246-6661,Y,Y,Y,Y,36.525304,-82.520807
