DATE,USERID,DESCRIPTION,PERSISTENTRECORDID,IS PHYSICAL TRANSACTION
,2,CHECKCARD 0610 Amazon.com AMZN.COM/BILLWA...,,0
,2,CHECKCARD 0611 AMAZON MKTPLACE PMTS AMZN.COM/BILLWA...,,0
,2,CHECKCARD 0611 AMAZON MKTPLACE PMTS AMZN.COM/BILLWA...,,0
,2,CHECKCARD 0611 AMAZON MKTPLACE PMTS AMZN.COM/BILLWA...,,0
,2,CHECKCARD 0615 OVR*O.CO/OVERSTOCK.COM 800-8432446 UT 24906413166001913979314,,0
,2,"CHECKCARD 0621 24HOUR FITNESS USA,INC 800-432-6348 CA...",,0
,2,CHECKCARD 0621 Amazon.com AMZN.COM/BILLWA...,,0
,2,CHECKCARD 0624 AT&T TLG GLF 800-331-0500 GA 24493983175003100448376 RECURRING,,0
,2,CHECKCARD 0625 Amazon Video On Demand 866-216-1072 WA...,,0
,2,CHECKCARD 0701 WEBFACTION 44845862031 74198813182325711434872,,0
,2,CHECKCARD 0701 WEBFACTION 44845862031 74198813182325711434872 INTERNATIONAL...,,0
,2,CHECKCARD 0709 ESURANCE CAR INSURANCE 800-378-7262 CA...,,0
,2,"CHECKCARD 0720 24HOUR FITNESS USA,INC 800-432-6348 CA...",,0
,2,CHECKCARD 0721 FACEBK *Gifts www.fb.me/cc CA...,,0
,2,CHECKCARD 0809 ESURANCE CAR INSURANCE 800-378-7262 CA...,,0
,2,CHECKCARD 0810 Amazon Digital Svcs 866-216-1072 WA...,,0
,2,"CHECKCARD 0820 24HOUR FITNESS USA,INC 800-432-6348 CA...",,0
,2,CHECKCARD 0824 AT&T TLG GLF 800-331-0500 GA 24493983236003117453242 RECURRING,,0
,2,CHECKCARD 0830 24 HOUR FITNESS SUNNYVALE CA 24692163243000600231696,,0
,2,CHECKCARD 0830 24 HOUR FITNESS SUNNYVALE CA 24692163243000600231704,,0
,2,CHECKCARD 0903 PLAYSTATION SONYENTERT 877-971-7669 CA...,,0
,2,CHECKCARD 0904 Amazon.com AMZN.COM/BILLWA...,,0
,2,CHECKCARD 0907 Amazon Video On Demand 866-216-1072 WA...,,0
,2,CHECKCARD 0909 ESURANCE CAR INSURANCE 800-378-7262 CA...,,0
,2,CHECKCARD 0911 AIRBNB INC 415-800-5959 CA 24692163254000958832273 RECURRING,,0
,2,CHECKCARD 0911 AIRBNB INC 415-800-5959 CA 24692163254000958844070 RECURRING,,0
,2,CHECKCARD 0912 AIRBNB INC 415-800-5959 CA 24692163255000309839224 RECURRING,,0
,2,CHECKCARD 0912 AIRBNB INC 415-800-5959 CA 24692163255000309859438 RECURRING,,0
,2,CHECKCARD 0912 PLAYSTATION SONYENTERT 877-971-7669 CA...,,0
,2,CHECKCARD 0914 PLAYSTATION SONYENTERT 877-971-7669 CA...,,0
,2,CHECKCARD 0914 PLAYSTATION SONYENTERT 877-971-7669 CA...,,0
,2,"CHECKCARD 0920 24HOUR FITNESS USA,INC 800-432-6348 CA...",,0
,2,CHECKCARD 0921 Amazon Video On Demand 866-216-1072 WA...,,0
,2,CHECKCARD 0924 AT&T TLG GLF 800-331-0500 GA 24493983267003174272214 RECURRING,,0
,2,CHECKCARD 0925 GOOGLE *Devices GOOGLE.COM/CHCA...,,0
,2,CHECKCARD 0926 Amazon.com AMZN.COM/BILLWA...,,0
,2,CHECKCARD 1002 PAYPAL *1337 LLC 402-935-7733 CA...,,0
,2,CHECKCARD 1009 ESURANCE CAR INSURANCE 800-378-7262 CA...,,0
,2,CHECKCARD 1010 Amazon.com AMZN.COM/BILLWA...,,0
,2,"CHECKCARD 1020 24HOUR FITNESS USA,INC 800-432-6348 CA...",,0
,2,CHECKCARD 1020 Amazon Services-Kindle 866-216-1072 WA...,,0
,2,CHECKCARD 1107 PAYPAL *1337 LLC 402-935-7733 CA...,,0
,2,CHECKCARD 1109 ESURANCE CAR INSURANCE 800-378-7262 CA...,,0
,2,CHECKCARD 1111 Amazon Digital Svcs 866-216-1072 WA...,,0
,2,CHECKCARD 1118 Amazon Video On Demand 866-216-1072 WA...,,0
,2,"CHECKCARD 1120 24HOUR FITNESS USA,INC 800-432-6348 CA...",,0
,2,CHECKCARD 1124 AT&T*BILL PAYMENT 800-331-0500 TX...,,0
,2,CHECKCARD 1129 AMAZON MKTPLACE PMTS AMZN.COM/BILLWA...,,0
,2,CHECKCARD 1129 AMAZON MKTPLACE PMTS AMZN.COM/BILLWA...,,0
,2,CHECKCARD 1204 AMAZON MKTPLACE PMTS AMZN.COM/BILLWA...,,0
,2,CHECKCARD 1204 AMAZON MKTPLACE PMTS AMZN.COM/BILLWA...,,0
,2,CHECKCARD 1205 Amazon.com AMZN.COM/BILLWA...,,0
,2,CHECKCARD 1205 Amazon.com AMZN.COM/BILLWA...,,0
,2,CHECKCARD 1206 AMAZON MKTPLACE PMTS AMZN.COM/BILLWA...,,0
,2,CHECKCARD 1206 AMAZON MKTPLACE PMTS AMZN.COM/BILLWA...,,0
,2,CHECKCARD 1206 AMAZON MKTPLACE PMTS AMZN.COM/BILLWA...,,0
,2,CHECKCARD 1207 AMAZON MKTPLACE PMTS AMZN.COM/BILLWA...,,0
,2,CHECKCARD 1208 AMAZON MKTPLACE PMTS AMZN.COM/BILLWA...,,0
,2,CHECKCARD 1208 Amazon.com AMZN.COM/BILLWA...,,0
,2,CHECKCARD 1209 AMAZON MKTPLACE PMTS AMZN.COM/BILLWA...,,0
,2,CHECKCARD 1209 AMAZON MKTPLACE PMTS AMZN.COM/BILLWA...,,0
,2,CHECKCARD 1209 ESURANCE CAR INSURANCE 800-378-7262 CA...,,0
,2,CHECKCARD 1213 24 HOUR FITNESS SUNNYVALE CA 24692163348000928968775,,0
,2,CHECKCARD 1213 24 HOUR FITNESS SUNNYVALE CA 24692163348000928968809,,0
,2,CHECKCARD 1213 THINKGEEK INC THINKGEEK.COMVA...,,0
,2,"CHECKCARD 1220 24HOUR FITNESS USA,INC 800-432-6348 CA...",,0
,2,CHECKCARD 1220 AMAZON MKTPLACE PMTS AMZN.COM/BILLWA...,,0
,2,CHECKCARD 1221 Amazon.com AMZN.COM/BILLWA...,,0
,2,CHECKCARD 1221 Amazon.com AMZN.COM/BILLWA...,,0
,2,CHECKCARD 1224 AT&T*BILL PAYMENT 800-331-0500 TX...,,0
,2,CHECKCARD 1225 PAYPAL *1337 LLC 402-935-7733 CA...,,0
,2,"CONCUR DES:EXPENSE ID:C008N1RUX000 INDN:Key, Joe A. CO ID:1911608052 PPD...",,0
,2,"CONCUR DES:EXPENSE ID:C00A9UJCX006 INDN:Key, Joe A. CO ID:1911608052 PPD...",,0
,2,"YODLEE.COM INC DES:DIRECT DEP ID:315018338477QBC INDN:KEY,JOE A CO...",,0
,2,"YODLEE.COM INC DES:DIRECT DEP ID:475019277469QBC INDN:KEY,JOE A CO...",,0
,2,"YODLEE.COM INC DES:DIRECT DEP ID:515046671679QBC INDN:KEY,JOE A CO...",,0
,2,"YODLEE.COM INC DES:DIRECT DEP ID:516042312983QBC INDN:KEY,JOE A CO...",,0
,2,"YODLEE.COM INC DES:DIRECT DEP ID:516042312984QBC INDN:KEY,JOE A CO...",,0
,2,"YODLEE.COM INC DES:DIRECT DEP ID:517046621180QBC INDN:KEY,JOE A CO...",,0
,2,"YODLEE.COM INC DES:DIRECT DEP ID:519046304065QBC INDN:KEY,JOE A CO...",,0
,2,"YODLEE.COM INC DES:DIRECT DEP ID:569025025433QBC INDN:KEY,JOE A CO...",,0
,2,"YODLEE.COM INC DES:DIRECT DEP ID:575027196035QBC INDN:KEY,JOE A CO...",,0
,2,"YODLEE.COM INC DES:DIRECT DEP ID:588025780457QBC INDN:KEY,JOE A CO...",,0
,2,"YODLEE.COM INC DES:DIRECT DEP ID:590017342045QBC INDN:KEY,JOE A CO...",,0
,2,"YODLEE.COM INC DES:DIRECT DEP ID:612026847301QBC INDN:KEY,JOE A CO...",,0
,2,"YODLEE.COM INC DES:DIRECT DEP ID:625043170387QBC INDN:KEY,JOE A CO...",,0
,2,"YODLEE.COM INC DES:DIRECT DEP ID:636041888967QBC INDN:KEY,JOE A CO...",,0
,2,"YODLEE.COM INC DES:DIRECT DEP ID:640025839973QBC INDN:KEY,JOE A CO...",,0
,2,"YODLEE.COM INC DES:DIRECT DEP ID:640025839974QBC INDN:KEY,JOE A CO...",,0
,2,"YODLEE.COM INC DES:DIRECT DEP ID:654038835037QBC INDN:KEY,JOE A CO...",,0
,2,"YODLEE.COM INC DES:DIRECT DEP ID:669033410119QBC INDN:KEY,JOE A CO...",,0
,2,"YODLEE.COM INC DES:DIRECT DEP ID:681023381652QBC INDN:KEY,JOE A CO...",,0
,2,"YODLEE.COM INC DES:DIRECT DEP ID:689051101128QBC INDN:KEY,JOE A CO...",,0
,2,"YODLEE.COM INC DES:DIRECT DEP ID:696048239467QBC INDN:KEY,JOE A CO...",,0
,2,"YODLEE.COM INC DES:DIRECT DEP ID:703030941426QBC INDN:KEY,JOE A CO...",,0
,2,"YODLEE.COM INC DES:DIRECT DEP ID:714044355791QBC INDN:KEY,JOE A CO...",,0
,2,"YODLEE.COM INC DES:DIRECT DEP ID:715043619496QBC INDN:KEY,JOE A CO...",,0
,2,"YODLEE.COM INC DES:DIRECT DEP ID:740017497838QBC INDN:KEY,JOE A CO...",,0
,2,"YODLEE.COM INC DES:DIRECT DEP ID:740017497839QBC INDN:KEY,JOE A CO...",,0
,2,"YODLEE.COM INC DES:DIRECT DEP ID:793028169125QBC INDN:KEY,JOE A CO...",,0
,2,"CHECKCARD 0120 24HOUR FITNESS USA,INC 800-432-6348 CA...",,0
,2,CHECKCARD 0124 AT&T TLG GLF 800-331-0500 GA 24493983024003166775541 RECURRING,,0
,2,CHECKCARD 0201 WEBFACTION 44845862031 74198813034304620791508,,0
,2,CHECKCARD 0201 WEBFACTION 44845862031 74198813034304620791508 INTERNATIONAL...,,0
,2,"CHECKCARD 0221 24HOUR FITNESS USA,INC 800-432-6348 CA...",,0
,2,CHECKCARD 0222 24 HOUR FITNESS SUNNYVALE CA 24692163054000727522611,,0
,2,CHECKCARD 0224 AT&T TLG GLF 800-331-0500 GA 24493983055003138333850 RECURRING,,0
,2,CHECKCARD 0302 AMERICAN MENSA LTD 817-607-0060 TX...,,0
,2,CHECKCARD 0306 Amazon Prime 866-557-2820 NV 24692163065000830684602 RECURRING,,0
,2,CHECKCARD 0324 AT&T TLG GLF 800-331-0500 GA 24493983083003198476165 RECURRING,,0
,2,"CHECKCARD 0426 24HOUR FITNESS USA,INC 800-432-6348 CA...",,0
,2,CHECKCARD 0430 WEBFACTION 44845862031 74198813121317851597455,,0
,2,CHECKCARD 0430 WEBFACTION 44845862031 74198813121317851597455 INTERNATIONAL...,,0
,2,CHECKCARD 0501 Amazon Digital Svcs 866-216-1072 WA...,,0
,2,CHECKCARD 0503 AMAZON MKTPLACE PMTS AMZN.COM/BILLWA...,,0
,2,CHECKCARD 0509 ESURANCE CAR INSURANCE 800-378-7262 CA...,,0
,2,CHECKCARD 0512 PROFLOWERS.COM 888-373-7437 CA...,,0
,2,CHECKCARD 0515 FANDANGO.COM FANDANGO.COM CA 24692163135000484386369,,0
,2,CHECKCARD 0517 Amazon Services-Kindle 866-216-1072 WA...,,0
,2,"CHECKCARD 0520 24HOUR FITNESS USA,INC 800-432-6348 CA...",,0
,2,CHECKCARD 0610 FAMOUS FOOTWEAR.COM 866-432-6687 MO...,,0
,2,CHECKCARD 0731 FACEBK *Gifts www.fb.me/cc CA...,,0
,2,CHECKCARD 1024 AT&T*BILL PAYMENT 800-331-0500 TX...,,0
,2,IRS DES:USATAXPYMT ID:200350515576653 INDN:JOE A KEY & SKYE C HIL CO...,,0
,2,CHECKCARD 0429 24 HOUR FITNESS SUNNYVALE CA 24692163120000041318886,,0
,2,CHECKCARD 0724 AT&T TLG GLF 800-331-0500 GA 24493983205003158791259 RECURRING,,0
,2,FRANCHISE TAX BD DES:TAX-REFUND ID:436770131 INDN:JOE A KEY CO...,,0
,2,7-ELEVEN 02/03 #000186601 PURCHASE 1430 FRUITDALE AV SAN JOSE CA,,1
,2,7-ELEVEN 03/10 #000101978 PURCHASE 1430 FRUITDALE AV SAN JOSE CA,,1
,2,AM VALERO FOOD 08/16 #000099854 PURCHASE 1502 E YOSEMITE A MADERA CA,,1
,2,ARCO PAYPOINT 01/22 #000490226 PURCHASE 470 RALSTON AVE BELMONT CA,,1
,2,ARCO PAYPOINT 01/31 #000311596 PURCHASE 470 RALSTON AVE BELMONT CA,,1
,2,ARCO PAYPOINT 02/16 #000888874 PURCHASE 1040 SUNNYVALE - SUNNYVALE CA,,1
,2,ARCO PAYPOINT 04/05 #000079544 PURCHASE 1040 SUNNYVALE - SUNNYVALE CA,,1
,2,ARCO PAYPOINT 05/31 #000753861 PURCHASE 1040 SUNNYVALE - SUNNYVALE CA,,1
,2,ARCO PAYPOINT 06/08 #000431971 PURCHASE 18605 MONTEREY RD MORGAN HILL CA,,1
,2,ARCO PAYPOINT 06/08 #000915386 PURCHASE 18605 MONTEREY RD MORGAN HILL CA,,1
,2,ARCO PAYPOINT 08/22 #000589150 PURCHASE 1040 SUNNYVALE - SUNNYVALE CA,,1
,2,ARCO PAYPOINT 09/03 #000802492 PURCHASE 470 RALSTON AVE BELMONT CA,,1
,2,ARCO PAYPOINT 10/02 #000577272 PURCHASE 1040 SUNNYVALE - SUNNYVALE CA,,1
,2,ARCO PAYPOINT 11/27 #000503476 PURCHASE ARCO PAYPOINT SUNNYVALE CA,,1
,2,BART SAN BRUNO 01/21 #000149366 PURCHASE BART SAN BRUNO ST SAN BRUNO CA,,1
,2,BART SAN BRUNO 06/12 #000153033 PURCHASE BART SAN BRUNO ST SAN BRUNO CA,,1
,2,BART SAN BRUNO 06/19 #000406956 PURCHASE BART SAN BRUNO ST SAN BRUNO CA,,1
,2,BART SAN BRUNO 08/01 #000266625 PURCHASE BART SAN BRUNO ST SAN BRUNO CA,,1
,2,BART SAN BRUNO 08/13 #000190509 PURCHASE BART SAN BRUNO ST SAN BRUNO CA,,1
,2,BART SAN BRUNO 12/02 #000007164 PURCHASE BART SAN BRUNO ST SAN BRUNO CA,,1
,2,BCF - 1600 SAR 06/02 #000065900 PURCHASE BCF - 1600 SARATO SAN JOSE CA,,1
,2,BEVERAGES & MO 01/31 #000570224 PURCHASE 1247 W EL CAMINO SUNNYVALE CA,,1
,2,BEVERAGES & MO 02/22 #000609042 PURCHASE 1247 W EL CAMINO SUNNYVALE CA,,1
,2,BEVERAGES & MO 03/01 #000646355 PURCHASE 1247 W EL CAMINO SUNNYVALE CA,,1
,2,BEVERAGES & MO 03/16 #000586110 PURCHASE 1247 W EL CAMINO SUNNYVALE CA,,1
,2,BEVERAGES & MO 09/05 #000640591 PURCHASE 1247 W EL CAMINO SUNNYVALE CA,,1
,2,BEVERAGES & MO 11/07 #000886296 PURCHASE BEVERAGES & MOR SUNNYVALE CA,,1
,2,BIG 5 SPORTING 05/06 #000024778 PURCHASE BIG 5 SPORTING GO SUNNYVALE CA,,1
,2,BIG 5 SPORTING 06/18 #000014839 PURCHASE BIG 5 SPORTING GO SUNNYVALE CA,,1
,2,BIG 5 SPTG GDS 02/20 #000462508 PURCHASE BIG 5 SPTG GDS-00 SUNNYVALE CA,,1
,2,CHECKCARD 0114 76 10041762 SUNNYVALE CA 24015173014000811868381,,1
,2,CHECKCARD 0123 STUDIO 5 HAIR SALON SUNNYVALE CA 24122473024900019300107,,1
,2,CHECKCARD 0126 ORIGINAL GRAVITY PUBLIC SAN JOSE CA 24690293027080080270199,,1
,2,CHECKCARD 0126 ORIGINAL GRAVITY PUBLIC SAN JOSE CA 24690293027080080270199,,1
,2,CHECKCARD 0211 IHOP 1719 BELMONT CA 24692163043000992741908,,1
,2,CHECKCARD 0223 AMC CUPERTINO 01004241 CUPERTINO CA 24164073055931431213254,,1
,2,CHECKCARD 0224 MURPHY'S LAW SUNNYVALE CA 24431063055207794301178,,1
,2,CHECKCARD 0227 STUDIO 5 HAIR SALON SUNNYVALE CA 24122473059900012100049,,1
,2,CHECKCARD 0307 DA KINE ISLAND GRILL SUNNYVALE CA 24492153066401437000030,,1
,2,CHECKCARD 0321 IHOP #1719 BELMONT CA 24431063081207288600224,,1
,2,CHECKCARD 0322 76 10041762 SUNNYVALE CA 24015173081001377257827,,1
,2,CHECKCARD 0324 DA KINE ISLAND GRILL SUNNYVALE CA 24492153083401438000129,,1
,2,CHECKCARD 0325 SUSHI CLUB SUNNYVALE CA 24460083085980001903830,,1
,2,CHECKCARD 0403 TOKYO STAR MANGO BAY REDWOOD CITY CA...,,1
,2,CHECKCARD 0420 THAI PEPPER CUISINE LLC SUNNYVALE CA 24431063110286857500028,,1
,2,CHECKCARD 0423 ST JOHNS BAR & GRILL SUNNYVALE CA 24013393113001431238118,,1
,2,CHECKCARD 0424 MOUNTAIN MIKES PIZZA BELMONT CA 24254773115461169830222,,1
,2,CHECKCARD 0524 GODFATHERS BURGER LOU BELMONT CA 24692163145000152820721,,1
,2,CHECKCARD 0524 THAI PEPPER CUISINE LLC SUNNYVALE CA 24431063145286857001356,,1
,2,CHECKCARD 0527 GHIRARDELLI #138- GCE SAN FRANCISCOCA 24493983148207799500421,,1
,2,CHECKCARD 0527 GHIRARDELLI #138- GCE SAN FRANCISCOCA 24493983148207799500439,,1
,2,CHECKCARD 0527 MILLBRAE MARKET & GASOL MILLBRAE CA 24765793148980019478503,,1
,2,CHECKCARD 0612 SUSHI CLUB SUNNYVALE CA 24460083164980001903891,,1
,2,CHECKCARD 0617 SUBWAY 00442392 SAN JOSE CA 24164073168255011661474,,1
,2,CHECKCARD 0620 76 10041762 SUNNYVALE CA 24015173171001274272102,,1
,2,CHECKCARD 0705 CVS PHARMACY #9700 SUNNYVALE CA 24445003187100212984009,,1
,2,CHECKCARD 0803 AMC CUPERTINO 01004241 CUPERTINO CA 24164073216931401454033,,1
,2,CHECKCARD 0803 AMC CUPERTINO 01004241 CUPERTINO CA 24164073216931401454041,,1
,2,CHECKCARD 0803 EL ADOBE TAQUERIA SUNNYVALE CA 24493983216286626600486,,1
,2,CHECKCARD 0803 THE SALON PROFESSIONAL SAN JOSE CA 24755423216152169300191,,1
,2,CHECKCARD 0804 CALTRAIN TVM SAN CARLOS CA 24492793217436300074283,,1
,2,CHECKCARD 0804 GARY DANKO SAN FRANCISCOCA 24224433218101045757934,,1
,2,CHECKCARD 0810 SUBWAY 00067413 SUNNYVALE CA 24164073223255230084618,,1
,2,CHECKCARD 0812 IHOP #1719 BELMONT CA 24431063225207288600353,,1
,2,CHECKCARD 0812 SPECIALTY'S CAFE & BAK REDWOOD CITY CA...,,1
,2,CHECKCARD 0813 SAIGON CUISINE QUE HUO SAN BRUNO CA 24071053226987124866590,,1
,2,CHECKCARD 0813 TATAMI BUFFET CUPERTINO CA 24431063226207602400083,,1
,2,CHECKCARD 0818 BLACKBEAR DINER- M MADERA CA 24224433231105006465166,,1
,2,CHECKCARD 0821 THAI PEPPER CUISINE LLC SUNNYVALE CA 24431063234286857700983,,1
,2,CHECKCARD 0823 TGI FRIDAY'S CUPERTINO CUPERTINO CA 24431053236207888700783,,1
,2,CHECKCARD 0826 SUBWAY 00442392 SAN JOSE CA 24164073238255007015889,,1
,2,CHECKCARD 0827 FOG HARBOR FISH HOUSE SAN FRANCISCOCA 24071053240158141237098,,1
,2,CHECKCARD 0830 EL CAMINO MONGOLIAN BBQ SANTA CLARA CA 24122583243980013731367,,1
