|LOCATION|DESCRIPTION_UNMASKED
123|('Appleton', 'WI')|HOLIDAY INNS APPLETON    APPLETON     WI 
124|('Lawrence', 'KS')|HOLLYWOOD THEATERS # 8   LAWRENCE     KS 
125|('Little Rock', 'AR')|HONEYBAKED HAM #1201     LITTLE ROCK  AR 
126|('San Antonio', 'TX')|HOTEL VALENCIA - RI      SAN ANTONIO  TX 
127|('Dalton', 'GA')|IHOP 4401                DALTON       GA 
128|('College Park', 'MD')|IKEA COLLEGE PARK        COLLEGE PARK MD 
129||INDIANA TOLL ROADS       8668995849   PA 
130|('Gatlinburg', 'TN')|INTEGRITY DESIGNS &      GATLINBURG   TN 
131|('Tewksbury', 'MA')|IRA TOYOTA SCION TEWKS   TEWKSBURY    MA 
132||JACK IN THE BOX 5339ROSAMOND    63600173    661-256-5920 
133|('Las Vegas', 'NV')|JACK IN THE BOX 726QPS   LAS VEGAS    NV 
134||JACKSONVILLE NAS COMMISS JACKONSVILLE FL 
135|('Park City', 'UT')|JEREMY STORE 00403428    PARK CITY    UT 
136|('O Fallon', 'IL')|JIMMY JOHNS - 277        O FALLON     IL 
137||JSIX RESTAURANT (2) 
138|('Greenville', 'NC')|K & W CAFETERIAS #46     GREENVILLE   NC 
139||KABUKI JAPANESE STEAKH   VIRGINIA BEACVA 
140|('Kahului', 'HI')|KAHULUI AIRPORT PARKING AKAHULUI HI 
141||KANGAROO                 NORTH CHARLESSC 
142|('Gainesville', 'FL')|KANGAROO EXPRESS 6162    GAINESVILLE  FL 
143||KCE POPEYES CHICKEN      APO          XX 
144|('Bridgewater', 'NJ')|KFC L367009   24570095   BRIDGEWATER  NJ 
145|('San Antonio', 'TX')|KFC/TACO BELL #2081Q65   SAN ANTONIO  TX 
146|('Lewisville', 'TX')|KING KONG SHOE REPA      LEWISVILLE   TX 
147|('Dayton', 'OH')|KOHL'S #0205 DAYTON OH 
148|('Grand Prairie', 'TX')|KRYSTAL DFWF02           GRAND PRAIRIETX 
149|('San Antonio', 'TX')|USAA INS PREMIUM         SAN ANTONIO  TX 
150|('Horn Lake', 'MS')|KWIK SHOP #300           HORN LAKE    MS 
151|('Manchester', 'NH')|LA CARRETA MEXICAN RES   MANCHESTER   NH 
152||LA FITNESS               09492558100  CA 
153|('Chesapeake', 'VA')|WAL-MART #1682           CHESAPEAKE   VA 
154|('San Diego', 'CA')|LA PINATA                SAN DIEGO    CA 
155||LANDS END                08003324700  WI 
156|('Columbia', 'MD')|LIFE TIME CAFE 148Q46    COLUMBIA     MD 
157|('Lincoln', 'NE')|LINCOLN JOURNAL STAR C   LINCOLN      NE 
158|('La Jolla', 'CA')|LIVING ROOM OF LAJ QPS LA JOLLA     CA 
159|('Gaithersburg', 'MD')|LOWES #00223*            GAITHERSBURG MD 
160|('San Antonio', 'TX')|USAA INS PREMIUM         SAN ANTONIO  TX 
161|('Temecula', 'CA')|LOWES #00775*            TEMECULA     CA 
162|('Henderson', 'NV')|LOWES #01033*            HENDERSON    NV 
163||LULULEMON BILTMORE  PHOENIX     000113      SPORTING GOODS STORE 
164|('Luverne', 'MN')|LUVERNE FARM STORE       LUVERNE      MN 
165|('New York City', 'NY')|MACY'S #003 HERALD S 0030NEW YORK     NY 
166|('Sherman Oaks', 'CA')|MACY'S EAST #501         SHERMAN OAKS CA 
167||MADIGAN GAS PUMPS   FT LEWIS    36412648   GOVERNMENT SERVICE 
168|('Monteagle', 'TN')|MAPCO MART #3540         MONTEAGLE    TN 
169|('Hill Afb', 'UT')|AAFES HILL MINI MALL G   HILL AFB     UT 
170|('Normal', 'IL')|MARATHON PETRO012377   NORMAL       IL 
171|('Clarksville', 'TN')|MARATHON PETRO063719     CLARKSVILLE  TN 
172|('Kenosha', 'WI')|MARSHALLS #155           KENOSHA      WI 
173||MAUERMUSEUM AM CHECKPO   BERLIN       DF 
174|('Las Vegas', 'NV')|MCCARRAN INT L AIRPORT   LAS VEGAS    NV 
175||MCCS MARINE CO91010017   KANEOHE BAY  HI 
176|('Quantico', 'VA')|MCCS-QUANTICA 12010047   QUANTICO     VA 
177|('Boulder', 'CO')|MCGUCKIN HARDWARE        BOULDER      CO 
178||MCKEEVER PRICE CHO       LENEXA       KS 
179|('Taylor', 'MI')|MEIJER INC #035    Q01   TAYLOR       MI 
180|('Schererville', 'IN')|MENARDS 3124             SCHERERVILLE IN 
181||MIDTOWN                  WASHINGTON   DC 
182|('Missoula', 'MT')|MISMO GYMNASTICS         MISSOULA     MT 
183|('Chicago', 'IL')|MCDONALD'S F5618         CHICAGO      IL 
184|('San Antonio', 'TX')|USAA INS PREMIUM         SAN ANTONIO  TX 
185|('Saint Paul', 'MN')|MISSISSIPPI MARKET - S   SAINT PAUL   MN 
186|('Key West', 'FL')|MWR BEACH PATI10280170   KEY WEST     FL 
187||MY GOODS 76   10069623   TIGARD       OR 
188|('Shreveport', 'LA')|N CAHOOTS                SHREVEPORT   LA 
189||NAPLES COMMISSARY        ITALY        AE 
190||NAVTEQ                   08664628837  UT 
191|('Norfolk', 'VA')|NAVY EXCHANGE 050002     NORFOLK      VA 
192||NAVY EXCHANGE 060122     ATLANTIC BEACFL 
193|('Raleigh', 'NC')|NCSU ALL CAMPUS MICQPS   RALEIGH      NC 
194|('Omaha', 'NE')|NEBRASKA FURNITURE       OMAHA        NE 
195|('Johns Island', 'SC')|NEWTON FARM 140          JOHNS ISLAND SC 
196|('Norfolk', 'VA')|NEX FUEL 050039        NORFOLK      VA 
197|('Lake Harmony', 'PA')|NICK'S LAKE HOUSE        LAKE HARMONY PA 
198|('Amsterdam', 'NY')|NICOLINOS                AMSTERDAM    NY 
199|('Austin', 'TX')|NORDSTROM #0736          AUSTIN       TX 
200|('Wakefield', 'RI')|NORTHUP'S IMPORTED CAR   WAKEFIELD    RI 
201||ONSTARCALLINGMINUTESTELECOMM 10896340   134560713        48083 
202|('Cincinnati', 'OH')|PACSUN #0152             CINCINNATI   OH 
203|('Sebastian', 'FL')|WAL-MART #1068           SEBASTIAN    FL 
204|('Brandon', 'FL')|PANDA EXPRESS 1210       BRANDON      FL 
205||PANERA BREAD #3072       LONE TREE    CO 
206|('Burke', 'VA')|PAPA JOHNS #2088.COM     BURKE        VA 
207|('Wilson', 'NC')|PAULS OF NEW YORK ITAL   WILSON       NC 
208||PAYLESS SHOES #0992 MIRAMAR     PAYLESS SHOESOURCE MI 
209|('Fayetteville', 'WV')|MCDONALD'S F34006        FAYETTEVILLE WV 
210||PC ONE COMPANY           DOHA         QA 
211|('Escondido', 'CA')|PC&F ESCONDIDO10080687   ESCONDIDO    CA 
212||PERICOS MEXICAN RESTSAN ANTONIO 10156320111 2104026006 
213|('Greensboro', 'NC')|PHOENIX ASIAN CUISINE    GREENSBORO   NC 
214|('Panama City', 'FL')|PIER 98 CONVENIENCE      PANAMA CITY  FL 
215|('Knoxville', 'TN')|PILOT         00009340   KNOXVILLE    TN 
216|('Hampton', 'VA')|PLAZA AZTECA             HAMPTON      VA 
217||AAFES HEIDELBERG MAIN    APO          AE 
218||PLUM DISTRICT            04157773757  CA 
219|('Wilmington', 'NC')|PT'S OLD FASHIONED GRI   WILMINGTON   NC 
220||PUBLIX #1303             FORT WALTON BFL 
221||QUARTER MASTER           562-3047300  CA 
222|('Dallas', 'TX')|RACETRAC609   00006098   DALLAS       TX 
223|('Punta Gorda', 'FL')|RACEWAY766    80507668   PUNTA GORDA  FL 
224|('Chicago', 'IL')|RACINE PLUMBING          CHICAGO      IL 
225|('Alexandria', 'VA')|RAMPARTS                 ALEXANDRIA   VA 
226||RAMSTEIN KMCC MACGRILL   APO          AE 
227|('Pearland', 'TX')|RANDALLS FUEL 10046126   PEARLAND     TX 
228|('San Antonio', 'TX')|RED ROBIN NORTHWOODS#363 SAN ANTONIO  TX 
229|('Atlanta', 'GA')|REGAL CINEMAS ATLANTIC   ATLANTA      GA 
230||REGAL CINEMAS LIVE OAK   LIVE OAK     TX 
231||REGAL CINEMAS MAGNOLIA   CORAL SPRINGSFL 
232|('Enterprise', 'AL')|RITE AID #7093     Q05   ENTERPRISE   AL 
233|('Chicago', 'IL')|RODITYS RESTAURANTS      CHICAGO      IL 
234|('Arlington', 'TX')|KROGER #0543             ARLINGTON    TX 
235||S*MICHIKO LONDON         CLAREMONT    ZA 
236||SAINSBURYS S/MKTS        BANBURY      GB 
237|('Oak Brook', 'IL')|SAVWAY FINE WINES & SP   OAK BROOK    IL 
238||SECURITY ADJUSTMENT (OF) 
239||SEVEN DWARF'S MINE       LAKE BUENA VIFL 
240|('Palm Springs', 'CA')|SHELL OIL 574418255QPS   PALM SPRINGS CA 
241|('Loves Park', 'IL')|SHELL OIL 574421400QPS   LOVES PARK   IL 
242|('Silverton', 'OR')|SHELL OIL 574421934QPS   SILVERTON    OR 
243|('Oak View', 'CA')|SHELL OIL 574429940QPS   OAK VIEW     CA 
244|('San Antonio', 'TX')|SHELL OIL 57542572706    SAN ANTONIO  TX 
245|('Ocoee', 'FL')|SHELL OIL 57543701908    OCOEE        FL 
246|('San Antonio', 'TX')|SHELL OIL 57544009004    SAN ANTONIO  TX 
247||SHELL OIL 57544195001    DUNWOODY     GA 
248|('Livingston', 'AL')|SHELL OIL 57545003709    LIVINGSTON   AL 
249||SHENANIGAN'S IRISH 
250||SHIPBOARD CHARGES D      LAKE BUENA VIFL 
251|('San Antonio', 'TX')|WAL-MART #2599           SAN ANTONIO  TX 
252|('Hope Mills', 'NC')|SHORT STOP #5      QPS   HOPE MILLS   NC 
253||SMASHBURGER #1022 5429298SALT LAKE CITUT 
254||SMITHSONIAN STUDENT TRAVE888-3339756  MA 
255|('Denver', 'CO')|SOBO 151                 DENVER       CO 
256||SOCCER USA INC 04        FARRAGUT     TN 
257|('Cambridge', 'MA')|SOFRA                    CAMBRIDGE    MA 
258|('Haymarket', 'VA')|CVS #8966                HAYMARKET    VA 
259|('Dallas', 'TX')|SOUTHWES 5260603745026   DALLAS       TX 
260||STAMPEDE PEST CONTROL    8328897474   TX 
261|('Grandville', 'MI')|STAPLES       00116210   GRANDVILLE   MI 
262|('Carlsbad', 'CA')|STARBUCKS CORP00054544   CARLSBAD     CA 
263|('San Antonio', 'TX')|USAA INS PREMIUM         SAN ANTONIO  TX 
264|('Atlanta', 'GA')|STARBUCKS D AT201523 5311ATLANTA      GA 
265||STARBUCKS F8 O31281512 
266|('Midlothian', 'VA')|SAMSCLUB #6354           MIDLOTHIAN   VA 
267||STEIN-MART #0118         NORTH LITTLE AR 
268|('Fishers', 'IN')|SUBWAY        00245589   FISHERS      IN 
269|('Dover', 'DE')|SUBWAY        00487793 DOVER        DE 
270||SUBWAY 00253518 
271|('Denver', 'CO')|SUNFLOWER MARKETS  DEN   DENVER       CO 
272||SUNOCO 0301787800        DUPONT       PA 
273|('Stuart', 'FL')|SUNOCO 0613442301      STUART       FL 
274|('Punta Gorda', 'FL')|SUNOCO 0943457200        PUNTA GORDA  FL 
275|('Puyallup', 'WA')|SUNRISE VILLAGE BIGFOO   PUYALLUP     WA 
276|('South San Francisco', 'CA')|SUNSET SHAPERS           SAN FRANCISCOCA 
277|('Costa Mesa', 'CA')|SWAT 650000000033236     COSTA MESA   CA 
278|('Monroe', 'LA')|T J MAXX #1126           MONROE       LA 
279|('San Antonio', 'TX')|USAA INS PREMIUM         SAN ANTONIO  TX 
280|('Columbia', 'MO')|T.H.E. CHIROPRACTIC &    COLUMBIA     MO 
281|('Pensacola', 'FL')|TACO BELL #026778 0267   PENSACOLA    FL 
282|('Clarksville', 'TN')|TACO BELL #16200162172   CLARKSVILLE  TN 
283||TACONY                   PHILADELHPHIAPA 
284|('Cockeysville', 'MD')|TALBOTS #0273            COCKEYSVILLE MD 
285|('Phoenix', 'AZ')|TARGET        00011411   PHOENIX      AZ 
286|('Houston', 'TX')|TARGET        00014357   HOUSTON      TX 
287|('Hilo', 'HI')|TARGET        00015396   SHILOH       IL 
288|('Mc Kinney', 'TX')|CVS #5952                MCKINNEY     TX 
289||TARGET        00023002   RICHFIELD    MN 
290|('Aurora', 'CO')|SAMSCLUB #4816           AURORA       CO 
291|('Aurora', 'CO')|TARGET T2458 2458        AURORA       CO 
292|('Round Rock', 'TX')|TARKA ROUND ROCK L       ROUND ROCK   TX 
293|('Monroe', 'NY')|THE CAPTAINS TABLE       MONROE       NY 
294||THE FIRM FITNESS CENTE   REHOBOTH BCH DE 
295|('Temecula', 'CA')|THE HOME DEPOT 1028      TEMECULA     CA 
296|('Marietta', 'GA')|KROGER 356 000000356     MARIETTA     GA 
297|('San Antonio', 'TX')|THE HOME DEPOT 588       SAN ANTONIO  TX 
298|('Indianapolis', 'IN')|THE MAILING STATION IN   INDIANAPOLIS IN 
299|('Daytona Beach', 'FL')|THE OLIVE GARD00010041   DAYTONA BEACHFL 
300|('Asheville', 'NC')|THE OLIVE GARD00014670   ASHEVILLE    NC 
301|('Greensboro', 'GA')|THE RITZ CARLTON RYNLD   GREENSBORO   GA 
302|('Columbus', 'OH')|THE SOCIAL ROOM          COLUMBUS     OH 
303|('Rochester', 'MN')|TIPS AND TOES            ROCHESTER    MN 
304|('Sedona', 'AZ')|TOMMY HILFIGER #059 0076 SEDONA       AZ 
305||TOTAL 4118 SHAMROCK      HIGHLANDS RA CO 
306|('Austin', 'TX')|TPWD - STATE PARKS       AUSTIN       TX 
307||TRADER JOE'S #042  QPS   LA CANADA    CA 
308|('Annapolis', 'MD')|TRADER JOE'S #650  QPS 65ANNAPOLIS    MD 
309||TRADER JOE'S #664 QPS 
310|('Melbourne', 'FL')|WAL-MART #0956           MELBOURNE    FL 
311|('Marietta', 'GA')|TRADER JOE'S #732  QPS   MARIETTA     GA 
312|('Dover', 'DE')|SAMSCLUB #6330           DOVER        DE 
313|('Cary', 'NC')|TRADER JOE'S #741  QPS CARY         NC 
314||TRAVEL GUARD GROUP       08008261300  WI 
315|('Palm Springs', 'CA')|TRIO RESTAURANT          PALM SPRINGS CA 
316|('Jacksonville', 'FL')|TROPICAL SMOOTHIE AR-12  JACKSONVILLE FL 
317|('Richmond', 'VA')|UA WEST TOWER CINEMAS 10 RICHMOND     VA 
318|('Mesa', 'AZ')|USPS 03522695523800543   MESA         AZ 
319|('Offutt A F B', 'NE')|AAFES OFFUTT AFB MAIN    OFFUTT AFB   NE 
320||USPS 05678103011026168   AP           CA 
321|('Brighton', 'CO')|USPS 07233095520306189   BRIGHTON     CO 
322|('Nashville', 'IL')|USPS 16549605630747307   NASHVILLE    IL 
323||USPS PO BOXES 66101510   WASHINGTON   DC 
324|('Lafayette', 'LA')|VALERO 1731              LAFAYETTE    LA 
325||VALU HOME CNT 0814 QPS   WILLIAMSVILLENY 
326||VEND AT E PORT           8668995849   PA 
327||VETERINARY SPECIALISW HARTFORD  8602363273 
328|('Bakersfield', 'CA')|VONS     STORE00024208   BAKERSFIELD  CA 
329|('Upland', 'CA')|VONS     STORE00026815 UPLAND       CA 
330|('New York City', 'NY')|WALL STREET WINE MERCH   NEW YORK     NY 
331|('New York City', 'NY')|WALL STREET WINE MERCH   NEW YORK     NY 
332|('Bethesda', 'MD')|WASH METRORAIL00012328   BETHESDA     MD 
333||WATERMANS HB 
334|('Medford', 'NJ')|WAWA 915      00009159   MEDFORD      NJ 
335|('Fairfield', 'CA')|CVS PHARMACY #3075       FAIRFIELD    CA 
336|('Lumberton', 'NJ')|WAWA 957      00009571   LUMBERTON    NJ 
337||PALM
338|('Penfield', 'NY')|WEGMANS #063             PENFIELD     NY 
339|('Gaithersburg', 'MD')|WENDYS #0103       Q25   GAITHERSBURG MD 
340|('South Easton', 'MA')|WENDYS #2499       Q25   SOUTH EASTON MA 
341|('Wilmington', 'NC')|WEST MARINE 1267         WILMINGTON   NC 
342|('Orlando', 'FL')|WHITE WOLF CAFE          ORLANDO      FL 
343|('Hingham', 'MA')|WHOLEFDS HGM 10159       HINGHAM      MA 
344||WHOLEFDS PPK 10146       COLORADO SPRICO 
345|('Reston', 'VA')|WHOLEFDS RES 10061       RESTON       VA 
346|('Rockville', 'MD')|WHOLEFDS RWF 10235       ROCKVILLE    MD 
347|('Springfield', 'VA')|WHOLEFDS SPR 10056       SPRINGFIELD  VA 
348|('Elizabeth', 'NJ')|WINE CELLAR LIQUOR STO   ELIZABETH    NJ 
349|('Alpharetta', 'GA')|WM SUPERCENTER           ALPHARETTA   GA 
350|('Appomattox', 'VA')|WM SUPERCENTER           APPOMATTOX   VA 
351|('Austin', 'TX')|WM SUPERCENTER           AUSTIN       TX 
352||WM SUPERCENTER           PUEBLO WEST  CO 
353|('Syracuse', 'NY')|YANKEE CANDLE 0263       SYRACUSE     NY 
354||AAFES FT BRAGG MIL SHP   FT BRAGG     NC 
355||AAFES MAXWELL SERV QPS   MAXWELL AFB  AL 
356|('Paris', 'AR')|22 FOOD STORE 694 1005751PARIS        AR 
357|('Ridgecrest', 'CA')|349 MINIT SHOP           RIDGECREST   CA 
358|('Oklahoma City', 'OK')|7 ELEVEN  49  00000497   OKLAHOMA CITYOK 
359|('Kailua', 'HI')|76                       KAILUA       HI 
360|('Santa Barbara', 'CA')|7620 SBC PARK DEPT       SANTA BARBARACA 
361|('Haymarket', 'VA')|7-ELEVEN 20412           HAYMARKET    VA 
362||7-ELEVEN 20968 
363|('Carbondale', 'CO')|7-ELEVEN 22088           CARBONDALE   CO 
364|('Orlando', 'FL')|7-ELEVEN 25088           ORLANDO      FL 
365|('Orlando', 'FL')|7-ELEVEN 33351 0007333510ORLANDO      FL 
366||AAFES AF SHARANA WEST    APO          AE 
367||AAFES CHA GAS PUMPS      CHARLESTON AFSC 
368|('Eielson Afb', 'AK')|AAFES EIELSON SHOPPING   EIELSON AFB  AK 
369||AAFES FT MEYER MAIN ST   FORT MYER    VA 
370||AAFES KMCC MALL          APO          AE 
371|('San Antonio', 'TX')|ADI AT SALON BY JC       SAN ANTONIO  TX 
372|('Spring Lake', 'NC')|ADVANCE AUTO PARTS #46   SPRING LAKE  NC 
373|('Seattle', 'WA')|ALASKA AIR  0272180138 SEATTLE      WA 
374||ALBERTSONS #6510 
375||ALDO US #2087            4144751750   WI 
376||ALL PRO CLASSICS INC 00-0HOT SPRINGS  AR 
377|('San Antonio', 'TX')|ALTEX ELECTRONICS 0067   SAN ANTONIO  TX 
378||AMC ROSEDALE 101006519   ROSEDALE     MN 
379|('Olathe', 'KS')|AMC STUDIO KC 05006101   OLATHE       KS 
