DESCRIPTION,pin.location,factual_id,composite.address,name,po_box,email,locality
BLUE BARN GOURMET DELI SAN FRANCISCO CA,"{'coordinates': ['-122.437844', '37.800585'], 'type': 'point'}",10575415-e13c-48ec-83d0-8425622c60e1,"2105 Chestnut St  San Francisco, CA 94123, us",Blue Barn Gourmet,,,San Francisco
OLD NAVY USA 06/02 #000006025 PURCHASE OLD NAVY USA SAN JOSE CA,,,,Old Navy,,,
CHECKCARD 0123 STUDIO 5 HAIR SALON SUNNYVALE CA 24122473024900019300107,"{'coordinates': ['-122.025484', '37.362638'], 'type': 'point'}",1a6e07c4-c101-424b-bff9-ceea9d86fd64,"583 E El Camino Real  Sunnyvale, CA 94087, us",Studio 5 Hair Salon,,,Sunnyvale
CHECKCARD 0321 IHOP #1719 BELMONT CA 24431063081207288600224,"{'coordinates': ['-122.282645', '37.525649'], 'type': 'point'}",71300a43-8052-47eb-8dbe-a0c5375fd9dd,"510 El Camino Real  Belmont, CA 94002, us",IHOP,,,Belmont
SAMS FOR PLAY CAFE  SANTA ROSA      CAUS,,,,,,,
CHECKCARD 0111 WEBFACTION 44845862031 74244693011301381889502,,,,,,,
CHECKCARD 1118 KATANA SUSHI & SAKE SUNNYVALE CA 24707803323980162402222,,,,Katana Sushi and Sake,,,
CHECKCARD 0308 21ST AMENDMENT BRE SAN FRANCISCOCA 24224433068105013518906,,,,,,,
CHECKCARD MARRIOTT 337F2 SAN FRAN,,,,,,,
PLEX INC            415-797-4478    CAUS,,,,,,,
CVS 09700 02/08 #000212653 PURCHASE 09700--576 E El C Sunnyvale CA,"{'coordinates': ['-122.026719', '37.362226'], 'type': 'point'}",d99b073e-293a-47d7-ba62-b1d23037ca54,"576 E El Camino Real  Sunnyvale, CA 94087, us",CVS Pharmacy,,,Sunnyvale
WILLOW COVE GAS     MENLO PARK      CAUS,"{'coordinates': ['-122.159704', '37.461578'], 'type': 'point'}",6d264cc7-8e76-40cb-803d-7a5425863024,"500 Willow Rd  Menlo Park, CA 94025, us",Willow Cove Gas,,,Menlo Park
RADISSON SF WHARF SAN FRANCISCO CA,,,,,,,
SAFEWAY 2887 10/08 #000255813 PURCHASE 150 E. EL CAMINO SUNNYVALE CA,,,,Safeway,,,
YMCA SILICON VALLEY EAST PALO ALT   CAUS,,,,,,,
MOLLIE STONES #9 SAN FRANCISCOCA,"{'coordinates': ['-122.427159', '37.62615'], 'type': 'point'}",2b225933-53bb-4d1c-be69-f222d9577e47,"22 Bayhill Shopping Ctr  San Bruno, CA 94066, us",Mollie Stones Market,,,San Bruno
LEE'S DELI-75 BATT SAN FRANCISCO CA,,,,Lee's Deli,,,
TOWER CLEANERS SAN FRANCISCO CA,,,,,,,
PALISADES DELI      CALISTOGA       CAUS,,,,Palisades Deli Cafe,,,
CVS 09700 0970 12/08 #000311893 PURCHASE CVS 09700 09700-- Sunnyvale CA,,,,,,,
SPUD SAN FRANCISCO SAN FRANCISCO CA,,,,,,,
UMAMI PALO ALTO     PALO ALTO       CAUS,,,,Palo Alto,,,
CHECKCARD 0804 GARY DANKO SAN FRANCISCOCA 24224433218101045757934,"{'coordinates': ['-122.420523', '37.805758'], 'type': 'point'}",8759900f-86b3-4e19-a487-3cc832428936,"800 N Point St  San Francisco, CA 94109, us",Gary Danko,,information@garydanko.com,San Francisco
BEVERAGES & MO 02/22 #000609042 PURCHASE 1247 W EL CAMINO SUNNYVALE CA,,,,,,,
TOUT SWEET PATISSE SAN FRANCISCO CA,,,,,,,
JASMINE GARDEN LLC       SAN FRANCISCOCA,,,,,,,
EL RANCHO MARKET       MENLO PARK   CAUS,,,,,,,
CHECKCARD 0612 SUSHI CLUB SUNNYVALE CA 24460083164980001903891,,,,Sushi Club,,,
DOJIMA ANN SAN FRANCISCOCA,"{'coordinates': ['-122.40852', '37.786108'], 'type': 'point'}",0be33495-75ef-4792-91e1-4d59e6015378,"219 Ofarrell St  San Francisco, CA 94102, us",Dojima-Ann,,,San Francisco
KUSHITSURU RESTAURANT SAN FRANCISCO CA,"{'coordinates': ['-122.430415', '37.785418'], 'type': 'point'}",3db27521-4ce0-4db1-9e62-53b5ab134972,"1737 Post St  San Francisco, CA 94115, us",Kushitsuru,,,San Francisco
CHECKCARD 0211 IHOP 1719 BELMONT CA 24692163043000992741908,"{'coordinates': ['-122.282645', '37.525649'], 'type': 'point'}",71300a43-8052-47eb-8dbe-a0c5375fd9dd,"510 El Camino Real  Belmont, CA 94002, us",IHOP,,,Belmont
CVS 09700 03/13 #000313947 PURCHASE 09700--576 E El C Sunnyvale CA,"{'coordinates': ['-122.026719', '37.362226'], 'type': 'point'}",d99b073e-293a-47d7-ba62-b1d23037ca54,"576 E El Camino Real  Sunnyvale, CA 94087, us",CVS Pharmacy,,,Sunnyvale
TWOMEY CELLARS      CALISTOGA       CAUS,"{'coordinates': ['-122.556773', '38.566296'], 'type': 'point'}",1df5303c-c509-44c5-ba8f-8bdc920c1e63,"1183 Dunaweal Ln  Calistoga, CA 94515, us",Twomey Cellars,,,Calistoga
PHO HUYNH HIEP #2 SAN FRANCISCOCA,,,,,,,
MI PUEBLO FOODS 1731 E. BAYSHORE BLVD. E. PALO ALTO CAUS,"{'coordinates': ['-122.137735', '37.461487'], 'type': 'point'}",405765eb-cd7b-461c-890d-1129a70feaf5,"1731 E Bayshore Rd  East Palo Alto, CA 94303, us",Mi Pueblo,,,East Palo Alto
CHECKCARD 1122 CALTRAIN TVM SAN CARLOS CA 24492793328436040065498,,,,,,,
CHKCARD LERS ROS THAI NOODLE SAN FRANCISCOCA,,,,Lers Ros Thai,,,
CHKCARD PLUM DISTRICT SAN FRANCISCOCA,,,,Plum District,,,
CHECKCARD 0527 MILLBRAE MARKET & GASOL MILLBRAE CA 24765793148980019478503,,,,,,,
BEVERAGES & MO 01/31 #000570224 PURCHASE 1247 W EL CAMINO SUNNYVALE CA,,,,,,,
CENTURY THEATRES 48 REDWOOD CITY    CAUS,,,,Redwood Theatres,,,
CHECKCARD 0324 DA KINE ISLAND GRILL SUNNYVALE CA 24492153083401438000129,"{'coordinates': ['-122.0313', '37.3525'], 'type': 'point'}",0b6f0f28-c707-4365-9e73-ed6efb6167bd,"153 E Fremont Ave  Sunnyvale, CA 94087, us",Da Kine Cafe,,,Sunnyvale
CHECKCARD 1114 JACK'S PRIME SAN MATEO CA 24224433320105009474928,,,,,,,
HAZELS KITCHEN           SAN FRANCISCOCA,,,,,,,
INSTACART           910-817-2278    CAUS,,,,Cafe 817,,,
THIRSTY BEAR BREWING C SAN FRANCISCO CA,"{'coordinates': ['-122.399679', '37.785553'], 'type': 'point'}",0c9fc4bc-6d4c-48c7-bc33-991db4eb68b5,"661 Howard St  San Francisco, CA 94105, us",Thirsty Bear Brewing Co.,,events@thirstybear.com,San Francisco
CHECKCARD 0424 MOUNTAIN MIKES PIZZA BELMONT CA 24254773115461169830222,,,,Mountain Mikes,,,
CVS 09700 03/27 #000215150 PURCHASE 09700--576 E El C Sunnyvale CA,"{'coordinates': ['-122.026719', '37.362226'], 'type': 'point'}",d99b073e-293a-47d7-ba62-b1d23037ca54,"576 E El Camino Real  Sunnyvale, CA 94087, us",CVS Pharmacy,,,Sunnyvale
CHECKCARD 1124 JAKES OF WILLOW GLEN SAN JOSE CA 24690513329207374000596,"{'coordinates': ['-121.901861', '37.309823'], 'type': 'point'}",4c1263a4-858c-484c-b635-673a48fe7335,"San Jose, CA 95125, us",Jakes of Willow Glen,,,San Jose
CHECKCARD 0121 GREEN PAPAYA RESTAURANT SAN FRANCISCOCA...,,,,,,,
CHECKCARD 0111 WEBFACTION 44845862031 74244693011301381889502 INTERNATIONAL...,,,,,,,
TARGET T2584 03/01 #000018784 PURCHASE TARGET T2584 SUNN SUNNYVALE CA,"{'coordinates': ['-122.032603', '37.373874'], 'type': 'point'}",6e6fa0af-402d-4a4e-a22c-04b8fd1c6510,"298 W Mc Kinley Ave  Sunnyvale, CA 94086, us",Target,,,Sunnyvale
SAN ZEN NAILS SAN FRANCISCO CA,,,,,,,
CVS 09700 03/18 #000219559 PURCHASE 09700--576 E El C Sunnyvale CA,,,,,,,
PET FOOD EXPRESS 3046 SAN FRANCISCO CA,,,,Pet Food Express,,,
JASPERS CORNER TAP       SAN FRANCISCOCA,"{'coordinates': ['-122.411467', '37.786082'], 'type': 'point'}",f17c20af-c863-41c6-9907-a45953cc650a,"401 Taylor St  San Francisco, CA 94102, us",Jasper's Corner Tap and Kitchen,,matthew.meidinger@jasperscornertap.com,San Francisco
YEAH YEAH PONY PRINCE SAN FRANCISCO CA,"{'coordinates': ['-122.406245', '37.797467'], 'type': 'point'}",3b81791b-bd98-4f63-ae6a-2a865f424254,"241 Columbus Ave  San Francisco, CA 94133, us",Yeah Yeah Pony Prince,,,San Francisco
A & S 76        710 WILLOW RD          MENLO PARK   CAUS,"{'coordinates': ['-122.157418', '37.464498'], 'type': 'point'}",405e29c3-148c-425f-9cd5-ddffaa2644e2,"710 Willow Rd  Menlo Park, CA 94025, us",A and S Union 76,,,Menlo Park
SAFEWAY 2887 10/01 #000935316 PURCHASE 150 E. EL CAMINO SUNNYVALE CA,,,,Safeway,,,
