keywords,city,Aggdata Store Number,store_number,address,state,zip_code,,
Royal Farms,Bel Air,25,25 025 0025 #25 #025 farms#25,1601 E. Churchville Road,MD,21015,,
Royal Farms,Dundalk,26,26 026 0026 #26 #026 farms#26,18 A Dundalk Avenue,MD,21222,,
Royal Farms,Perryville,27,27 027 0027 #27 #027 farms#27,5415 Pulaski Highway,MD,21903,,
Royal Farms,Annapolis,28,28 028 0028 #28 #028 farms#28,424 Sixth Street,MD,21403,,
Royal Farms,Baltimore,29,29 029 0029 #29 #029 farms#29,627 Mace Avenue,MD,21221,,
Royal Farms,Wallops Island,30,30 030 0030 #30 #030 farms#30,33620 Chincoteague Road,VA,23337,,
Royal Farms,Baltimore,31,31 031 0031 #31 #031 farms#31,2700 Taylor Avenue,MD,21234,,
Royal Farms,Pasadena,32,32 032 0032 #32 #032 farms#32,4500 Mountain Road,MD,21122,,
Royal Farms,Baltimore,33,33 033 0033 #33 #033 farms#33,2050 Fleet Street,MD,21231,,
Royal Farms,Reisterstown,34,34 034 0034 #34 #034 farms#34,15 Hanover Pike,MD,21136,,
Royal Farms,Baltimore,35,35 035 0035 #35 #035 farms#35,8803 Philadelphia Road,MD,21237,,
Royal Farms,Ocean City,36,36 036 0036 #36 #036 farms#36,8307 Coastal Highway,MD,21843,,
Royal Farms,Rehoboth Beach,37,37 037 0037 #37 #037 farms#37,427 Rehoboth Avenue,DE,19971,,
Royal Farms,Seaford,38,38 038 0038 #38 #038 farms#38,500 High Street,DE,19973,,
Royal Farms,Pasadena,39,39 039 0039 #39 #039 farms#39,2500 Mountain Road,MD,21122,,
Royal Farms,Severn,40,40 040 0040 #40 #040 farms#40,7843 Telegraph Road,MD,21144,,
Royal Farms,Baltimore,41,41 041 0041 #41 #041 farms#41,206 West Cold Spring Lane,MD,21210,,
Royal Farms,Baltimore,42,42 042 0042 #42 #042 farms#42,1302 Windlass Drive,MD,21220,,
Royal Farms,Luthersville,43,43 043 0043 #43 #043 farms#43,501 Seminary Avenue,MD,21093,,
Royal Farms,Fenwick,44,44 044 0044 #44 #044 farms#44,701 Coastal Hwy,DE,19944,,
Royal Farms,Linthicum,45,45 045 0045 #45 #045 farms#45,400 Camp Meade Road,MD,21090,,
Royal Farms,Halethorpe,46,46 046 0046 #46 #046 farms#46,4308 Washington Blvd,MD,21227,,
Royal Farms,Chase,47,47 047 0047 #47 #047 farms#47,12545 Eastern Avenue,MD,21220,,
Royal Farms,Arbutus,48,48 048 0048 #48 #048 farms#48,4045 Wilkins Avenue,MD,21229,,
Royal Farms,Baltimore,49,49 049 0049 #49 #049 farms#49,6067 Falls Road,MD,21209,,
Royal Farms,Baltimore,50,50 050 0050 #50 #050 farms#50,2704 Washington Blvd,MD,21230,,
Royal Farms,Milford,51,51 051 0051 #51 #051 farms#51,566 South Dupont Blvd.,DE,19963,,
Royal Farms,Baltimore,52,52 052 0052 #52 #052 farms#52,2410 East Joppa Road,MD,21234,,
Royal Farms,Easton,53,53 053 0053 #53 #053 farms#53,7655 Ocean Gateway,MD,21601,,
Royal Farms,Elkridge,54,54 054 0054 #54 #054 farms#54,8268 Lark Brown Road,MD,21075,,
Royal Farms,Baltimore,55,55 055 0055 #55 #055 farms#55,3701 Fleet Street,MD,21224,,
Royal Farms,Edgewater,56,56 056 0056 #56 #056 farms#56,301 Londontown Road,MD,21037,,
Royal Farms,College Park,57,57 057 0057 #57 #057 farms#57,8147 Baltimore Avenue,MD,20740,,
Royal Farms,Chestertown,59,59 059 0059 #59 #059 farms#59,301 Maple Avenue,MD,21620,,
Royal Farms,Baltimore,60,60 060 0060 #60 #060 farms#60,6100 Holabird Avenue,MD,21224,,
Royal Farms,Baltimore,61,61 061 0061 #61 #061 farms#61,3333 Fayette Street,MD,21224,,
Royal Farms,Westminster,62,62 062 0062 #62 #062 farms#62,1818 Baltimore Blvd,MD,21157,,
Royal Farms,Baltimore,63,63 063 0063 #63 #063 farms#63,4820 O'Donnell Street,MD,21224,,
Royal Farms,Baltimore,64,64 064 0064 #64 #064 farms#64,7950 Pulaski Highway,MD,21237,,
Royal Farms,Edgewood,65,65 065 0065 #65 #065 farms#65,630 Edgewood Road,MD,21040,,
Royal Farms,Middle River,66,66 066 0066 #66 #066 farms#66,9600 Pulaski Highway,MD,21220,,
Royal Farms,Ferndale,67,67 067 0067 #67 #067 farms#67,7201 Balto-Annapolis Blvd,MD,21061,,
Royal Farms,Dundalk,68,68 068 0068 #68 #068 farms#68,7701 German Hill Road,MD,21222,,
Royal Farms,Havre De Grace,69,69 069 0069 #69 #069 farms#69,405 Juniata Street,MD,21078,,
Royal Farms,Joppatowne,70,70 070 0070 #70 #070 farms#70,500 Joppa Farm Road,MD,21085,,
Royal Farms,Essex,71,71 071 0071 #71 #071 farms#71,8235 Eastern Blvd.,MD,21224,,
Royal Farms,Churchville,72,72 072 0072 #72 #072 farms#72,2906 Churchville Road,MD,21028,,
Royal Farms,Salisbury,73,73 073 0073 #73 #073 farms#73,1401 South Division Street,MD,21804,,
Royal Farms,Baynesville,74,74 074 0074 #74 #074 farms#74,1525 East Joppa Road,MD,21234,,
Royal Farms,Jessup,75,75 075 0075 #75 #075 farms#75,8686 Washington Blvd,MD,20794,,
Royal Farms,Glenelg,76,76 076 0076 #76 #076 farms#76,3901 Ten Oaks Road,MD,21737,,
Royal Farms,Abingdon,77,77 077 0077 #77 #077 farms#77,2603 Philadelphia Road,MD,21009,,
Royal Farms,New Church,79,79 079 0079 #79 #079 farms#79,2497 Lankford Hwy,VA,23415,,
Royal Farms,Queen Anne,80,80 080 0080 #80 #080 farms#80,32303 Queen Anne Hwy,MD,21657,,
Royal Farms,Pikesville,81,81 081 0081 #81 #081 farms#81,2330 Smith Avenue,MD,21209,,
Royal Farms,Severna Park,82,82 082 0082 #82 #082 farms#82,517 Ritchie Highway,MD,21146,,
Royal Farms,Salisbury,83,83 083 0083 #83 #083 farms#83,101 North Salisbury Avenue,MD,21801,,
Royal Farms,Elkton,84,84 084 0084 #84 #084 farms#84,25 Augustine Herman Hwy,MD,21921,,
Royal Farms,Columbia,85,85 085 0085 #85 #085 farms#85,8755 Centre Park Drive,MD,21045,,
Royal Farms,Baltimore,86,86 086 0086 #86 #086 farms#86,3601 Potee Street,MD,21225,,
Royal Farms,Conowingo,87,87 087 0087 #87 #087 farms#87,379 Conowingo Road,MD,21918,,
Royal Farms,Monkton,88,88 088 0088 #88 #088 farms#88,3209 Jarrettsville Pike Rd,MD,21111,,
Royal Farms,Aberdeen,89,89 089 0089 #89 #089 farms#89,1021 Middleton Road,MD,21001,,
Royal Farms,Baltimore,90,90 090 0090 #90 #090 farms#90,6311 Eastern Avenue,MD,21224,,
Royal Farms,Baltimore,91,91 091 0091 #91 #091 farms#91,920 W. 36th Street,MD,21211,,
Royal Farms,Baltimore,92,92 092 0092 #92 #092 farms#92,1440 Key Hwy,MD,21230,,
Royal Farms,Fallston,93,93 093 0093 #93 #093 farms#93,1915 Belair Rd.,MD,21047,,
Royal Farms,Port Deposit,94,94 094 0094 #94 #094 farms#94,1336 Jacob Tome Hwy,MD,21904,,
Royal Farms,Street,95,95 095 0095 #95 #095 farms#95,3606 Conowingo Road,MD,21154,,
Royal Farms,North East,96,96 096 0096 #96 #096 farms#96,500 Mechanics Valley Road,MD,21901,,
Royal Farms,Princess Anne,97,97 097 0097 #97 #097 farms#97,30452 Mt. Vernon Road,MD,21853,,
Royal Farms,Millersville,98,98 098 0098 #98 #098 farms#98,8198 Veterans Hwy,MD,21108,,
Royal Farms,Newark,99,99 099 0099 #99 #099 farms#99,865 Old Baltimore Pike,DE,19702,,
Royal Farms,Baltimore,100,100 0100 00100 #100 #0100 farms#100,36 Light Street (Light at Lombard),MD,21202,,
Royal Farms,Elkton,101,101 0101 00101 #101 #0101 farms#101,1199 East Pulaski Hwy. (Delancy),MD,21921,,
Royal Farms,White Marsh,102,102 0102 00102 #102 #0102 farms#102,10740 Pulaski Hwy,MD,21162,,
Royal Farms,Parksley,103,103 0103 00103 #103 #0103 farms#103,20474 Lankford Highway,VA,23421,,
Royal Farms,Essex,104,104 0104 00104 #104 #0104 farms#104,1010 Old Eastern Ave,MD,21221,,
Royal Farms,Nelsonia,105,105 0105 00105 #105 #0105 farms#105,16135 Lankford Hwy,VA,23414,,
Royal Farms,Baltimore,106,106 0106 00106 #106 #0106 farms#106,3360 Annapolis Road,MD,21230,,
Royal Farms,Ocean City,107,107 0107 00107 #107 #0107 farms#107,12826A Ocean Gateway,MD,21842,,
Royal Farms,Bridgeville,109,109 0109 00109 #109 #0109 farms#109,18657 Sussex Hwy,DE,19933,,
Royal Farms,Dover,110,110 0110 00110 #110 #0110 farms#110,295 S. Dupont Hwy,DE,19901,,
Royal Farms,Baltimore,111,111 0111 00111 #111 #0111 farms#111,1200 S. Ponca Street,MD,21224,,
Royal Farms,Lansdowne,112,112 0112 00112 #112 #0112 farms#112,3505 Washington Blvd,MD,21227,,
Royal Farms,Gamber,113,113 0113 00113 #113 #0113 farms#113,4007 Sykesville Rd,MD,21048,,
Royal Farms,Laurel,114,114 0114 00114 #114 #0114 farms#114,10722 Georgetown Road,DE,19956,,
Royal Farms,Exmore,115,115 0115 00115 #115 #0115 farms#115,4317 Lankford Hwy,VA,23350,,
Royal Farms,Dagsboro,116,116 0116 00116 #116 #0116 farms#116,701 Clayton Avenue,DE,19939,,
Royal Farms,Hartley,117,117 0117 00117 #117 #0117 farms#117,6358 Halltown Road,DE,19953,,
Royal Farms,Hanover,118,118 0118 00118 #118 #0118 farms#118,101 Carlisle Street,PA,17331,,
Royal Farms,Dover,119,119 0119 00119 #119 #0119 farms#119,5456 N. Dupont Hwy,DE,19901,,
Royal Farms,Greenwood,120,120 0120 00120 #120 #0120 farms#120,2 Schultz Rd.,DE,19950,,
Royal Farms,Harrington,121,121 0121 00121 #121 #0121 farms#121,7250 Milford Harrington Highway,DE,19952,,
Royal Farms,York,122,122 0122 00122 #122 #0122 farms#122,2605 S. Queen Street,PA,17402,,
Royal Farms,Millsboro,123,123 0123 00123 #123 #0123 farms#123,26672 John J Williams Hwy.,DE,19966,,
Royal Farms,Yorktown,124,124 0124 00124 #124 #0124 farms#124,1500 George Wash Mem. Hwy.,VA,23693,,
Royal Farms,Seaford,125,125 0125 00125 #125 #0125 farms#125,8800 Concord Road,DE,19973,,
Royal Farms,Wrightsville,126,126 0126 00126 #126 #0126 farms#126,850 Hellam Street,PA,17368,,
Royal Farms,Salisbury,127,127 0127 00127 #127 #0127 farms#127,7900 Royalty Way,MD,21801,,
Royal Farms,Middle River,128,128 0128 00128 #128 #0128 farms#128,3320 Eastern Blvd.,MD,21220,,
Royal Farms,Littlestown,129,129 0129 00129 #129 #0129 farms#129,450 N. Queen Street,PA,17340,,
Royal Farms,Smithfield,130,130 0130 00130 #130 #0130 farms#130,1201 South Church St.,VA,23430,,
Royal Farms,Cambridge,131,131 0131 00131 #131 #0131 farms#131,2703 Ocean Gateway,MD,21613,,
Royal Farms,Glen Burnie,133,133 0133 00133 #133 #0133 farms#133,930 Cromwell Park Drive,MD,21061,,
Royal Farms,Onley,134,134 0134 00134 #134 #0134 farms#134,25220 Lankford Highway,VA,23418,,
Royal Farms,Cecilton,136,136 0136 00136 #136 #0136 farms#136,115 N Bohemia Ave,MD,21913,,
Royal Farms,Baltimore,138,138 0138 00138 #138 #0138 farms#138,1530 Russell Street,MD,21230,,
Royal Farms,Dover,139,139 0139 00139 #139 #0139 farms#139,6 West Lebanon Road,DE,19901,,
Royal Farms,Owings Mills,140,140 0140 00140 #140 #0140 farms#140,10988 Red Run Blvd.,MD,21117,,
Royal Farms,Ellendale,141,141 0141 00141 #141 #0141 farms#141,16979 Beach Highway,DE,19941,,
Royal Farms,Milford,142,142 0142 00142 #142 #0142 farms#142,108 Silicato Parkway,DE,19963,,
Royal Farms,Dover,144,144 0144 00144 #144 #0144 farms#144,3120 Carlisle Rd,PA,17315,,
Royal Farms,Smyrna,146,146 0146 00146 #146 #0146 farms#146,304 N. Dupont Blvd,DE,19977,,
Royal Farms,Gambrills,148,148 0148 00148 #148 #0148 farms#148,1114 Maryland Rt. 3 North,MD,21054,,
Royal Farms,Odenton,149,149 0149 00149 #149 #0149 farms#149,1558 Annapolis Road,MD,21113,,
Royal Farms,Middle River,150,150 0150 00150 #150 #0150 farms#150,11905 Market Way and Rt. 43,MD,21220,,
Royal Farms,Dover,151,151 0151 00151 #151 #0151 farms#151,293 S. Saulsbury Road,DE,19904,,
Royal Farms,Baltimore,153,153 0153 00153 #153 #0153 farms#153,1501 62ND Street,MD,21237,,
Royal Farms,Chesapeake,157,157 0157 00157 #157 #0157 farms#157,3026 Churchland Blvd,VA,23321,,
Royal Farms,Georgetown,158,158 0158 00158 #158 #0158 farms#158,20579 Dupont Blvd,DE,19947,,
Royal Farms,Baltimore,159,159 0159 00159 #159 #0159 farms#159,1801 Washington Blvd,MD,21230,,
Royal Farms,Newark,160,160 0160 00160 #160 #0160 farms#160,2808 Pulaski Highway,DE,19702,,
Royal Farms,Bear,161,161 0161 00161 #161 #0161 farms#161,1551 Pulaski Highway,DE,19701,,
Royal Farms,York,162,162 0162 00162 #162 #0162 farms#162,1170 Loucks Road,PA,17404,,
Royal Farms,Queenstown,163,163 0163 00163 #163 #0163 farms#163,105 Clay Drive,MD,21658,,
Royal Farms,Baltimore,169,169 0169 00169 #169 #0169 farms#169,6201 Pulaski Highway,MD,21205,,
Royal Farms,Bel Air,170,170 0170 00170 #170 #0170 farms#170,2201 Jack Lane,MD,21015,,
Royal Farms,Eldersburg,174,174 0174 00174 #174 #0174 farms#174,1261 Liberty Road,MD,21784,,
Royal Farms,Perry Hall,181,181 0181 00181 #181 #0181 farms#181,9620 Belair Road,MD,21236,,
Royal Farms,Pasadena,183,183 0183 00183 #183 #0183 farms#183,8551 Fort Smallwood Road,MD,21122,,
Royal Farms,Aberdeen,188,188 0188 00188 #188 #0188 farms#188,742 S. Philadelphia Blvd.,MD,21001,,
Royal Farms,Hunt Valley,191,191 0191 00191 #191 #0191 farms#191,11119 McCormick Road,MD,21031,,
Royal Farms,Ridley Township,202,202 0202 00202 #202 #0202 farms#202,105 Stewart Ave,PA,19078,,
Royal Farms,Laurel,171,171 0171 00171 #171 #0171 farms#171,1112 Laurel Road,DE,19956,,
Royal Farms,Ocean View,176,176 0176 00176 #176 #0176 farms#176,58 Atlantic Avenue,DE,19970,,
Royal Farms,Wilmington,196,196 0196 00196 #196 #0196 farms#196,3701 Kirkwood Highway,DE,19808,,
Royal Farms,Portsmouth,205,205 0205 00205 #205 #0205 farms#205,3601 Victory Blvd,VA,23701,,
Royal Farms,Stewartstown,214,214 0214 00214 #214 #0214 farms#214,17302 Draco Road,PA,17363,,
